Indice eficienta emisii,Impact proteic al emisiilor,entity
-0.7469415484523774,-0.15801076063896727,Ale
-0.7809978338240054,-0.1735078245328536,Almond butter
-0.4073495943485302,0.23612953174080467,Almond milk
-0.7670951507355337,-0.17516660445944948,Almonds
-0.302370423729432,0.8029404404668474,Apple juice
-0.6533265541225399,-0.046036899562213573,Apple pie
-0.5237651875773502,0.2620410037910792,Apples
-0.4851986926685049,-0.11754744522774992,Asparagus
-0.5460823894064527,-0.05885169227271441,Avocados
0.6976696760306511,-0.4483094238707416,Bacon
-0.7314957188289117,-0.16280134999254922,Bagels
-0.6984836644489157,-0.11728027457415885,Baguette
-0.6161715492318357,-0.06501652361819439,Banana loaf
-0.5897442177210467,0.05697309127237617,Bananas
-0.669833837020245,-0.18848732507130922,Beans
3.6730219575321006,-0.8963731635341367,Beef burger
5.250862070310932,-1.2514745841886656,Beef meatballs
7.828406171260159,-1.5498428471999668,Beef mince
11.149209425167665,-2.4128733311551676,Beef steak
-0.7061884880237759,-0.1469539424706823,Beer
0.2389352811251322,0.18667149630078497,Beetroot
-0.44109590517047825,-0.031177956977561944,Biscuits
0.741853200387435,-0.2836787485560228,Blue cheese
-0.6447941604478828,-0.17846006499849876,Brazil nuts
-0.7152845672863587,-0.1497531207011615,Bread
-0.6835893378726496,-0.15316019905411885,Breakfast cereal
0.6194714823136285,-0.3708935072746961,Brie
-0.5060927578953486,-0.1432593337113999,Broccoli
0.09640839911493095,1.37433558152336,Butter
-0.4529687393841469,-0.09068471195626591,Cabbage
-0.5057112420387488,-0.028007226488334737,Caesar salad
0.44755449787749196,-0.3111504132488198,Camembert
-0.6045010248748545,-0.07378455094017318,Carrot cake
-0.40864229475723246,0.1723241239127265,Carrots
-0.6700806430195116,-0.18556000903756711,Cashew nuts
-0.5066260990086175,-0.12260230761027838,Cauliflower
-0.5677461189293143,-0.11005684848925842,Cereal bars
0.6372990671426901,-0.46728048362174124,Cheddar cheese
-0.5753775717307582,-0.060144670336885885,Cheesecake
0.7154977552708703,0.5908131070515642,Cherry tomatoes
-0.7174352712597479,-0.18429216987947727,Chia seeds
0.12621805571905648,-0.3530320931399241,Chicken breast
-0.3341306050141811,-0.21970493689144982,Chicken burger
-0.05616312817459438,-0.25890391608030017,Chicken sausages
0.10787849738646157,-0.3257608338385927,Chicken thighs
0.05134767047010033,-0.31539399847254074,Chicken wings
-0.6868034753156906,-0.1808581134559844,Chickpeas
0.6550954880955246,-0.041290248040478185,Chilli con carne
-0.3466378657152253,0.04186639260841779,Chocolate biscuits
-0.43305513265779916,0.02677600512738487,Chocolate cake
-0.3550448844203775,0.048780950571996426,Chocolate cheesecake
-0.33194788306344764,0.07784111182662076,Chocolate spread
3.9669686661843455,8.343226514301314,Coconut milk
-0.6188967517832452,0.14856427262456937,Coconut oil
0.4539308661408119,-0.3597840857303164,Cod
0.06970911889317959,-0.2466361334945043,Cod fish fingers
0.026625231990391553,-0.23244894606142286,Cod fishcakes
2.971722236013327,-0.605090741818978,Cottage cheese
-0.441810709331451,-0.10311541239063886,Courgettes
-0.6558412592025469,-0.13783023099498157,Couscous
0.08476598770699334,-0.0311384975408411,Cow’s milk
-0.6129934426375399,-0.13926591899669505,Cracker biscuits
-0.5526397198440075,-0.11466573864914002,Crisps
-0.6521237393134557,-0.09475311770072228,Croissants
-0.33197309054316587,-0.023396702644476068,Cucumber
0.7417989230468541,0.1891722099547897,Dark chocolate
-0.6105751929585626,-0.09997372672231401,Doughnuts
-0.6345373900355138,-0.12109133709966377,Egg noodles
-0.34818512146271346,-0.22335969288219248,Eggs
-0.6981433119734969,-0.15906499656728443,Falafels
0.3525165955533655,-0.33214202810464055,Feta cheese
-0.6772725578745612,-0.06730050687573874,Frozen chips (french fries)
-0.7222309520440949,-0.12934846987576848,Frozen onion rings
-0.6953000594657122,-0.08913839611597187,Frozen potato wedges
-0.6068598875238974,-0.04320435770800335,Frozen roast potatoes
