,0,1,2,3,4,5,6,7,8,9
0,1.8370382428327043,-1.886944991965399,3.2691381330703813,-0.6631335262139144,0.0,0.0,0.0,0.0,0.0,0.0
1,-0.034027227146087836,0.1644077707432361,-0.07897720619426844,0.11890752577000858,0.0,0.0,0.0,0.0,0.0,0.0
2,-0.02051383444256026,-0.20492202143221533,0.059565129331451375,-0.15545477166066504,0.0,0.0,0.0,0.0,0.0,0.0
3,0.3797673468712737,-1.5853115495619379,0.49524809295314925,0.12116010437507088,0.0,0.0,0.0,0.0,0.0,0.0
4,0.35255748215800525,-1.312811505316882,0.36807901550085775,0.19660408423574843,0.0,0.0,0.0,0.0,0.0,0.0
5,0.07733046147064022,-0.3436504392185611,0.2471492133837841,-0.1745272098802701,0.0,0.0,0.0,0.0,0.0,0.0
6,0.4486355661107933,-1.5638777466411942,-1.2043925635844643,0.294209326537611,0.0,0.0,0.0,0.0,0.0,0.0
7,0.09432029788247757,-0.8225459404532878,0.22388504473187976,0.07093741231495909,0.0,0.0,0.0,0.0,0.0,0.0
8,0.5604844952977358,-0.9955243386030369,1.2761808751579895,-0.043108829473343685,0.0,0.0,0.0,0.0,0.0,0.0
9,0.045713149641015895,-0.15945553114300215,0.5366636576785461,-0.14273737234678777,0.0,0.0,0.0,0.0,0.0,0.0
10,-0.0996956033508762,0.1832814001272346,-0.042985195228764296,-0.010320816509782884,0.0,0.0,0.0,0.0,0.0,0.0
11,-0.12501574643640043,0.19076810723481422,-0.13444167025836645,-0.04414726610724054,0.0,0.0,0.0,0.0,0.0,0.0
12,-0.0767512650777255,0.11955297244660273,0.183298120242701,0.02288366757164348,0.0,0.0,0.0,0.0,0.0,0.0
13,-0.12121395976221666,0.17198491030201504,-0.14873722110897716,0.020627978897982326,0.0,0.0,0.0,0.0,0.0,0.0
14,-0.07593546876420167,-0.08173457540380978,0.1038666175771672,-0.07784574350236383,0.0,0.0,0.0,0.0,0.0,0.0
15,-0.11926514447822882,0.1874997007388133,-0.060063834580569665,0.00902044969859626,0.0,0.0,0.0,0.0,0.0,0.0
16,-0.04084386640311308,-0.12425648214809727,0.3696096001559573,-0.05285716898919337,0.0,0.0,0.0,0.0,0.0,0.0
17,-0.14024145702462582,0.29372613427013783,-0.24055108200443998,0.011288879436417184,0.0,0.0,0.0,0.0,0.0,0.0
18,-0.12711191278404488,0.18835030648437776,-0.26859859503651456,0.02353301559654719,0.0,0.0,0.0,0.0,0.0,0.0
19,-0.13815511829798588,0.2408336112778853,-0.09301608584611992,-0.0058318559973829665,0.0,0.0,0.0,0.0,0.0,0.0
20,-0.10054284806412979,0.1263076813039131,0.10057051100559505,0.07303922748963597,0.0,0.0,0.0,0.0,0.0,0.0
21,-0.15157593633869249,0.30660987450327626,-0.19477954706553424,-0.0045003355514587695,0.0,0.0,0.0,0.0,0.0,0.0
22,-0.08962486267807568,0.1629238931165178,0.0345226752333414,0.08030762558743758,0.0,0.0,0.0,0.0,0.0,0.0
