Siruta,Localitate,Judet,Categorie
42913,Bordei Verde,br,Barbati_45-64
42968,Ciocile,br,Barbati_45-64
43019,Ciresu,br,Barbati_45-64
43073,Dudesti,br,Barbati_45-64
43117,Frecatei,br,Barbati_45-64
43180,Galbenu,br,Barbati_45-64
43242,Gemenele,br,Barbati_45-64
43279,Gradistea,br,Barbati_45-64
43313,Gropeni,br,Barbati_45-64
43331,Oras Ianca,br,Barbati_45-64
43411,Oras Insuratei,br,Barbati_45-64
43466,Jirlau,br,Barbati_45-64
43493,Marasu,br,Barbati_45-64
43563,Maxineni,br,Barbati_45-64
43625,Mircea Voda,br,Barbati_45-64
43652,Movila Miresii,br,Barbati_45-64
43698,Racovita,br,Barbati_45-64
43732,Ramnicelu,br,Barbati_45-64
43787,Romanu,br,Barbati_45-64
43812,Rosiori,br,Barbati_45-64
43867,Salcia Tudor,br,Barbati_45-64
43929,Scortaru Nou,br,Barbati_45-64
43992,Silistea,br,Barbati_45-64
44060,Stancuta,br,Barbati_45-64
44113,Surdila-Gaiseanca,br,Barbati_45-64
44140,Sutesti,br,Barbati_45-64
44177,Tichilesti,br,Barbati_45-64
44202,Traian,br,Barbati_45-64
44257,Tudor Vladimirescu,br,Barbati_45-64
44300,Tufesti,br,Barbati_45-64
44328,Ulmu,br,Barbati_45-64
44355,Unirea,br,Barbati_45-64
44391,Vadeni,br,Barbati_45-64
44435,Victoria,br,Barbati_45-64
44462,Visani,br,Barbati_45-64
44505,Viziru,br,Barbati_45-64
44532,Zavoaia,br,Barbati_45-64
44560,Cazasu,br,Barbati_45-64
44818,Municipiul Buzau,bz,Femei_45-64
44845,Municipiul Ramnicu Sarat,bz,Femei_45-64
44863,Amaru,bz,Barbati_45-64
44934,Balta Alba,bz,Barbati_45-64
44989,Balaceanu,bz,Barbati_45-64
45003,Beceni,bz,Femei_45-64
45101,Berca,bz,Barbati_45-64
45245,Bisoca,bz,Barbati_45-64
45334,Blajani,bz,Femei_65_
45361,Boldu,bz,Barbati_45-64
45389,Bozioru,bz,Barbati_45-64
45496,Bradeanu,bz,Barbati_45-64
45539,Braesti,bz,Barbati_45-64
45619,Breaza,bz,Barbati_45-64
45673,Buda,bz,Barbati_45-64
45753,Calvini,bz,Barbati_45-64
45815,C.a. Rosetti,bz,Barbati_45-64
45888,Canesti,bz,Femei_65_
45959,Catina,bz,Barbati_45-64
46019,Cernatesti,bz,Barbati_45-64
46108,Chiliile,bz,Femei_65_
46180,Chiojdu,bz,Barbati_45-64
46251,Cilibia,bz,Barbati_45-64
46313,Cislau,bz,Barbati_45-64
46377,Cochirleanca,bz,Barbati_45-64
46439,Colti,bz,Barbati_45-64
46484,Costesti,bz,Barbati_45-64
46554,Cozieni,bz,Barbati_45-64
46769,Galbinasi,bz,Barbati_45-64
46803,Gheraseni,bz,Barbati_45-64
46830,Ghergheasa,bz,Barbati_45-64
46867,Glodeanu Sarat,bz,Barbati_45-64
46910,Glodeanu-Silistea,bz,Barbati_45-64
47006,Grebanu,bz,Barbati_45-64
47079,Gura Teghii,bz,Barbati_45-64
47159,Largu,bz,Barbati_45-64
47186,Lopatari,bz,Barbati_45-64
47300,Luciu,bz,Barbati_45-64
47337,Magura,bz,Barbati_45-64
47373,Maracineni,bz,Barbati_45-64
47417,Margaritesti,bz,Barbati_45-64
47453,Merei,bz,Barbati_45-64
47578,Mihailesti,bz,Barbati_45-64
47630,Manzalesti,bz,Barbati_45-64
47774,Movila Banului,bz,Barbati_45-64
47818,Murgesti,bz,Femei_65_
47854,Naeni,bz,Barbati_45-64
47916,Oras Nehoiu,bz,Barbati_45-64
48021,Odaile,bz,Barbati_45-64
48138,Padina,bz,Barbati_45-64
48165,Pardosi,bz,Barbati_65_
48227,Panatau,bz,Barbati_45-64
48325,Oras Patarlagele,bz,Barbati_45-64
48487,Pietroasele,bz,Barbati_45-64
48557,Parscov,bz,Barbati_45-64
48682,Podgoria,bz,Barbati_45-64
48744,Oras Pogoanele,bz,Barbati_45-64
48771,Posta Calnau,bz,Barbati_45-64
48842,Puiesti,bz,Barbati_45-64
48922,Racoviteni,bz,Barbati_45-64
48968,Ramnicelu,bz,Barbati_45-64
49019,Robeasca,bz,Femei_65_
49046,Rusetu,bz,Barbati_45-64
49073,Sageata,bz,Barbati_45-64
49153,Sahateni,bz,Barbati_45-64
49206,Sapoca,bz,Barbati_45-64
49233,Sarulesti,bz,Barbati_45-64
49313,Scortoasa,bz,Barbati_45-64
49439,Scutelnici,bz,Barbati_45-64
49484,Siriu,bz,Femei_45-64
49545,Smeeni,bz,Barbati_45-64
49625,Stalpu,bz,Barbati_45-64
49643,Tisau,bz,Barbati_45-64
49769,Topliceni,bz,Barbati_45-64
49849,Tintesti,bz,Barbati_45-64
49894,Ulmeni,bz,Barbati_45-64
49956,Vadu Pasii,bz,Barbati_45-64
50022,Valea Ramnicului,bz,Barbati_45-64
50068,Valea Salciei,bz,Barbati_45-64
50102,Vernesti,bz,Barbati_45-64
50228,Vintila Voda,bz,Barbati_45-64
50326,Viperesti,bz,Barbati_45-64
50399,Valcelele,bz,Femei_65_
50415,Zarnesti,bz,Barbati_45-64
50479,Ziduri,bz,Barbati_45-64
50549,Unguriu,bz,Barbati_45-64
50564,Florica,bz,Barbati_45-64
50790,Municipiul Resita,cs,Barbati_45-64
50889,Oras Anina,cs,Barbati_45-64
50923,Oras Baile Herculane,cs,Barbati_45-64
50969,Oras Bocsa,cs,Barbati_45-64
50987,Ocna De Fier,cs,Barbati_45-64
51010,Municipiul Caransebes,cs,Barbati_45-64
51056,Oras Moldova Noua,cs,Barbati_45-64
51118,Oras Oravita,cs,Barbati_45-64
51207,Oras Otelu Rosu,cs,Barbati_45-64
51243,Armenis,cs,Barbati_45-64
51305,Bania,cs,Femei_45-64
51332,Bautar,cs,Barbati_45-64
51387,Berliste,cs,Barbati_45-64
51449,Berzasca,cs,Barbati_45-64
51500,Berzovia,cs,Barbati_45-64
51546,Bolvasnita,cs,Barbati_45-64
51573,Bozovici,cs,Barbati_45-64
51626,Brebu,cs,Barbati_45-64
51662,Brebu Nou,cs,Barbati_45-64
51699,Buchin,cs,Barbati_45-64
51751,Bucosnita,cs,Barbati_45-64
51804,Carasova,cs,Barbati_45-64
51840,Carbunari,cs,Barbati_45-64
51877,Constantin Daicoviciu,cs,Barbati_45-64
51948,Ciclova Romana,cs,Barbati_45-64
51984,Ciuchici,cs,Barbati_45-64
52035,Ciudanovita,cs,Barbati_45-64
52062,Copacele,cs,Barbati_45-64
52115,Cornea,cs,Barbati_45-64
52160,Cornereva,cs,Barbati_45-64
52570,Dalboset,cs,Barbati_45-64
52650,Doclin,cs,Barbati_45-64
52696,Dognecea,cs,Barbati_45-64
52721,Domasnea,cs,Barbati_45-64
52758,Ezeris,cs,Barbati_45-64
52785,Farliug,cs,Barbati_45-64
52856,Forotic,cs,Barbati_45-64
52909,Garnic,cs,Barbati_45-64
52936,Glimboca,cs,Femei_45-64
52954,Goruia,cs,Barbati_45-64
52990,Gradinari,cs,Barbati_45-64
53023,Iablanita,cs,Barbati_45-64
53069,Lapusnicel,cs,Femei_65_
53103,Lapusnicu Mare,cs,Femei_65_
53130,Luncavita,cs,Barbati_45-64
53167,Lupac,cs,Barbati_45-64
53210,Marga,cs,Barbati_45-64
53247,Maureni,cs,Barbati_45-64
53274,Mehadia,cs,Barbati_45-64
53327,Mehadica,cs,Barbati_65_
53345,Naidas,cs,Barbati_45-64
53372,Obreja,cs,Barbati_45-64
53425,Paltinis,cs,Barbati_45-64
53489,Coronini,cs,Barbati_45-64
53513,Pojejena,cs,Barbati_45-64
53577,Prigor,cs,Barbati_45-64
53639,Ramna,cs,Barbati_45-64
53675,Racasdia,cs,Barbati_45-64
53700,Eftimie Murgu,cs,Barbati_45-64
53728,Rusca Montana,cs,Barbati_45-64
53755,Sacu,cs,Barbati_45-64
53791,Sasca Montana,cs,Barbati_45-64
53853,Sichevita,cs,Barbati_45-64
54056,Slatina-Timis,cs,Barbati_45-64
54109,Socol,cs,Barbati_45-64
54163,Sopotu Nou,cs,Barbati_45-64
54270,Teregova,cs,Barbati_45-64
54305,Ticvaniu Mare,cs,Barbati_45-64
54350,Tarnova,cs,Barbati_45-64
54387,Toplet,cs,Barbati_45-64
54412,Turnu Ruieni,cs,Barbati_45-64
54485,Valiug,cs,Barbati_45-64
54500,Varadia,cs,Barbati_45-64
54537,Vermes,cs,Barbati_45-64
54573,Vrani,cs,Barbati_45-64
54617,Zavoi,cs,Barbati_45-64
54699,Zorlentu Mare,cs,Barbati_45-64
54975,Municipiul Cluj-Napoca,cj,Femei_45-64
55008,Municipiul Dej,cj,Barbati_45-64
55062,Cuzdrioara,cj,Barbati_45-64
55106,Jichisu De Jos,cj,Barbati_45-64
55160,Mica,cj,Barbati_45-64
55259,Municipiul Turda,cj,Barbati_45-64
55277,Mihai Viteazu,cj,Barbati_45-64
55311,Sandulesti,cj,Barbati_45-64
55357,Municipiul Campia Turzii,cj,Barbati_45-64
55384,Municipiul Gherla,cj,Barbati_45-64
55446,Oras Huedin,cj,Femei_45-64
55473,Aghiresu,cj,Barbati_45-64
55598,Aiton,cj,Barbati_45-64
55623,Alunis,cj,Barbati_45-64
55687,Apahida,cj,Barbati_45-64
55776,Aschileu,cj,Barbati_45-64
55838,Baciu,cj,Barbati_45-64
55918,Baisoara,cj,Barbati_45-64
56014,Belis,cj,Barbati_45-64
56096,Bobalna,cj,Barbati_45-64
56210,Bontida,cj,Barbati_45-64
56265,Borsa,cj,Barbati_45-64
56327,Buza,cj,Barbati_45-64
56354,Caianu,cj,Barbati_45-64
56425,Calarasi,cj,Barbati_45-64
56461,Calatele,cj,Barbati_45-64
56522,Camarasu,cj,Barbati_45-64
56568,Capusu Mare,cj,Barbati_45-64
56666,Caseiu,cj,Barbati_45-64
56773,Catina,cj,Barbati_45-64
56844,Ceanu Mare,cj,Barbati_45-64
56988,Chinteni,cj,Barbati_45-64
57083,Chiuiesti,cj,Barbati_45-64
57163,Ciucea,cj,Barbati_45-64
57225,Ciurila,cj,Barbati_45-64
57314,Catcau,cj,Barbati_45-64
57350,Cojocna,cj,Barbati_45-64
57449,Cornesti,cj,Barbati_45-64
57546,Dabaca,cj,Barbati_45-64
57582,Feleacu,cj,Barbati_45-64
57644,Fizesu Gherlii,cj,Barbati_45-64
57706,Floresti,cj,Barbati_35-44
57742,Frata,cj,Barbati_45-64
57831,Geaca,cj,Barbati_45-64
57902,Gilau,cj,Barbati_45-64
57948,Garbau,cj,Barbati_45-64
58008,Iara,cj,Barbati_45-64
58142,Iclod,cj,Barbati_45-64
58204,Izvoru Crisului,cj,Femei_45-64
58259,Jucu,cj,Barbati_45-64
58311,Luna,cj,Barbati_45-64
58357,Maguri-Racatau,cj,Barbati_45-64
58393,Manastireni,cj,Barbati_45-64
58464,Margau,cj,Barbati_45-64
58534,Marisel,cj,Barbati_45-64
58552,Mintiu Gherlii,cj,Barbati_45-64
58623,Mociu,cj,Barbati_45-64
58721,Moldovenesti,cj,Barbati_45-64
58794,Palatca,cj,Barbati_45-64
58856,Panticeu,cj,Barbati_45-64
58918,Petrestii De Jos,cj,Barbati_45-64
58990,Ploscos,cj,Barbati_45-64
59041,Poieni,cj,Barbati_45-64
59130,Recea-Cristur,cj,Barbati_45-64
59238,Risca,cj,Femei_45-64
59283,Sacuieu,cj,Barbati_45-64
59327,Savadisla,cj,Barbati_45-64
59416,Sic,cj,Barbati_45-64
59434,Sancraiu,cj,Barbati_45-64
59498,Sanmartin,cj,Femei_65_
59586,Sanpaul,cj,Barbati_45-64
59657,Suatu,cj,Barbati_45-64
59693,Tritenii De Jos,cj,Barbati_45-64
59764,Tureni,cj,Barbati_45-64
59826,Taga,cj,Barbati_45-64
59880,Unguras,cj,Barbati_45-64
59942,Vad,cj,Femei_65_
60026,Valea Ierii,cj,Barbati_45-64
60062,Viisoara,cj,Barbati_45-64
60099,Vultureni,cj,Barbati_45-64
60169,Negreni,cj,Barbati_45-64
60419,Municipiul Constanta,ct,Femei_45-64
60455,Oras Eforie,ct,Femei_45-64
60482,Municipiul Mangalia,ct,Femei_45-64
60507,Oras Navodari,ct,Femei_45-64
60534,Oras Techirghiol,ct,Femei_45-64
60570,Agigea,ct,Barbati_45-64
60598,2020-08-23 00:00:00,ct,Barbati_45-64
60632,Limanu,ct,Barbati_45-64
60687,Oras Ovidiu,ct,Barbati_45-64
60721,Tuzla,ct,Barbati_45-64
60776,Oras Cernavoda,ct,Barbati_45-64
60801,Oras Harsova,ct,Femei_45-64
60847,Municipiul Medgidia,ct,Femei_45-64
60883,Adamclisi,ct,Barbati_45-64
60945,Albesti,ct,Barbati_45-64
61005,Aliman,ct,Barbati_45-64
61069,Oras Baneasa,ct,Barbati_45-64
61121,Castelu,ct,Barbati_45-64
61167,Cerchezu,ct,Barbati_45-64
61210,Chirnogeni,ct,Barbati_45-64
61256,Ciobanu,ct,Barbati_45-64
61283,Ciocarlia,ct,Barbati_45-64
61318,Cobadin,ct,Barbati_45-64
61372,Cogealac,ct,Barbati_45-64
61452,Comana,ct,Barbati_45-64
61513,Corbu,ct,Barbati_45-64
61559,Crucea,ct,Barbati_45-64
61620,Cumpana,ct,Barbati_45-64
61675,Deleni,ct,Barbati_45-64
61737,Dobromir,ct,Barbati_45-64
61808,Garliciu,ct,Barbati_45-64
61826,Ghindaresti,ct,Barbati_45-64
61871,Independenta,ct,Barbati_45-64
61951,Ion Corvin,ct,Barbati_45-64
62020,Istria,ct,Barbati_45-64
62057,Lipnita,ct,Barbati_45-64
62137,Mereni,ct,Barbati_45-64
62191,Mihail Kogalniceanu,ct,Barbati_45-64
62253,Mihai Viteazu,ct,Barbati_45-64
62280,Mircea Voda,ct,Barbati_45-64
62360,Oras Murfatlar,ct,Barbati_45-64
62397,Oras Negru Voda,ct,Barbati_45-64
62440,Nicolae Balcescu,ct,Barbati_45-64
62486,Oltina,ct,Barbati_45-64
62538,Ostrov,ct,Barbati_45-64
62609,Pantelimon,ct,Barbati_45-64
62672,Pecineaga,ct,Barbati_45-64
62707,Pestera,ct,Barbati_45-64
62761,Poarta Alba,ct,Barbati_45-64
62798,Rasova,ct,Barbati_45-64
62823,Saraiu,ct,Barbati_45-64
62878,Sacele,ct,Barbati_45-64
62903,Seimeni,ct,Barbati_45-64
62949,Silistea,ct,Barbati_45-64
62985,Targusor,ct,Barbati_45-64
63045,Topalu,ct,Femei_45-64
63072,Topraisar,ct,Barbati_45-64
63125,Valu Lui Traian,ct,Barbati_45-64
63152,Lumina,ct,Barbati_45-64
63161,Dumbraveni,ct,Barbati_45-64
63170,Vulturu,ct,Barbati_45-64
63189,Tortoman,ct,Barbati_45-64
63198,Amzacea,ct,Barbati_45-64
63278,Horia,ct,Barbati_45-64
63286,Costinesti,ct,Barbati_45-64
63294,Baraganu,ct,Femei_45-64
63300,Cuza Voda,ct,Barbati_45-64
63318,Saligny,ct,Barbati_45-64
63326,Gradina,ct,Barbati_45-64
63334,Fantanele,ct,Barbati_45-64
63394,Municipiul Sfantu Gheorghe,cv,Femei_45-64
63447,Oras Baraolt,cv,Femei_45-64
63526,Oras Covasna,cv,Femei_45-64
63553,Comandau,cv,Femei_45-64
63580,Oras Intorsura Buzaului,cv,Barbati_45-64
63633,Barcani,cv,Barbati_45-64
63688,Sita Buzaului,cv,Barbati_45-64
63740,Municipiul Targu Secuiesc,cv,Femei_45-64
63777,Aita Mare,cv,Femei_45-64
63802,Batani,cv,Barbati_45-64
63866,Belin,cv,Barbati_45-64
63893,Bodoc,cv,Barbati_45-64
63937,Borosneu Mare,cv,Barbati_45-64
64005,Brates,cv,Femei_45-64
64041,Bradut,cv,Femei_45-64
64096,Bretcu,cv,Barbati_45-64
64130,Catalina,cv,Barbati_45-64
64194,Cernat,cv,Femei_45-64
64238,Chichis,cv,Barbati_45-64
64265,Dobarlau,cv,Barbati_45-64
64318,Ghelinta,cv,Barbati_45-64
64345,Ghidfalau,cv,Barbati_45-64
64390,Haghig,cv,Barbati_65_
64425,Ilieni,cv,Barbati_45-64
64461,Lemnia,cv,Femei_65_
64504,Malnas,cv,Femei_45-64
64568,Moacsa,cv,Barbati_45-64
64602,Ojdula,cv,Femei_45-64
64639,Ozun,cv,Barbati_45-64
64719,Poian,cv,Barbati_45-64
64773,Reci,cv,Femei_45-64
64826,Sanzieni,cv,Femei_45-64
64871,Turia,cv,Femei_45-64
64906,Valea Crisului,cv,Femei_45-64
64942,Valcele,cv,Barbati_45-64
64997,Varghis,cv,Barbati_45-64
65011,Zagon,cv,Barbati_45-64
65048,Zabala,cv,Barbati_45-64
65099,Valea Mare,cv,Barbati_45-64
65105,Mereni,cv,Barbati_45-64
65113,Arcus,cv,Barbati_45-64
65121,Bixad,cv,Femei_45-64
65139,Micfalau,cv,Femei_45-64
65147,Dalnic,cv,Barbati_45-64
65154,Estelnic,cv,Barbati_45-64
65342,Municipiul Targoviste,db,Femei_45-64
65379,Aninoasa,db,Barbati_45-64
65413,Doicesti,db,Barbati_45-64
65431,Razvad,db,Barbati_45-64
65477,Sotanga,db,Barbati_45-64
65501,Ulmi,db,Barbati_45-64
65609,Oras Fieni,db,Femei_45-64
65645,Motaieni,db,Barbati_45-64
65681,Oras Gaesti,db,Femei_45-64
65707,Gura Foii,db,Barbati_45-64
65752,Petresti,db,Barbati_45-64
65841,Municipiul Moreni,db,Femei_45-64
65869,Iedera,db,Barbati_45-64
65921,Oras Pucioasa,db,Femei_45-64
66009,Branesti,db,Femei_45-64
66081,Oras Titu,db,Barbati_45-64
66152,Branistea,db,Barbati_45-64
66198,Baleni,db,Barbati_45-64
66223,Barbuletu,db,Barbati_45-64
66330,Bezdead,db,Barbati_45-64
66401,Bilciuresti,db,Barbati_45-64
66438,Buciumeni,db,Femei_45-64
66474,Bucsani,db,Barbati_45-64
66526,Candesti,db,Barbati_45-64
66580,Cobia,db,Barbati_45-64
66697,Cojasca,db,Barbati_45-64
66731,Comisani,db,Barbati_45-64
66768,Contesti,db,Barbati_45-64
66857,Corbii Mari,db,Barbati_45-64
66955,Cornatelu,db,Barbati_45-64
67014,Cornesti,db,Barbati_45-64
67121,Costestii Din Vale,db,Barbati_45-64
67167,Crangurile,db,Barbati_45-64
67256,Darmanesti,db,Barbati_45-64
67292,Dobra,db,Barbati_45-64
67327,Dragodana,db,Barbati_45-64
67407,Dragomiresti,db,Barbati_45-64
67470,Finta,db,Barbati_45-64
67522,Glodeni,db,Barbati_45-64
67595,Gura Ocnitei,db,Barbati_45-64
67648,Gura Sutii,db,Barbati_45-64
67675,Hulubesti,db,Barbati_45-64
67737,I. L. Caragiale,db,Barbati_45-64
67773,Lucieni,db,Barbati_45-64
67835,Ludesti,db,Barbati_45-64
67906,Lunguletu,db,Barbati_45-64
67942,Malu Cu Flori,db,Barbati_45-64
68002,Manesti,db,Barbati_45-64
68048,Matasaru,db,Barbati_45-64
68128,Mogosani,db,Barbati_45-64
68182,Moroeni,db,Barbati_45-64
68253,Morteni,db,Barbati_45-64
68280,Nucet,db,Femei_45-64
68324,Ocnita,db,Barbati_45-64
68342,Odobesti,db,Barbati_45-64
68404,Pietrosita,db,Barbati_45-64
68431,Poiana,db,Barbati_45-64
68468,Potlogi,db,Barbati_45-64
68529,Produlesti,db,Barbati_45-64
68565,Pucheni,db,Barbati_45-64
68627,Oras Racari,db,Barbati_45-64
68716,Runcu,db,Barbati_45-64
68789,Salcioara,db,Barbati_45-64
68887,Selaru,db,Barbati_45-64
68921,Tatarani,db,Barbati_45-64
68976,Uliesti,db,Barbati_45-64
69063,Valea Lunga,db,Barbati_45-64
69170,Valea Mare,db,Barbati_45-64
69250,Vacaresti,db,Barbati_45-64
69303,Valeni-Dambovita,db,Barbati_45-64
69330,Visina,db,Barbati_45-64
69394,Visinesti,db,Barbati_45-64
69447,Varfuri,db,Barbati_45-64
69526,Voinesti,db,Barbati_45-64
69615,Vulcana-Bai,db,Femei_45-64
69900,Municipiul Craiova,dj,Barbati_45-64
69964,Bucovat,dj,Barbati_45-64
70094,Isalnita,dj,Barbati_45-64
70110,Podari,dj,Barbati_45-64
70174,Simnicu De Sus,dj,Barbati_45-64
70316,Municipiul Bailesti,dj,Barbati_45-64
70352,Municipiul Calafat,dj,Barbati_45-64
70414,Oras Filiasi,dj,Barbati_45-64
70502,Oras Segarcea,dj,Barbati_45-64
70520,Afumati,dj,Barbati_45-64
70566,Almaj,dj,Barbati_45-64
70637,Amarastii De Jos,dj,Femei_45-64
70673,Amarastii De Sus,dj,Barbati_45-64
70726,Apele Vii,dj,Barbati_45-64
70744,Argetoaia,dj,Barbati_45-64
70879,Oras Bechet,dj,Barbati_45-64
70897,Bistret,dj,Barbati_45-64
70940,Barca,dj,Barbati_45-64
70968,Botosesti-Paia,dj,Femei_65_
70986,Brabova,dj,Barbati_45-64
71055,Bradesti,dj,Barbati_45-64
71126,Bralostita,dj,Barbati_45-64
71199,Bratovoesti,dj,Barbati_45-64
71260,Breasta,dj,Barbati_45-64
71340,Bulzesti,dj,Barbati_45-64
71457,Calopar,dj,Barbati_45-64
71518,Caraula,dj,Barbati_45-64
71536,Carpen,dj,Barbati_45-64
71572,Castranova,dj,Barbati_45-64
71607,Calarasi,dj,Barbati_45-64
71634,Celaru,dj,Barbati_45-64
71698,Cerat,dj,Barbati_45-64
71723,Cernatesti,dj,Barbati_45-64
71787,Cetate,dj,Barbati_45-64
71812,Cioroiasi,dj,Barbati_45-64
71858,Ciupercenii Noi,dj,Barbati_45-64
71885,Cosoveni,dj,Barbati_45-64
71910,Cotofenii Din Dos,dj,Femei_45-64
71956,Daneti,dj,Barbati_45-64
72007,Oras Dabuleni,dj,Barbati_45-64
72034,Desa,dj,Barbati_45-64
72052,Diosti,dj,Barbati_45-64
72098,Dobresti,dj,Barbati_45-64
72150,Dragotesti,dj,Barbati_45-64
72221,Dranic,dj,Barbati_45-64
72276,Farcas,dj,Barbati_45-64
72383,Galicea Mare,dj,Barbati_45-64
72409,Ghercesti,dj,Barbati_45-64
72463,Gighera,dj,Barbati_45-64
72506,Giubega,dj,Barbati_45-64
72533,Giurgita,dj,Barbati_45-64
72579,Gangiova,dj,Barbati_45-64
72604,Gogosu,dj,Femei_65_
72640,Goicea,dj,Femei_65_
72677,Goiesti,dj,Barbati_45-64
72819,Grecesti,dj,Barbati_45-64
72882,Izvoare,dj,Barbati_45-64
72926,Leu,dj,Barbati_45-64
72953,Lipovu,dj,Barbati_45-64
72980,Macesu De Jos,dj,Barbati_45-64
73013,Macesu De Sus,dj,Femei_65_
73031,Maglavit,dj,Barbati_45-64
73068,Malu Mare,dj,Barbati_45-64
73102,Melinesti,dj,Barbati_45-64
73246,Mischii,dj,Barbati_45-64
73317,Marsani,dj,Barbati_45-64
73335,Motatei,dj,Barbati_45-64
73371,Murgasi,dj,Barbati_45-64
73460,Negoi,dj,Barbati_45-64
73503,Orodel,dj,Barbati_45-64
73567,Ostroveni,dj,Barbati_45-64
73594,Perisor,dj,Femei_45-64
73629,Pielesti,dj,Barbati_45-64
73665,Piscu Vechi,dj,Barbati_45-64
73709,Plenita,dj,Barbati_45-64
73736,Poiana Mare,dj,Barbati_45-64
73772,Predesti,dj,Barbati_45-64
73852,Radovan,dj,Barbati_45-64
73905,Rast,dj,Barbati_45-64
73923,Robanesti,dj,Barbati_45-64
73996,Sadova,dj,Barbati_45-64
74028,Salcuta,dj,Barbati_45-64
74073,Scaesti,dj,Femei_45-64
74108,Seaca De Camp,dj,Barbati_45-64
74135,Seaca De Padure,dj,Femei_65_
74171,Secu,dj,Barbati_45-64
74224,Silistea Crucii,dj,Barbati_65_
74242,Sopot,dj,Barbati_45-64
74322,Teasc,dj,Barbati_45-64
74359,Terpezita,dj,Barbati_45-64
74411,Teslui,dj,Barbati_45-64
74509,Tuglui,dj,Barbati_45-64
74536,Unirea,dj,Barbati_45-64
74554,Urzicuta,dj,Barbati_45-64
74581,Valea Stanciului,dj,Barbati_45-64
74616,Vela,dj,Barbati_45-64
74705,Verbita,dj,Barbati_45-64
74732,Vartop,dj,Barbati_45-64
74750,Varvoru De Jos,dj,Barbati_45-64
74842,Catane,dj,Femei_65_
74859,Carcea,dj,Barbati_45-64
74867,Carna,dj,Barbati_45-64
74875,Cotofenii Din Fata,dj,Barbati_45-64
74883,Dobrotesti,dj,Barbati_45-64
74891,Galiciuica,dj,Barbati_45-64
74907,Ghidici,dj,Femei_65_
74915,Ghindeni,dj,Barbati_45-64
74923,Intorsura,dj,Barbati_45-64
74931,Plesoi,dj,Barbati_45-64
74949,Rojiste,dj,Barbati_45-64
74956,Talpas,dj,Barbati_45-64
75098,Municipiul Galati,gl,Femei_45-64
75114,Sendreni,gl,Barbati_45-64
75150,Vanatori,gl,Barbati_45-64
75203,Municipiul Tecuci,gl,Barbati_45-64
75221,Draganesti,gl,Barbati_45-64
75258,Munteni,gl,Barbati_45-64
75338,Oras Beresti,gl,Barbati_45-64
75356,Beresti-Meria,gl,Barbati_45-64
75472,Oras Targu Bujor,gl,Barbati_45-64
75515,Barcea,gl,Barbati_45-64
75542,Balabanesti,gl,Barbati_45-64
75613,Balasesti,gl,Barbati_45-64
75668,Baleni,gl,Barbati_45-64
75686,Baneasa,gl,Barbati_45-64
75711,Branistea,gl,Barbati_45-64
75766,Brahasesti,gl,Barbati_45-64
75819,Buciumeni,gl,Barbati_45-64
75864,Cavadinesti,gl,Barbati_45-64
75917,Certesti,gl,Barbati_45-64
75953,Corod,gl,Barbati_45-64
76004,Corni,gl,Barbati_45-64
76040,Cosmesti,gl,Barbati_45-64
76111,Costache Negri,gl,Barbati_45-64
76139,Cuca,gl,Barbati_45-64
76157,Cudalbi,gl,Barbati_45-64
76175,Draguseni,gl,Barbati_45-64
76255,Fartanesti,gl,Barbati_45-64
76282,Foltesti,gl,Barbati_45-64
76317,Frumusita,gl,Barbati_45-64
76353,Fundeni,gl,Barbati_45-64
76406,Ghidigeni,gl,Barbati_45-64
76497,Gohor,gl,Barbati_45-64
76558,Grivita,gl,Barbati_45-64
76585,Independenta,gl,Barbati_45-64
76601,Ivesti,gl,Barbati_45-64
76638,Jorasti,gl,Barbati_45-64
76674,Liesti,gl,Barbati_45-64
76692,Matca,gl,Barbati_45-64
76718,Mastacani,gl,Barbati_45-64
76745,Movileni,gl,Barbati_45-64
76763,Namoloasa,gl,Barbati_45-64
76807,Nicoresti,gl,Barbati_45-64
76932,Oancea,gl,Barbati_45-64
76969,Pechea,gl,Barbati_45-64
76996,Piscu,gl,Barbati_45-64
77028,Priponesti,gl,Barbati_45-64
77082,Rediu,gl,Femei_65_
77126,Scanteiesti,gl,Barbati_45-64
77153,Schela,gl,Barbati_45-64
77180,Slobozia Conachi,gl,Barbati_45-64
77224,Smardan,gl,Barbati_45-64
77260,Smulti,gl,Barbati_45-64
77288,Suceveni,gl,Barbati_45-64
77313,Tudor Vladimirescu,gl,Barbati_45-64
77331,Tulucesti,gl,Barbati_45-64
77377,Tepu,gl,Barbati_45-64
77402,Umbraresti,gl,Barbati_45-64
77475,Valea Marului,gl,Barbati_45-64
77509,Varlezi,gl,Barbati_45-64
77536,Vladesti,gl,Barbati_45-64
77561,Radesti,gl,Barbati_45-64
77579,Negrilesti,gl,Barbati_45-64
77587,Poiana,gl,Barbati_45-64
77595,Cuza Voda,gl,Barbati_45-64
77601,Suhurlui,gl,Barbati_45-64
77812,Municipiul Targu Jiu,gj,Barbati_45-64
77910,Balesti,gj,Barbati_45-64
78016,Dragutesti,gj,Barbati_45-64
78089,Turcinesti,gj,Barbati_45-64
78141,Municipiul Motru,gj,Barbati_45-64
78258,Oras Novaci,gj,Barbati_45-64
78329,Oras Targu Carbunesti,gj,Barbati_45-64
78454,Oras Ticleni,gj,Barbati_45-64
