Siruta,Localitate,Judet,Categorie
12812,Zarand,ar,Barbati_45-64
12849,Zerind,ar,Femei_45-64
12876,Zimandu Nou,ar,Barbati_45-64
12912,Dorobanti,ar,Barbati_45-64
12920,Frumuseni,ar,Barbati_45-64
12938,Zadareni,ar,Barbati_45-64
13169,Municipiul Pitesti,ag,Femei_45-64
13187,Bascov,ag,Barbati_45-64
13276,Bradu,ag,Barbati_45-64
13301,Oras Mioveni,ag,Barbati_45-64
13365,Maracineni,ag,Femei_45-64
13392,Oras Stefanesti,ag,Barbati_45-64
13490,Municipiul Campulung,ag,Femei_45-64
13524,Valea Mare Pravat,ag,Barbati_45-64
13622,Municipiul Curtea De Arges,ag,Femei_45-64
13668,Oras Costesti,ag,Barbati_45-64
13757,Oras Topoloveni,ag,Barbati_45-64
13819,Albestii De Arges,ag,Barbati_45-64
13891,Albestii De Muscel,ag,Barbati_45-64
13935,Albota,ag,Barbati_45-64
13999,Aninoasa,ag,Barbati_45-64
14049,Arefu,ag,Barbati_45-64
14085,Babana,ag,Barbati_45-64
14165,Baiculesti,ag,Barbati_45-64
14272,Balilesti,ag,Barbati_45-64
14352,Beleti-Negresti,ag,Barbati_45-64
14405,Berevoesti,ag,Barbati_45-64
14450,Barla,ag,Barbati_45-64
14584,Bogati,ag,Barbati_45-64
14673,Boteni,ag,Barbati_45-64
14726,Botesti,ag,Barbati_45-64
14753,Bradulet,ag,Femei_45-64
14851,Budeasa,ag,Barbati_45-64
14922,Bughea De Jos,ag,Barbati_45-64
14940,Buzoesti,ag,Barbati_45-64
15064,Caldararu,ag,Barbati_45-64
15108,Calinesti,ag,Barbati_45-64
15233,Cateasca,ag,Barbati_45-64
15313,Cepari,ag,Barbati_45-64
15402,Cetateni,ag,Barbati_45-64
15448,Cicanesti,ag,Barbati_45-64
15493,Ciofrangeni,ag,Barbati_45-64
15554,Ciomagesti,ag,Barbati_45-64
15652,Cocu,ag,Barbati_45-64
15741,Corbeni,ag,Barbati_45-64
15830,Corbi,ag,Femei_45-64
15901,Cosesti,ag,Barbati_45-64
15983,Cotmeana,ag,Barbati_45-64
16132,Cuca,ag,Barbati_45-64
16285,Davidesti,ag,Barbati_45-64
16329,Dambovicioara,ag,Barbati_45-64
16365,Darmanesti,ag,Barbati_45-64
16427,Dobresti,ag,Barbati_45-64
16454,Domnesti,ag,Barbati_45-64
16472,Dragoslavele,ag,Barbati_45-64
16506,Draganu,ag,Barbati_45-64
16551,Godeni,ag,Barbati_45-64
16613,Harsesti,ag,Barbati_45-64
16659,Hartiesti,ag,Barbati_45-64
16739,Izvoru,ag,Barbati_45-64
16757,Leordeni,ag,Barbati_45-64
16908,Leresti,ag,Barbati_45-64
16944,Lunca Corbului,ag,Barbati_45-64
17049,Malureni,ag,Barbati_45-64
17101,Merisani,ag,Barbati_45-64
17209,Micesti,ag,Barbati_45-64
17254,Mihaesti,ag,Barbati_45-64
17334,Mioarele,ag,Barbati_45-64
17398,Mirosi,ag,Barbati_45-64
17423,Moraresti,ag,Barbati_45-64
17496,Mosoaia,ag,Barbati_45-64
17575,Mozaceni,ag,Barbati_45-64
17619,Musatesti,ag,Barbati_45-64
17726,Negrasi,ag,Barbati_45-64
17771,Nucsoara,ag,Barbati_45-64
17824,Oarja,ag,Barbati_45-64
17851,Pietrosani,ag,Barbati_45-64
17913,Poienarii De Arges,ag,Femei_45-64
17968,Poienarii De Muscel,ag,Barbati_45-64
18028,Poiana Lacului,ag,Barbati_45-64
18162,Popesti,ag,Barbati_45-64
18242,Priboieni,ag,Barbati_45-64
18331,Ratesti,ag,Barbati_45-64
18411,Recea,ag,Barbati_45-64
18475,Rociu,ag,Femei_65_
18527,Rucar,ag,Barbati_45-64
18554,Salatrucu,ag,Femei_45-64
18581,Sapata,ag,Barbati_45-64
18670,Schitu Golesti,ag,Barbati_45-64
18741,Slobozia,ag,Barbati_45-64
18778,Stalpeni,ag,Barbati_45-64
18858,Stoenesti,ag,Barbati_45-64
18938,Stolnici,ag,Barbati_45-64
19007,Suseni,ag,Barbati_45-64
19114,Stefan Cel Mare,ag,Barbati_45-64
19141,Suici,ag,Femei_45-64
19212,Teiu,ag,Barbati_45-64
19249,Tigveni,ag,Barbati_45-64
19338,Titesti,ag,Barbati_45-64
19392,Uda,ag,Barbati_45-64
19560,Ungheni,ag,Barbati_45-64
19631,Valea Danului,ag,Barbati_45-64
19695,Valea Iasului,ag,Barbati_45-64
19793,Vedea,ag,Barbati_45-64
19999,Vladesti,ag,Barbati_45-64
20048,Raca,ag,Barbati_45-64
20055,Vulturesti,ag,Barbati_45-64
20063,Bughea De Sus,ag,Barbati_45-64
20297,Municipiul Bacau,bc,Femei_45-64
20313,Hemeius,bc,Barbati_45-64
20359,Letea Veche,bc,Barbati_45-64
20411,Magura,bc,Barbati_45-64
20466,Margineni,bc,Barbati_45-64
20563,Municipiul Onesti,bc,Femei_45-64
20607,Gura Vaii,bc,Barbati_45-64
20670,Stefan Cel Mare,bc,Barbati_45-64
20778,Oras Buhusi,bc,Femei_45-64
20821,Oras Comanesti,bc,Femei_45-64
20876,Municipiul Moinesti,bc,Barbati_45-64
20910,Oras Slanic-Moldova,bc,Barbati_45-64
20965,Oras Targu Ocna,bc,Femei_45-64
21007,Agas,bc,Barbati_45-64
21098,Ardeoani,bc,Barbati_45-64
21123,Asau,bc,Barbati_45-64
21196,Balcani,bc,Barbati_45-64
21249,Beresti-Bistrita,bc,Barbati_45-64
21338,Beresti-Tazlau,bc,Barbati_45-64
21418,Berzunti,bc,Barbati_45-64
21454,Barsanesti,bc,Barbati_45-64
21506,Blagesti,bc,Barbati_45-64
21560,Bogdanesti,bc,Barbati_45-64
21597,Brusturoasa,bc,Barbati_45-64
21668,Buhoci,bc,Barbati_45-64
21720,Casin,bc,Barbati_45-64
21757,Caiuti,bc,Barbati_45-64
21855,Cleja,bc,Barbati_45-64
21891,Colonesti,bc,Barbati_45-64
21971,Corbasca,bc,Barbati_45-64
22059,Cotofanesti,bc,Barbati_45-64
22111,Damienesti,bc,Barbati_45-64
22166,Oras Darmanesti,bc,Femei_45-64
22237,Dealu Morii,bc,Barbati_45-64
22380,Dofteana,bc,Barbati_45-64
22460,Faraoani,bc,Femei_45-64
22488,Filipeni,bc,Barbati_45-64
22576,Filipesti,bc,Barbati_45-64
22665,Gaiceana,bc,Barbati_45-64
22718,Ghimes-Faget,bc,Barbati_45-64
22781,Garleni,bc,Femei_45-64
22834,Glavanesti,bc,Barbati_45-64
22898,Helegiu,bc,Barbati_45-64
22941,Horgesti,bc,Barbati_45-64
23047,Huruiesti,bc,Barbati_45-64
23127,Izvoru Berheciului,bc,Barbati_45-64
23207,Lipova,bc,Barbati_45-64
23289,Livezi,bc,Barbati_45-64
23350,Luizi-Calugara,bc,Barbati_45-64
23387,Magiresti,bc,Barbati_45-64
23449,Manastirea Casin,bc,Barbati_45-64
23494,Motoseni,bc,Barbati_45-64
23644,Negri,bc,Barbati_45-64
23715,Nicolae Balcescu,bc,Barbati_45-64
23797,Oituz,bc,Barbati_45-64
23868,Oncesti,bc,Barbati_45-64
23948,Orbeni,bc,Barbati_45-64
23975,Palanca,bc,Barbati_45-64
24034,Parava,bc,Barbati_45-64
24089,Parincea,bc,Barbati_45-64
24187,Pancesti,bc,Barbati_45-64
24276,Pargaresti,bc,Barbati_45-64
24338,Parjol,bc,Barbati_45-64
24427,Plopana,bc,Barbati_45-64
24524,Podu Turcului,bc,Barbati_45-64
24631,Poduri,bc,Barbati_45-64
24711,Racova,bc,Barbati_45-64
24766,Racaciuni,bc,Barbati_45-64
24837,Rachitoasa,bc,Barbati_45-64
24999,Rosiori,bc,Barbati_45-64
25068,Sascut,bc,Barbati_45-64
25148,Sanduleni,bc,Barbati_45-64
25228,Saucesti,bc,Barbati_45-64
25291,Scorteni,bc,Barbati_45-64
25362,Secuieni,bc,Barbati_45-64
25488,Solont,bc,Barbati_45-64
25521,Stanisesti,bc,Barbati_45-64
25629,Strugari,bc,Barbati_45-64
25692,Tamasi,bc,Barbati_45-64
25745,Tatarasti,bc,Barbati_45-64
25825,Targu Trotus,bc,Barbati_45-64
25861,Traian,bc,Barbati_45-64
25932,Ungureni,bc,Barbati_45-64
26029,Urechesti,bc,Barbati_45-64
26083,Valea Seaca,bc,Barbati_45-64
26118,Vultureni,bc,Barbati_45-64
26289,Zemes,bc,Barbati_45-64
26320,Sarata,bc,Barbati_45-64
26338,Buciumi,bc,Barbati_45-64
26346,Gioseni,bc,Barbati_45-64
26353,Odobesti,bc,Barbati_45-64
26361,Prajesti,bc,Barbati_45-64
26379,Itesti,bc,Barbati_45-64
26564,Municipiul Oradea,bh,Femei_45-64
26582,Sanmartin,bh,Barbati_45-64
26653,Santandrei,bh,Barbati_45-64
26699,Oras Alesd,bh,Barbati_45-64
26742,Astileu,bh,Barbati_45-64
26804,Municipiul Beius,bh,Femei_45-64
26840,Oras Stei,bh,Barbati_45-64
26877,Municipiul Marghita,bh,Femei_45-64
26920,Oras Nucet,bh,Barbati_45-64
26975,Municipiul Salonta,bh,Femei_45-64
27007,Oras Vascau,bh,Femei_45-64
27070,Abram,bh,Barbati_45-64
27169,Abramut,bh,Femei_45-64
27212,Auseu,bh,Barbati_45-64
27285,Avram Iancu,bh,Barbati_45-64
27329,Balc,bh,Barbati_45-64
27383,Batar,bh,Barbati_45-64
27436,Biharia,bh,Femei_45-64
27506,Boianu Mare,bh,Barbati_45-64
27560,Borod,bh,Barbati_45-64
27631,Bors,bh,Barbati_45-64
27686,Bratca,bh,Barbati_45-64
27757,Brusturi,bh,Barbati_45-64
27846,Budureasa,bh,Barbati_45-64
27908,Buduslau,bh,Barbati_45-64
27935,Bulz,bh,Barbati_45-64
27971,Buntesti,bh,Barbati_45-64
28077,Cabesti,bh,Barbati_45-64
28139,Capalna,bh,Femei_65_
28193,Carpinet,bh,Barbati_45-64
28246,Cefa,bh,Barbati_45-64
28335,Ceica,bh,Barbati_45-64
28415,Cetariu,bh,Femei_45-64
28497,Cherechiu,bh,Barbati_45-64
28530,Chislaz,bh,Barbati_45-64
28610,Ciuhoi,bh,Barbati_45-64
28665,Ciumeghiu,bh,Barbati_45-64
28709,Campani,bh,Femei_45-64
28763,Cociuba Mare,bh,Barbati_45-64
28816,Copacel,bh,Barbati_45-64
28889,Cristioru De Jos,bh,Barbati_45-64
28941,Curatele,bh,Barbati_45-64
29001,Curtuiseni,bh,Barbati_45-64
29038,Derna,bh,Barbati_45-64
29092,Diosig,bh,Femei_45-64
29154,Dobresti,bh,Barbati_45-64
29243,Draganesti,bh,Barbati_45-64
29341,Dragesti,bh,Femei_45-64
29403,Finis,bh,Barbati_45-64
29467,Girisu De Cris,bh,Barbati_45-64
29519,Hidiselu De Sus,bh,Barbati_45-64
29573,Holod,bh,Barbati_45-64
29662,Husasau De Tinca,bh,Barbati_45-64
29724,Ineu,bh,Barbati_45-64
29760,Lazuri De Beius,bh,Barbati_45-64
29813,Lazareni,bh,Barbati_45-64
29902,Lugasu De Jos,bh,Barbati_45-64
29948,Lunca,bh,Barbati_45-64
30014,Madaras,bh,Barbati_45-64
30069,Magesti,bh,Barbati_45-64
30149,Nojorid,bh,Barbati_45-64
30229,Olcea,bh,Barbati_45-64
30274,Osorhei,bh,Barbati_45-64
30336,Pietroasa,bh,Barbati_45-64
30416,Pocola,bh,Barbati_45-64
30470,Pomezeu,bh,Barbati_45-64
30568,Popesti,bh,Barbati_45-64
30648,Rabagani,bh,Barbati_45-64
30719,Remetea,bh,Barbati_45-64
30773,Rieni,bh,Barbati_45-64
30844,Rosia,bh,Barbati_45-64
30871,Sacadat,bh,Barbati_45-64
30915,Oras Sacueni,bh,Barbati_45-64
30988,Salacea,bh,Femei_45-64
31011,Salard,bh,Barbati_45-64
31057,Sambata,bh,Barbati_45-64
31128,Sarbi,bh,Barbati_45-64
31208,Spinus,bh,Femei_45-64
31262,Suplacu De Barcau,bh,Barbati_45-64
31333,Simian,bh,Barbati_45-64
31379,Sinteu,bh,Femei_45-64
31422,Soimi,bh,Barbati_45-64
31510,Suncuius,bh,Barbati_45-64
31565,Tarcea,bh,Femei_45-64
31609,Tarcaia,bh,Barbati_45-64
31654,Tauteu,bh,Barbati_45-64
31716,Tileagd,bh,Barbati_45-64
31789,Tinca,bh,Barbati_45-64
31841,Tulca,bh,Femei_45-64
31878,Tetchea,bh,Barbati_45-64
31921,Uileacu De Beius,bh,Barbati_45-64
31976,Vadu Crisului,bh,Barbati_45-64
32027,Oras Valea Lui Mihai,bh,Femei_45-64
32045,Viisoara,bh,Barbati_45-64
32090,Varciorog,bh,Barbati_45-64
32153,Tamaseu,bh,Barbati_45-64
32161,Paleu,bh,Barbati_45-64
32179,Sannicolau Roman,bh,Barbati_45-64
32187,Rosiori,bh,Barbati_45-64
32195,Gepiu,bh,Barbati_45-64
32201,Toboliu,bh,Barbati_45-64
32394,Municipiul Bistrita,bn,Femei_45-64
32483,Oras Beclean,bn,Femei_45-64
32544,Oras Nasaud,bn,Femei_45-64
32599,Oras Sangeorz-Bai,bn,Femei_45-64
32633,Bistrita Bargaului,bn,Femei_45-64
32660,Branistea,bn,Barbati_45-64
32704,Budacu De Jos,bn,Barbati_45-64
32768,Budesti,bn,Barbati_45-64
32811,Caianu Mic,bn,Femei_65_
32884,Cetate,bn,Barbati_45-64
32955,Ciceu-Giurgesti,bn,Barbati_45-64
33015,Chiochis,bn,Barbati_45-64
33122,Chiuza,bn,Barbati_45-64
33177,Cosbuc,bn,Barbati_45-64
33202,Dumitra,bn,Barbati_45-64
33248,Feldru,bn,Barbati_45-64
33275,Galatii Bistritei,bn,Barbati_45-64
33337,Ilva Mare,bn,Barbati_45-64
33364,Ilva Mica,bn,Barbati_45-64
33382,Josenii Bargaului,bn,Barbati_45-64
33435,Lechinta,bn,Barbati_45-64
33514,Lesu,bn,Barbati_45-64
33541,Livezile,bn,Barbati_45-64
33603,Lunca Ilvei,bn,Barbati_45-64
33621,Maieru,bn,Barbati_45-64
33658,Matei,bn,Barbati_45-64
33729,Magura Ilvei,bn,Barbati_45-64
33765,Mariselu,bn,Barbati_45-64
33845,Micestii De Campie,bn,Barbati_45-64
33881,Milas,bn,Barbati_45-64
33952,Monor,bn,Barbati_45-64
33989,Nimigea,bn,Barbati_45-64
34075,Nuseni,bn,Barbati_45-64
34155,Parva,bn,Barbati_45-64
34173,Petru Rares,bn,Barbati_45-64
34235,Prundu Bargaului,bn,Barbati_45-64
34262,Rebra,bn,Femei_45-64
34280,Rebrisoara,bn,Barbati_45-64
34333,Rodna,bn,Barbati_45-64
34360,Romuli,bn,Barbati_45-64
34397,Salva,bn,Femei_45-64
34422,Silivasu De Campie,bn,Barbati_45-64
34477,Sanmihaiu De Campie,bn,Barbati_45-64
34547,Spermezeu,bn,Barbati_45-64
34618,Sant,bn,Femei_45-64
34645,Sieu,bn,Femei_45-64
34690,Sieu-Magherus,bn,Barbati_45-64
34770,Sieu-Odorhei,bn,Barbati_45-64
34850,Sieut,bn,Barbati_45-64
34903,Sintereag,bn,Barbati_45-64
34985,Teaca,bn,Barbati_45-64
35054,Telciu,bn,Barbati_45-64
35090,Tiha Bargaului,bn,Barbati_45-64
35152,Tarlisua,bn,Barbati_45-64
35269,Uriu,bn,Barbati_45-64
35312,Urmenis,bn,Barbati_45-64
35429,Zagra,bn,Barbati_45-64
35731,Municipiul Botosani,bt,Femei_45-64
35759,Curtesti,bt,Barbati_45-64
35839,Rachiti,bt,Barbati_45-64
35884,Stauceni,bt,Barbati_45-64
35946,Oras Darabani,bt,Barbati_45-64
36006,Municipiul Dorohoi,bt,Femei_45-64
36060,Oras Saveni,bt,Barbati_45-64
36131,Albesti,bt,Barbati_45-64
36202,Avrameni,bt,Barbati_45-64
36300,Baluseni,bt,Barbati_45-64
36373,Braesti,bt,Barbati_45-64
36426,Broscauti,bt,Barbati_45-64
36453,Oras Bucecea,bt,Barbati_45-64
36499,Calarasi,bt,Barbati_45-64
36532,Concesti,bt,Barbati_45-64
36569,Copalau,bt,Barbati_45-64
36649,Cordareni,bt,Barbati_45-64
36676,Corlateni,bt,Barbati_45-64
36756,Corni,bt,Barbati_45-64
36809,Cotusca,bt,Barbati_45-64
36907,Cristesti,bt,Barbati_45-64
36952,Cristinesti,bt,Barbati_45-64
37011,Dersca,bt,Barbati_45-64
37057,Dangeni,bt,Barbati_45-64
37100,Dobarceni,bt,Barbati_45-64
37173,Draguseni,bt,Barbati_45-64
37217,Durnesti,bt,Barbati_45-64
37280,Oras Flamanzi,bt,Barbati_45-64
37324,Frumusica,bt,Barbati_45-64
37397,George Enescu,bt,Barbati_45-64
37459,Gorbanesti,bt,Barbati_45-64
37547,Havarna,bt,Barbati_45-64
37618,Hanesti,bt,Barbati_45-64
