Indicativ,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,F13,F14,F15,F16,F17,F18,F19,F20,F21,F22,F23,F24,F25,F26,F27,F28,F29,F30,F31
ab,0.3527846866164983,-0.17258710472855313,-0.6241814447332219,-0.25056805448267505,0.2373106250531268,-0.2680221082266203,-0.07811650688634122,1.8514286856805222,0.14239726590789845,2.5693845463044545,-1.5933667094098294,-0.25812330034261527,0.00358995481935795,-0.08917961807606602,0.6552932076580386,0.09948944861599991,0.4191548429738166,0.729609346071568,0.40725567698626985,-0.41072086093883303,1.6020268516046154,-1.622362292844254,-0.9137438419338005,-1.7139215640928205,-0.04213925710180325,-1.1020311316726146,0.12312553510281939,0.33759880684130794,-1.4771452992073573,-0.41135238132119556,0.0
ar,-0.31661919827158025,1.3491197649986906,-0.7430423226756744,0.5210447076192795,0.20553563604578048,-0.46253156373466686,0.16296567943192297,2.0028244563539266,-1.1158727428999191,0.5759062935168083,-0.11133359248122894,-0.03443144659656302,0.11523265184811218,-0.30551716650823746,0.2032237777982308,0.9864566868203384,0.9782029026086273,-2.623289334198574,0.7197791849628948,0.2803438374652191,0.6287715300574094,0.10739641958786632,0.4524977454511403,0.4391191647558525,-1.5647260371291751,0.3285551735124394,0.9897562835049785,-1.0035991913182711,0.7141672358841245,-0.23499964626512718,0.0
ag,-0.18573034576704922,-0.26862699733267836,-0.5837711496657257,-0.7175264928764473,-0.5813215885595467,-0.5562437269309176,-1.0426574359462266,3.5751598227018784,1.1861049627788955,-1.0904045122878874,0.9068460532261292,-0.4660212211437696,-0.15350934269477404,-0.23612181497786722,-0.0852591479536342,0.18709450631922797,-1.017123488395817,1.1441355516678933,-0.7385045914812063,-0.07287787018006943,0.44225317224181976,1.3491963524051112,-0.9951635211714903,1.592913778913774,-0.8062868222854312,0.23325629197314893,0.5957259906882606,-0.17154606219554197,-0.967327124963003,-0.646415473181138,0.0
bc,-0.3034190541003468,-0.9262424124614934,-0.6660218418795,0.36954239029582225,-0.5243509780739616,-0.2746847268871988,0.11214153609942626,0.07591863340497551,-1.092791985887332,-0.605827009349252,0.7152945780036458,-0.5469205261312258,0.006996427508314896,-0.42067819304127696,0.15260691041743177,0.8765918772239792,-1.1644431946078675,1.5382817405103826,0.594942187990784,-0.7769972811248407,-0.17790128685246362,-0.5854317583868052,2.0036912234015323,-0.34890624916077884,1.785586634742156,1.369523259262856,0.4365337428512781,0.7240037340802841,-1.844481984070851,-0.7904651724988591,0.0
bh,0.38737419869133616,0.8111878613614516,0.06238623803652928,-0.6187820477741519,-0.3732125986014628,1.0419924583726217,-0.06429863221629929,0.12088655052282372,0.6418118373457687,-0.8337644812540871,-0.8341966648030958,-0.26358973865051355,-0.1850934405411618,0.9585616822055361,0.09740880002309812,-0.03895711928671974,-1.1567953426411923,-0.9304934593489874,0.2603125291963859,0.46399833951787767,-1.9462553853141873,1.0339903853788397,-0.5423871424297222,-1.5236948750738561,0.3595356061081008,-1.109941161765282,0.6523267477807484,-1.7890720272157503,-0.3164871864555381,0.16620142983870018,0.0
bn,-0.9361698454768794,0.37754884467864447,-0.6403032126253348,0.13147313891932594,-0.23336745105566137,1.3135325457082379,1.7797220002748324,-0.1028729695546636,2.973111572881847,-1.6134953750556842,-1.4464152160471238,-0.23128715275436365,-0.11005791321590713,-0.03815283169655133,0.6888335529613197,0.6536081204670892,-0.8546484492875848,-0.10950391315094375,-1.5794988600938733,0.40082327436471665,-1.103459504904988,-1.970482160352373,0.5856376578814442,-0.6068169684501756,0.2810481574226044,0.4223861525015557,0.651140413943984,-0.5124040585917322,0.4535349524080186,0.19337994663839028,0.0
bt,-0.046532091383670274,1.3413697113144845,-0.15526587552007715,1.434926265260874,0.015047886389569566,-0.26016887293703383,-0.6776118553024592,-0.9229583579657027,0.08945439088448558,-0.15287088013651912,-1.6927641314180744,-0.27414189458515603,0.5706297599816371,-0.5064412831748976,-1.7652950464104669,-0.7437504054301534,-0.02860795054446937,-0.8400413942379021,-0.051851733687957424,0.43213891567261875,1.6699831755144094,0.8715382843777486,-2.5740687303615184,-0.1562946803070842,0.8905602760144821,0.6086888717956749,0.3875539549661057,-0.13307097331381168,-0.5703974535984991,0.13348523897081427,0.0
br,-0.2227684611655341,0.09709420502470968,-0.28126793557969965,0.000594394769703376,-0.38201955920997993,-0.658172126294198,-1.0469484556341793,-0.6634369063376543,0.20598823452655393,0.7636421929759574,0.011920413037854705,4.952330260905633,0.5640213133181097,-0.03534310278677208,1.7462808442146798,-0.37750540188261505,-0.39295942827130653,0.010346289283472558,-1.2104712109335323,-0.3479139783689095,-0.27370121805142505,0.9385301500071619,0.45816743604491783,-0.730700355637965,-0.3501414516921389,-0.3920846736732851,-0.31930600156758726,-1.0792954603404512,-1.104806207098926,0.0063852976895252276,0.0
bv,-0.4618598836492139,0.20141421864905912,5.17555293371754,0.11557478013812895,0.1281160343092864,0.6601438417247584,-0.5546060987224928,0.5943546508373065,-0.2593798590201432,-0.17664513370304177,0.0124393245867673,0.08296527111522793,0.03034535913249329,0.84650512964549,0.37274806078096756,-0.10353966611024323,0.37726488956281634,0.2143112640069263,0.9816238013063298,0.1847492507411977,-0.4989607268886286,-0.49894895011124757,-0.26622506217670966,-1.2747496930321685,-0.20101921903891473,0.8235751979231656,0.18232361195554236,0.3487308175840941,-0.22888298691586473,-0.352221111310633,0.0
bz,-0.05755814737622083,-2.6273319881166106,0.106490703147379,-0.7275536977457442,0.7932426352947746,-0.4113985360328567,-0.8800047309595938,-0.45635558698548534,-0.08564685443941468,-0.401997734305651,-1.9400520504050265,-0.18355235147757187,-0.7603988797863945,-0.31370632869523724,1.479430231547175,-0.18363271235270223,0.8705555994345234,1.1024088353611354,-0.640563437661175,0.8387338122362151,0.6023249380666517,-1.063028005800816,-0.2763205435926805,0.636104810127336,-1.4172918011007223,0.4508410952729756,-0.49817455027305013,-0.039231351657224,0.2736858062182748,0.7628296496813317,0.0
cl,-0.7382919072231396,0.4142475885584948,0.234456158116952,-0.6917121769510677,-1.4066228045239486,0.4509861497843632,0.09345164232713749,-0.16738744754525034,-0.9933836494180182,-0.3150053056652126,-1.144432580163454,0.9404978219858282,0.6210735563120943,-0.7709386690244766,-0.9177687236210484,-0.4932485381556184,-0.2753728302374332,1.2678586299497274,0.6174380395489488,0.7113588616703351,0.20370023329014134,0.3242030098583838,0.23710964414047792,2.2995516881488265,0.4922507162796625,0.9268452614890758,-0.6346192823098608,-0.5028369785865026,1.2352459945077259,0.3249662634042937,0.0
cs,-0.3331481992085732,0.949486870566008,-0.25273697369445636,0.8512154428219093,0.5933989379461152,-1.8067006509324484,0.5473717603698441,-0.42597940356138436,-0.9079556414515336,1.666539955057591,-0.18720491043717283,-0.4496854908205406,-1.148255750208431,0.9396174184125717,-0.028207346147397918,1.6127603286493626,-0.6113768080960695,0.1659483412259199,-0.17196706043819493,0.9017294860626284,-0.45777173518039915,-0.08879606337602128,1.3393514542396978,0.31749262659767474,1.0057794855363886,-0.8333207898492486,-1.2842849871686604,-0.665735932188055,0.7178990526029679,-0.03437456791550372,0.0
cj,2.7615435680449596,0.8487476765583981,-0.5071200304465422,-1.0253761845384872,0.36380791576842975,0.8932178880321816,0.24090848944618246,-1.458400370659303,-0.3017770750679706,0.523988643278274,0.1499124734058837,-1.0630937739589719,-0.392578214110672,-0.5436455389814757,1.4695897586498707,-1.1321714699281744,0.06370436661856071,1.0850260145611725,-1.8674017239905665,-0.06647317830350001,1.3959033285812976,1.1825977121845705,-0.023022881962858715,-0.22070588998674753,0.6934772473937953,-0.12248061032065279,1.0897711740477525,0.7217685184912801,0.5682286806768568,-0.4999681219468816,0.0
ct,0.03661401890329382,0.19025690748035562,-1.0326969469460636,0.16243448202761357,-0.14616109721808931,0.05770704088770683,-0.22264920243469133,-0.09161692842768719,-0.6257695210663606,-0.3387583179514567,0.9441616941683636,-0.03186031505371882,0.9005313867072366,5.187591310253239,0.24903700560413375,-1.1968311873749622,0.9168995212945367,0.7067586529844535,0.10912501198578346,0.5039430287782056,0.44869641730953946,-0.4463072883289938,0.20884256367421286,0.15851974574087177,-0.07824747251313678,0.863301092627169,1.2024578889684885,0.12004564716374225,0.08156527556377119,0.4157163207955022,0.0
cv,0.6404747270067676,-0.576400851304627,-0.02263853702038127,-0.8931599191184911,-0.13283370161449326,1.1664340247385203,-0.6926060768688826,-0.5271655833097857,0.24231035687358848,0.648888434023963,-0.01774523312289878,-0.022376182720739924,-0.44261236840945767,1.289015630123906,0.0758797734351008,1.2725388760164376,-0.0957300664877885,-1.7860522345823755,-0.281848039132944,-0.3991326589232578,1.1478982274042853,-0.1023126556639531,-0.5463875512245041,0.5938083541142629,0.5491956462401794,1.9322857349404892,-2.8999606700190395,-0.9023275933552091,0.28631066513298015,-0.21037279148926386,0.0
db,-1.0402747276260147,0.7371240257592674,0.14842796907318517,-0.47771950529977586,-1.1022159606506692,0.5144287048263729,-0.5926634434250008,-0.4987072173752362,-0.6810982258093204,-0.4703787514002881,1.088311318894682,-0.7475670109212993,-0.8832997610594223,-0.6959186059421895,0.8490416526466266,-0.3495889057341226,-0.4009600306061111,-1.079892599667164,0.7887584716824948,0.07419416254198968,0.9141244731782202,-1.1141225593851805,0.5192585175651719,0.823651158467239,-1.3356522137563585,-2.0235334080269474,-0.3925093397469379,0.2559154224411116,-0.5622253536118168,0.7918205598451405,0.0
dj,1.7034637069440153,-2.076765016823967,-0.49710959503372043,-0.8554585420296588,0.7238959912083303,-0.5594036017764252,-1.1338094055210761,0.5139411380818759,-0.2287193945854917,-0.7136496320302292,0.4260879136552685,-0.14607058356352584,1.3670135363515645,-0.19617027336429338,-1.2578387430249323,-0.775664123225923,-0.20439174483185463,-0.6723858802204642,0.009144123965419892,0.008506119942222477,-1.382871783665495,-0.13179245871308423,-0.12001727707376023,-0.07207479209348927,0.18136941463668926,-1.0616783098697171,-0.1918866063980527,0.23666740994698163,1.7000861553693964,0.054343238895938076,0.0
gl,-0.5869258852472135,-1.2196423875599436,-0.30252025915072994,2.2623816562954384,-0.4512434808800946,-0.22218294780721118,-0.2473648662686765,-0.027952563778799715,0.0729162503348099,-0.7147426382125995,1.8121135817863894,-0.14367007101973472,0.1357415035453085,-0.3983313676074733,2.1677123169956927,-0.6334556491441884,-0.07783599513396225,-0.9678756261347278,1.0392422741490803,-0.22934284059780677,-0.1941251661321627,-0.032140677631485794,-1.5181126823177395,0.4070273343992649,1.9442545320907596,0.029465304442555306,0.9718415991553229,0.044896061208490684,0.4417979240709567,0.14897052135419098,0.0
gr,-1.2494011624512171,1.295666405678053,-0.1932365722917521,-0.8422947237074353,-1.3542625712717675,0.7122992846307653,0.2579123270496622,-0.5937192493899683,-0.577791260600897,1.311325667558734,1.2975732132104683,0.11292440773395525,-0.43508437033146874,-0.7803142001639024,-1.4345927264492897,-0.9639781375189399,0.38828145177616974,-0.12086455628670599,-1.2677693685298161,1.2262674949477523,-0.4703561598434285,-0.46319887681893007,-0.5450583773793485,-0.6359757565073931,0.533237002888797,0.16147575356685634,0.07500692589456655,1.6149438921830719,0.014661483670543518,-0.6962848463601612,0.0
