Indicativ,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,C14,C15,C16,C17
ab,0.7335877172297036,0.3276602197338029,-0.7500236263801263,1.093969317486272,-0.5070579855658411,-1.8092007604066462,0.6817488578527419,0.00382075657399218,-2.074431334201756,-0.23770688859640984,0.236475215311311,0.5399518862123418,-0.549085065419043,0.2477534537817177,0.18206483481029342,0.46254922294336376,-3.535271393343278
ar,-0.23617493814866095,-0.7948494709231411,-0.7775144982073628,0.14364175845494645,1.3656646321179748,-0.21406671568177293,0.6267302849711937,0.8085289077175576,0.6552479481669524,-0.8251777689559144,0.8156130739406432,0.5727876702930874,-0.6681420006132309,-0.355056850867973,0.7633476045710987,0.8000894874476723,0.29131150350589685
ag,-0.1972640339092119,-1.8389782807476591,-0.30687245371174815,1.2892380868951308,-0.16483015472017074,0.012789923645012772,1.6474024200364221,0.4325001792930242,0.7080436857180191,-0.5447714722987713,-1.0831053254920253,-0.2692217102618163,0.315163499024665,-1.4707810812950544,0.5641121562608001,0.23269113553809417,-1.6297546840478643
bc,-0.8624730308239316,1.2346253789798542,-1.0370920708406701,-1.2246297670195536,-1.5066347380804477,1.1990263950930513,-0.4403758791220328,1.697949871888573,-0.4297922587323683,0.25341197438376706,-1.503212701804439,2.1795171609795614,0.7366325630480226,0.6725340915305702,0.6327347981955289,-1.1920247564845163,-1.3599290964389958
bh,0.6551699468899211,0.7364825441486433,-0.12292215902434964,2.43581592375355,2.6873766775830936,1.5096452831192912,-1.2088734377502701,0.7611433077077246,-0.7956193742955558,-0.23229346770355208,-1.1355620897383756,0.09764430722277519,-0.771973864399215,0.07513548122963382,0.6981185776973835,-0.1408146514967706,0.37146035942425865
bn,1.2542364382930167,1.3840989155196177,-1.0251958611506264,2.651825692091372,-1.1802347129564488,-1.356776882079198,1.9449428834755629,-0.27687929946210776,-0.04241152212257889,0.4257296957266204,-0.5768607509381303,0.225060045337497,-0.23543374039290407,0.962886738714189,0.8018420424224968,0.506559798663064,1.6014176125467456
bt,-1.1607790024537104,-1.454919838499291,-0.4055153954030376,0.5018901365716151,-0.8337172545046304,-1.1872072495025912,-1.051707045617472,0.851314596916889,0.5028443052852045,-0.8587982284305513,0.5032404254392507,-1.5249697244337703,0.09818658534587602,0.6234339654937592,-0.5635847234265835,1.3986582210069287,0.6663489528336456
br,-1.6815835517080664,0.386960555922337,-1.0453501277306556,0.03280571812286609,2.1278105106991503,-0.09393875326167027,1.0671093913195417,-1.1660973375887964,-1.3181310763195788,0.8620380762152512,-0.41165002455643873,-0.36802739328242173,1.1890981445825974,1.0006224174533016,0.6873351730590426,0.15366890866013266,0.6414332557259664
bv,1.1263356175222619,-0.7497463762725081,-0.3501083345353363,0.266683275353548,1.439018359690038,0.49785392711208865,-1.780480077196689,1.18199459430762,-1.0114691819754682,0.5228789446830762,0.18811114525214126,0.7007976764156244,-0.45933926040823286,-0.7932698327395321,-0.04603672085247531,-0.6391247294937209,-0.48214177815391546
bz,-1.2085005336644636,-1.1093258247168363,1.2714761211939725,-0.4612218936349039,0.6049734547448196,0.7646482223514567,-0.9094981137987864,-1.6312899058410402,-1.6663816535718807,0.8090554757436041,-0.14342688687410618,-0.3263911121952829,-1.0072594175582483,0.20033412743487478,0.5554562611656305,-0.7259735462038185,-1.3353114217158326
cl,-1.1638913129633977,-2.5886275532854435,-0.37903735213477785,0.22033496021010454,-0.008392051101093452,0.11826630766088427,1.3274532682638622,0.13023004202490376,-1.5087762926007575,-0.8381854045437032,0.5822053319310082,1.5730034535676538,-0.8058379456279468,-0.15013334003480092,-1.9504589364901956,-1.1308403192470906,1.5901707162991563
cs,0.4646299700133305,1.4201121799812204,-0.176217920126684,-1.0621220728032612,0.02903740254389928,0.10128986066088481,3.0112011525411657,2.1595113221523765,-1.872662222916712,0.579570116679261,0.711207468733204,-2.3915922169890607,0.18388979309414924,0.2688536096872678,-0.5137900703610432,-0.218347785712411,0.3725095410104548
cj,1.3812795076218802,-0.13422092855476464,0.22115762228891506,0.5070144392238586,0.22514204768889465,-0.4024179806637784,-0.8648879337221422,-0.6389747270669367,0.03441849314562586,0.8958897473032525,0.7131774707989598,-0.2631021893048046,2.1661910904990163,-1.502034457669042,1.6228890759036705,-0.8662038050819181,0.9031276284474985
ct,0.5221460626582142,-0.4342728964584584,-0.10539122034438918,-0.911097066202618,-0.16729215191372515,0.22205590272397788,-0.004621777776046322,0.1646955073507139,0.8635401091713233,-0.9979140195528523,-0.7336557295212413,-1.4894505238006648,0.5409495666997088,-1.586269235986817,1.2157793445345335,1.0366532703274827,0.32106609796074187
cv,0.3589643016146068,0.03423311465720692,-0.11127483542244249,0.8653959380403564,0.2670099751769715,0.4271978864956304,-0.5419332955200236,0.4977027882790036,0.7214682182881856,1.7084080138003643,-0.4663837196423586,0.024617283289690855,-1.5870895167982135,1.2784234756823991,-1.7754219307135115,-0.1789054275917741,0.33456530548377
db,-0.23407707762361085,-2.405833371796101,0.5487362976566039,0.3104108588685876,-0.1319018157092259,-1.4440378277640333,0.3585203351175343,2.0506685077206614,0.9079978008027515,0.6065922229344632,0.15289025293864061,0.5050001371229809,1.2731768441814069,0.25396560374497984,-0.341320466492089,-0.5325174823245767,0.336895408761561
dj,-0.38565577586341954,0.9566500532671554,1.2278442427609908,0.3501583183869487,-0.2869281138353399,0.9351359809227057,1.5436504958784139,-0.6973973314938587,0.5909183672015338,-1.0567672505755705,0.6622332989756612,0.9105172350250799,1.3216619272798904,-0.49334134206545954,-0.7038378973361255,-1.5571813676335098,0.5258615665811593
gl,-0.9300853386880779,0.9447073305659023,-0.8686965964887059,-0.6321809156477963,0.7221999393673444,0.24949066677173837,0.240129044884774,0.07774227211395612,2.4488115609321794,0.5070017998430351,-1.351287713220551,1.3861634558403342,-0.7935915051297278,1.598473454353042,0.220520396431788,0.2729787066943661,0.7176291464166328
gr,-0.5446693231956552,0.2530506332252104,1.1340565359721517,0.029206213053945967,-0.594509289214184,-0.6090320782485438,0.292119521667113,-1.445855106243215,-0.398719414437833,-0.04629281595463975,-0.40766016900162616,2.3022561348314525,0.8169478490838493,-0.5232535959113604,0.300465399371201,1.9130149279710065,-0.7060093648288944
