CountryCode,F1,F2,F3,F4,F5,F6,F7
ABW,-0.018850912169380517,1.145305871289104,-0.36373949185750154,-0.22515776934483198,-0.051785987818908474,-1.0697251423019407,0.3261615450831446
AGO,-0.1857189139555109,-1.1297121353952786,-0.3418708391176678,-0.36528232127406485,-0.26545097012117697,0.475165805518738,-0.12177508117465358
ALB,0.02465542410220057,0.19139236517515804,0.9796329068810807,-0.8080828160972781,1.3513258465702391,-1.0996344205473423,-0.24665740067632044
AND,0.013620086597772816,1.5958222504796173,0.19181632813521404,-0.44555685941734663,-0.2955806629803212,0.09216788673320007,-0.47903867377848797
ARE,0.031052831974361313,1.178539691659593,0.19403946886224221,0.13649184692179187,-0.44957466011626845,0.10254282405306617,-1.5038644592814399
ARG,-0.178884253651371,0.832870509344052,-0.21217045388380465,-0.6268695221581606,-0.6767727425007153,-0.7192795182178402,0.568839038172815
ARM,1.395102231330749,-0.9224468876123333,7.227591593037609,-0.8664566500018183,-0.2013137739003857,-0.5793735953733529,-1.5343925266813059
ASM,0.7054157291710527,-0.7098281277879783,0.48207105492001623,0.15470172719496297,-0.02563712521894007,0.8076855414816001,0.5592176744159565
ATG,-0.19592858962066864,0.4615844073698726,-0.07519523349766387,-0.207680281023307,-0.10429689842981599,-0.10512251928492748,-0.4305259824546106
AUS,-0.07102574234993551,1.3454097515027394,0.18982931914312734,-0.6163817581862745,0.3195519991580052,0.056999722179723974,-0.27301750934815633
AUT,-0.21525364663923552,1.2441525939578404,-0.5254005527698798,-0.1189715586551052,1.0163612787442624,0.9626997797577624,0.9963336004312144
AZE,-0.2798292343922776,0.9531720102160879,-0.6278060890839549,-0.8559871725123789,1.269081819896358,-0.8961214103612258,-0.7412544818498872
BDI,-0.08838992202302969,-1.6865601115479512,-0.6648369894971614,0.2853781152367671,1.6253006963828638,0.4137102181037262,-0.05608092237529012
BEL,-0.2072054561540791,1.4301027697556516,-0.532110195075507,0.03051571156141338,1.4676430386617243,0.8548247347616834,0.9986834959445199
BEN,-0.1555104578688447,-1.380220380337862,-0.32245455095490544,-0.5545445094632766,-0.018679499666451792,0.5508940735086468,-0.1954271572976316
BFA,-0.12027264570823423,-1.3743008047217546,-0.607038748195087,-0.7155703136117215,1.3458156411586002,0.3280893445846066,-0.132960415639374
BGD,0.08238484952516052,-1.586431668788684,0.7656574968588854,-0.39577504695813803,1.3912515520491706,-0.1170599459671115,-0.45915378542166474
BGR,0.23169642338649404,-0.03485370107977549,1.6221278388214369,1.2351507961527117,-0.36229715464240647,-0.4669789264733525,0.21009280532851715
BHR,-0.2828648951082673,1.5987534777378984,-0.3741872020629747,-0.335027342145612,-0.18553540423816897,-0.6971650146981043,-0.8622964720491868
BHS,-0.28694845440335576,1.161625379563016,-0.492337780417571,-0.5446310358292605,-0.025276902829660542,-0.6575525099707614,-0.1410896382781954
BIH,0.1670786010583427,0.2733962967986339,1.8432433837168292,-1.0837883246998563,0.3571877418648505,-0.281265021095597,1.2527415323062192
BLR,-0.10587594362635876,-0.09981088280274128,2.9175403845167014,-0.09211184368731477,1.3909264563106885,0.22687874344937603,0.7200961704542204
BLZ,0.02620758651033462,-0.20467202902841042,-0.01928795271105415,-0.5883354413479238,-1.886812364681657,-0.09546617189809603,0.826921986965701
BMU,-0.044117494010701246,2.399849656833281,-0.7844977414448224,-0.3681333304984268,-0.2016693929903424,-0.8446344511684452,-0.9026800085495166
BOL,-0.06342600467429417,-0.12335718181842852,0.0019369792647827215,-0.5358882456514971,-1.3871953820838534,-0.35101902508178723,0.1634843141448004
BRA,-0.18847748938016567,0.4636583319498356,-0.3506388010176968,-0.13251706603123584,-1.666851459385552,-0.37919484975401435,0.5390316087118318
BRB,-0.15118444815862123,1.1008353868276293,-0.02645911940823834,-0.16456128451280597,-0.07295988309263698,-0.8028521258891416,0.6844589292073446
BRN,-0.17709380419929374,0.6736584984629392,-0.622750629870042,-0.7063632380385896,0.07951441765980732,-0.543749653360028,-0.3177676723597123
BTN,-0.27816648128887633,-0.6099561085274391,0.9500177035778908,-0.5490194137109283,0.13678072746313838,-0.6364750318245984,-0.4854394627301103
BWA,-0.10234548056055566,-0.7190130824674452,-0.32393071129320844,-0.1924536092206815,-2.292653756002475,0.138913172640799,1.635289993162049
CAF,-0.11971829785638215,-1.4719402711695266,-0.20076191137751692,0.39982959061729456,-2.0116804933329617,0.7616575281802297,-0.05634922912492841
CAN,-0.09276574303685267,1.515812811507414,0.5422126179867166,-0.27097438265026574,0.23337002609190216,0.3069338860676293,-0.6507398609791516
CHE,-0.006395330277964614,1.3946699506659088,-0.563742922912334,0.5116245081224655,0.8120757761341757,2.9375147408905478,0.7432714267029603
CHI,-0.11623080505622028,0.09233651135718848,-0.5580652781431767,0.05497464025413595,0.1130215596478137,-0.18352267128880215,-0.060755750640742644
CHL,-0.22211220203495946,0.7210328055858597,-0.45931582345253047,-0.1581561519780753,-1.265197597956396,-0.17542561291445175,0.304069001719571
CHN,-0.2235450140731464,0.10473135342015066,-0.5141971821711719,0.6433297521417843,-0.574000557614348,-0.1673682033041772,-0.3670738896669881
CMR,-0.09609566881213691,-1.0459357069909456,-0.355532857353509,0.4507043330985727,-0.9454148077106608,-0.3215771653903772,-0.7857866826266939
COD,-0.12102418632844923,-1.4632284822876371,-0.4151326978906543,0.42213338055603017,-0.23551810327802697,-0.16385478280355947,-0.935964661035295
COG,-0.10807422882349314,-1.3721744098648552,-0.31693191133337756,0.5705514489109473,-1.1293176325394478,-0.14828580648687004,-0.19596683823556715
COL,-0.22669829123883678,0.40243239919382967,-0.21103159933383064,-0.3812648809352088,-1.8782919444562092,-0.38980984939423646,0.09505462977680228
COM,-0.13952562838688456,-1.4173991057407305,-0.23625391473133617,0.4694746668292243,-1.7003757000570427,0.786897491540448,0.19515371976377374
CPV,-0.14436326738087243,-0.2552130958330752,-0.5186151974517419,0.20883484941382685,-0.8689616193769139,-0.1675615627998836,0.18933510942169623
CRI,-0.10881966754349237,0.24334968893534,0.14671758035563642,-0.49150326316027787,-1.283215713989068,0.15925445595462887,0.8814770628292706
CUW,-0.3240631688684581,0.3202871335654661,-0.5043567570921839,-0.10805285007011707,0.012040306824096103,0.37972273750696206,-0.6408775829484101
CYM,-0.5917567590387702,1.000344066579724,0.8730699335812999,-0.10943428558061202,-0.1261514029769162,-0.6513468975456084,0.21802224387181404
CYP,-0.04029568502065561,0.6285633687588986,0.24860945875104623,-0.8954456025042974,0.9025724414178288,0.8483822461603454,1.2176061259475501
CZE,-0.042378923731819305,0.9333953075140085,-0.31928861421127513,0.5341842539886564,1.8394174392207192,-0.68288227448998,0.07513921534530912
DEU,-0.2711850706735093,1.5139599648897075,-0.6513430963654606,-0.21772701703278557,1.2321190968520408,0.875915644861046,0.8944651347662574
DMA,-0.05469673305989782,0.5996373241338753,0.09476678121023899,-0.5710977866534948,-0.05591298117500724,-0.5693108616329593,0.34608480606940917
DNK,-0.08390253010472472,1.425084782677333,0.032246185453199995,1.6683821580503342,0.9617272829730055,0.658842282150376,1.094266520869596
DOM,-0.11269447672805737,0.1174546866794058,-0.26836060956643476,-0.5422163771995085,-0.9096656846330589,-0.5332598283546636,-0.2505233841631146
DZA,-0.12544957863079803,-0.480667195010844,-0.44768664667642494,-0.6539579157217218,0.29968198140258573,-0.18192389015265373,0.016242341234673028
ECU,-0.2142702034391107,0.09639243979429973,-0.3898093376526657,-0.365211439675006,-0.7786377252166323,-0.5736757501637891,-0.5111353758430758
EGY,-0.17548150033786708,-0.3164776330020009,0.0031616140098722416,-0.8852887918609299,0.16921647080471586,0.19067090830036842,-0.023236929634108006
ERI,-0.11601246886941065,-1.6999582037144836,-0.40794361816886465,0.3386797056880818,0.2790063470435962,0.7522522305230801,-0.32599157106219184
ESP,-0.21126034913062525,1.223344706584206,-0.5122041727713899,0.14330247554308004,0.016426127789519344,-0.10805985778199209,1.3679661779376941
EST,-0.10947663545640593,1.1508581019380593,1.3709434283229358,0.7796210374165747,0.058328808929492174,-0.12834845801091632,-0.1329342064178934
ETH,-0.10654067064249428,-1.4647915473859274,-0.5547576585233787,0.03758504460407651,1.3051890429861246,0.09343136389089302,-0.0852632220203074
FIN,0.17426591611377834,1.3405293250345716,-0.4033736938283136,0.40594031193323205,1.6649052277838579,0.9480139952880685,1.116649150086793
FJI,-0.058557653651112915,-0.21114676649250289,-0.596331377010344,-0.4242365716242521,-0.11954137923465241,-0.20134197476114804,0.0454646107352353
FRA,-0.30922450016556635,1.4102364975348372,-0.6452016385210659,0.5944005442754966,0.7840149237802112,0.8685572158809545,1.0735644245355227
FRO,13.360993388324404,0.24605103200526995,-1.7373034881468405,-0.5847240999282114,-0.26047719104863754,-0.5800687197789711,0.01790205469171108
GAB,-0.08567119091711874,-0.9769249468236239,-0.5435054500771324,-0.33596879188651635,-0.03914937368285712,0.008011332062194608,0.6699582866603309
GBR,-0.2165773013406893,1.6503406161265888,0.06534135215892883,-0.10322279428054594,0.55655148205913,0.6201627847983328,0.5704796960777079
GEO,-0.018632899481642935,-0.29246127702147307,1.2018837537246898,0.3783243554265781,-0.5552667155906419,-0.5466394198226793,-0.8563600405972831
GHA,-0.1395531120138982,-0.9268932737771153,-0.3360692919551825,-0.20418056070636725,-0.34176208214051895,0.15119299019608604,0.14313100876888418
GIB,0.23242830225844202,0.5035482490253853,0.790966424544552,0.16171327799432578,0.024257155597308278,-0.6044696127669702,0.932718730834058
GIN,-0.15377893885321223,-1.48939827430362,-0.4444122248153189,-0.6667744787760972,1.1831964353019169,0.42180847559876455,-0.37569538755374327
GMB,-0.18207742556488374,-0.994410055519628,-0.2823707305350158,-0.6671714819333487,-0.8097344831764536,0.4584992337651485,-0.2525051680720399
GNQ,-0.11049327792125377,-1.0596841405256685,-0.4898494343122151,0.24389723931544804,0.22232655182934813,0.35557405943757664,-0.26602485891786337
GRC,-0.14100786515048533,0.8861923672914765,0.2025498940042282,-0.6678880649918977,-0.051938684504139875,-0.43263439034516865,1.1776172711408546
GRD,-0.24407604161773977,0.20348936942279172,0.04462851140562291,0.04099835472247956,-0.01283770953010255,-0.6630691858308096,-0.056070673825785886
GRL,-0.09277541488245256,0.8465500774510547,-0.8251302975726913,-0.07541750455104823,0.0449746746975453,-0.5614472097380062,-0.23882368348344493
GTM,-0.16226104811996625,-0.6863081604889936,-0.27900684023522543,-0.5111008953067611,-1.0730927996591175,0.2483452307545002,-0.16478549529708333
GUM,-0.10756434155405924,0.6103315838928142,-0.6141463920875014,-0.08745215141551602,0.003614725531108791,-0.593292855895679,-0.2018230670523187
GUY,-0.27288941879974815,-0.2187903604946562,-0.14683658867400534,-0.7232663094848782,-0.8288601892408073,-0.029288244528940764,-0.03739585185043156
HKG,0.24206482289834957,-0.027076221005157292,-0.4140967254550505,7.32945356071946,-0.9947724710510247,-0.9289600111630821,-0.8292595854382205
HND,-0.1499500918894524,-0.8078534607104588,-0.23179368760821636,-0.24312744221733426,-1.4786914596778018,-0.2985310253068765,0.0014113624335243752
HRV,0.17693406846525533,0.625850300693943,1.8491971487991186,-0.8313604781677576,0.26369192264536595,-0.5580963462805693,0.5734795927430402
HTI,-0.16578643965382023,-1.1167860874749145,-0.02719782947284975,-0.06851026102441758,-2.742828475219711,0.621850027743443,-0.07227990098744497
HUN,-0.12124830455292639,0.8816497645668925,-0.0858516825095036,0.510112419399045,0.9147277158211271,-0.46658235816048266,0.09416558304399086
IDN,-0.08537191518028912,-0.9714997247526128,-0.5158080653422227,-0.3762475142556043,0.5787995381655053,-0.4680777305837262,-0.6385689228324986
IMN,-0.018965844240218646,0.20958145794253014,0.1522030281836201,-0.11402900222496964,-0.10837543092989547,-0.4626744141087019,-0.25420178288265005
IND,0.048378770279008936,-1.0615943115759356,0.048152276534525744,-0.3950145045211515,1.1027651213544358,-0.38260347410552215,-0.9983374195164387
IRL,-0.12186247957532659,0.5706648280637214,0.8303108508072299,-0.26550137586271116,0.43204143156459235,3.732250597448097,0.22116104693909341
ISL,0.18035047786857467,1.1594329819311808,0.7980802117144872,1.7989209038247638,1.023574828075196,1.124147577605048,0.6181520600549943
ISR,-0.025551269436144417,1.1480525815198073,0.23313123964657678,0.0976409558974336,-1.0361440293990547,0.28853109091133533,0.18288076009928023
ITA,-0.24498232060622321,0.787110538520708,-0.39835571253432034,-0.7624740666117682,0.32337931512138335,0.29035467278074345,0.8844376160236098
JAM,0.12666777106359053,-0.3898160042136252,0.7682787702577946,-0.6477978015732246,-0.8375588279901732,0.22776628029091503,0.9115724718776138
JOR,-0.15140479504329807,0.061022213438362165,-0.2340718549182303,-0.6220248046938193,0.15925043992196167,-0.2167996391865809,-0.06358298244838595
JPN,-0.3588220039041189,1.4780185358742677,-0.7000579005227551,1.141622927064866,0.5731566785027252,-1.1778525975158227,-0.9612885125104698
KAZ,-0.15636917275117795,0.4134509571207669,-0.7267887720819002,0.41977685471151444,2.0891406465179605,-1.0925128369751693,-1.0939036645642475
KEN,-0.09682566750496954,-0.2586565518746202,-0.2052705270137012,-0.20988164418496102,-1.0492049521943208,-0.16913183063291493,0.43574727888448944
KGZ,-0.032596455157661665,-0.9047154663546801,-0.5860005906224617,0.1726141837642708,2.3776077067741572,-0.9685125840584039,-0.2686908959167508
KHM,-0.06535700275954465,-1.242306140385426,-0.5833594524888349,-0.0663542002493483,1.7756118206071996,-0.6511113230212249,-1.309250911466109
