Country,Continent,Code,2000,2005,2010,2015,2018,Consum mediu,Clusters
Guatemala,Europe,GTM,4.4,4.29,3.51,2.55,2.45,3.44,C1
Guinea,Africa,GIN,0.67,0.77,0.7,1.07,1.11,0.8640000000000001,C1
Guinea-Bissau,Americas,GNB,4.15,5.31,4.47,5.05,5.38,4.872,C2
Guyana,Europe,GUY,8.98,7.98,6.78,7.35,6.89,7.596000000000001,C2
Haiti,Oceania,HTI,3.97,3.86,2.99,2.69,2.73,3.2479999999999998,C1
Honduras,Europe,HND,3.5,3.88,3.59,3.49,3.76,3.6439999999999997,C1
Hungary,Europe,HUN,14.27,14.56,12.09,11.6,11.35,12.774000000000001,C2
Iceland,Americas,ISL,7.03,7.74,7.5,8.74,9.12,8.026,C2
India,Oceania,IND,2.28,2.33,4.35,5.54,5.54,4.008,C1
Indonesia,Asia,IDN,0.5,0.48,0.59,0.6,0.57,0.5479999999999999,C1
Iraq,Africa,IRQ,0.45,0.44,0.49,0.37,0.39,0.42800000000000005,C1
Ireland,Asia,IRL,15.13,14.2,12.07,12.47,12.88,13.35,C2
Israel,Europe,ISR,3.08,2.7,3.12,3.86,4.21,3.3939999999999997,C1
Italy,Africa,ITA,10.37,9.41,7.34,7.59,7.84,8.51,C2
Jamaica,Europe,JAM,4.91,4.43,4.38,4.19,4.22,4.426,C2
Japan,Europe,JPN,8.23,7.99,7.2,7.87,7.96,7.85,C2
Jordan,Americas,JOR,0.62,0.66,0.64,0.69,0.69,0.6599999999999999,C1
Kazakhstan,Americas,KAZ,8.18,9.33,4.97,4.66,4.76,6.38,C2
Kenya,Americas,KEN,3.83,3.01,3.29,2.77,2.78,3.1359999999999997,C1
Kiribati,Oceania,KIR,1.96,2.16,1.65,0.52,0.46,1.3499999999999999,C1
Kuwait,Americas,KWT,0.038,0.019,0.032,0.003,0.003,0.019,C1
Kyrgyzstan,Europe,KGZ,9.45,11.19,10.08,7.59,6.26,8.914,C2
Latvia,Africa,LVA,8.76,11.96,11.63,12.64,12.77,11.552000000000001,C2
Lebanon,Americas,LBN,2.96,2.31,1.94,1.65,1.71,2.114,C1
Lesotho,Americas,LSO,7.31,5.37,6.5,4.8,4.59,5.714,C2
Liberia,Africa,LBR,6.38,6.05,5.37,5.7,6.12,5.924,C2
Lithuania,Americas,LTU,13.36,16.1,15.25,15.38,13.22,14.662,C2
Luxembourg,Asia,LUX,14.32,13.58,12.98,13.18,12.94,13.4,C2
Madagascar,Europe,MDG,2.11,1.53,1.87,1.88,1.97,1.8719999999999999,C1
Malawi,Europe,MWI,2.42,2.87,3.21,3.62,3.63,3.15,C1
Malaysia,Asia,MYS,1.53,1.28,1.32,0.85,0.85,1.166,C1
Maldives,Asia,MDV,2.04,1.52,1.65,2.07,2.22,1.9,C1
Mali,Asia,MLI,1.15,1.05,1.09,1.25,1.28,1.1640000000000001,C1
Malta,Asia,MLT,5.72,6.65,6.58,7.56,7.99,6.9,C2
Mauritania,Europe,MRT,0.2,0.13,0.086,0.033,0.036,0.097,C1
Mauritius,Asia,MUS,5.49,5.0,3.81,3.94,4.35,4.518000000000001,C2
Mexico,Europe,MEX,6.43,6.48,5.21,4.92,5.0,5.608,C2
Mongolia,Europe,MNG,3.11,5.28,9.65,10.97,8.19,7.4399999999999995,C2
Montenegro,Asia,MNE,6.100908455,6.130813329,15.07,10.92,11.47,9.9383443568,C2
Morocco,Asia,MAR,1.01,0.96,0.9,0.7,0.69,0.852,C1
Mozambique,Africa,MOZ,2.33,1.3,1.63,2.19,2.3,1.95,C1
Myanmar,Oceania,MMR,0.38,1.65,2.9,4.41,5.12,2.8920000000000003,C1
Namibia,Asia,NAM,3.26,2.7,1.99,5.23,5.43,3.722,C1
Nauru,Asia,NRU,6.04,3.4,5.73,3.71,3.71,4.518,C2
Nepal,Asia,NPL,1.12,1.95,1.94,2.05,2.05,1.8219999999999998,C1
Netherlands,Asia,NLD,11.08,10.71,10.21,9.55,9.61,10.232,C2
New Zealand,Asia,NZL,10.42,10.92,11.32,10.44,10.63,10.745999999999999,C2
Nicaragua,Europe,NIC,5.05,5.3,4.79,5.03,5.18,5.07,C2
Niger,Asia,NER,0.23,0.25,0.31,0.55,0.67,0.402,C1
Nigeria,Africa,NGA,12.5,12.51,11.72,10.81,10.84,11.675999999999998,C2
Norway,Africa,NOR,7.95,8.87,8.94,7.52,7.41,8.138,C2
Oman,Europe,OMN,6.56,1.56,0.73,0.77,0.78,2.0799999999999996,C1
