Continent,GNI,ChangesInv,Exports,Imports,FinalConsExp,GrossCF,HouseholdConsExp,AgrHuntForFish,Construction,Manufacturing,MiningManUt,TradeT,TransportComm,Other
Africa,331.7257307820537,15.248098414304495,332.0203162400843,294.6415600384667,266.4327933137118,300.7359394758469,265.348082576674,232.9782265342297,158.5132610962373,525.6380771718418,223.3596287251109,276.4482615446325,260.3257834020367,339.07450745581554
Asia,256.2648273694528,3.7729841623830396,201.71615218032568,263.3900579190204,293.07141685721257,265.27199599950245,255.68044939492123,199.47813684097724,253.38781889412746,247.52482288898494,222.5410137185066,315.68394193603973,243.18937522327838,267.18951202382135
Europe,341.9675742972825,7.3474649296915455,355.3882687864591,220.34938960625183,341.34467859655985,237.3822996542125,262.79448495204304,200.08635360614133,219.5861358163005,252.64900789219817,242.4417025575289,296.47252432872324,307.4413921172623,243.897487626995
North America,179.09709504284604,55.14108313639251,471.54560888643636,394.2557410492358,208.36857243832512,438.133699463606,434.10570381912834,796.1083729967495,877.4798774633979,1400.7733298617857,237.63388601880195,214.15292741291512,762.0208523400402,264.76102366847584
Oceania,3511.7863720073665,309.87654320987656,878.3393501805054,159.97610513739545,303.3811475409836,426.7546907574705,808.7603305785124,493.1707317073171,7814.285714285714,222.32472324723247,13515.384615384615,442.4375917767988,407.1748878923767,671.9685039370079
South America,180.90865466382925,63.37861746574542,225.95294189234644,320.3356453323549,263.67389191306404,366.00062746176184,395.75163205858,164.54664238394233,272.8200309513677,426.96311280314615,224.55886419589376,298.50590211467767,240.225763246618,520.4486605586451
