County,Shannon,Simpson,InvSimpson
ab,0.8950761548536329,-0.772400573096204,0.5642065429109524
ag,0.1986852361797636,0.03989859302939758,1.0415566446832831
ar,1.5131099625396824,-0.5605856173473149,0.6407850930343707
b,0.4125075302559414,0.08598790976388837,1.094077431450251
bc,0.8446241881690246,0.31190186087031924,1.4532810701462127
bh,1.9056477122759667,0.6063716436050848,2.54046738186903
bn,1.0831296044797587,-1.6929438875597307,0.37134082318594896
br,0.1777318043830289,-0.9658428475386742,0.5086876609959163
bt,0.3704943374102579,-0.9087143125052226,0.523912873418695
bv,1.0889329587112189,-0.7324206673040856,0.577227008932048
bz,0.14438303598239577,-2.9710416071985692,0.2518230980474327
cj,1.5676870350792298,0.4481867992120876,1.8122074618224777
cl,0.16523051402929567,-5.967162526719608,0.14353045392079236
cs,1.051854373943952,-0.7020410337165248,0.5875299009780219
ct,0.581389853106699,-0.8300874275783072,0.5464219823220501
cv,2.0648766859593644,-1.290170462931623,0.43664871946689526
db,0.3060522292968248,-2.9311620663432483,0.2543777089633438
dj,0.1157256712810421,-1.9793457221799877,0.33564416259429597
gj,0.16065607931567016,-2.968387744109214,0.2519915049844683
gl,0.25550163237998413,-1.9439322313962255,0.3396817322543215
gr,0.162656488043912,-3.9688060336936655,0.2012555920313575
hd,0.9692202468584015,-0.7449921638292463,0.5730684760243162
hr,1.5739699899531574,-0.4769961909274314,0.6770498164738548
if,0.35226520850571175,0.07722144205039261,1.0836836111818386
il,0.17900352400927738,-3.959556008805654,0.20163095209016849
is,0.5502242598848083,-0.8548046850300159,0.5391403246233536
mh,0.24773897350651902,-2.9487488157617956,0.25324477363776793
mm,1.2897605000087768,-0.639537515853623,0.609928098826913
ms,1.9903095099415846,0.6342575467902164,2.7341644133021035
nt,0.6768274754828107,-0.779526689372622,0.5619471772870983
ot,0.06991075660821894,-5.987984568907608,0.14310277736579552
ph,0.26380293548445677,-0.945790205993124,0.5139300202662926
sb,0.8269345751922906,0.19257485623131165,1.238504903788927
sj,1.702548604507935,-1.4587365158472387,0.4067129574701163
sm,2.0432326345975103,-1.3220188834442128,0.43065971906167977
sv,0.8168836726473829,-1.7684649473904912,0.36121100284928054
tl,0.4610278080992011,-3.8714892289410834,0.20527603634204694
tm,1.2346262041289429,0.34559401832747005,1.528103391482152
tr,0.1474791892017023,-4.967941135028282,0.1675619744522264
vl,0.09774801728044444,-0.9827169221524075,0.5043584330305786
vn,0.3341947458138712,-1.9203847834922172,0.3424206308883012
vs,0.316289250956878,-2.9277082757072828,0.2546013934346804
