Siruta,Judet,Localitate,Total_medici_sanatate
60570,CT,Agigea,72
60598,CT,23-Aug,11
60632,CT,Limanu,12
60687,CT,Oras Ovidiu,102
60721,CT,Tuzla,21
60776,CT,Oras Cernavoda,120
60801,CT,Oras Harsova,89
60847,CT,Municipiul Medgidia,317
60883,CT,Adamclisi,6
60945,CT,Albesti,3
61005,CT,Aliman,4
61069,CT,Oras Baneasa,11
61121,CT,Castelu,13
61167,CT,Cerchezu,1
61210,CT,Chirnogeni,10
61256,CT,Ciobanu,5
61283,CT,Ciocarlia,5
61318,CT,Cobadin,34
61372,CT,Cogealac,27
61452,CT,Comana,7
61513,CT,Corbu,12
61559,CT,Crucea,7
61620,CT,Cumpana,39
61675,CT,Deleni,4
61737,CT,Dobromir,4
61808,CT,Garliciu,0
61826,CT,Ghindaresti,6
61871,CT,Independenta,4
61951,CT,Ion Corvin,4
62020,CT,Istria,8
62057,CT,Lipnita,2
62137,CT,Mereni,3
62191,CT,Mihail Kogalniceanu,30
62253,CT,Mihai Viteazu,8
62280,CT,Mircea Voda,7
62360,CT,Oras Murfatlar,33
62397,CT,Oras Negru Voda,34
62440,CT,Nicolae Balcescu,13
62486,CT,Oltina,5
62538,CT,Ostrov,7
62609,CT,Pantelimon,3
62672,CT,Pecineaga,7
62707,CT,Pestera,4
62761,CT,Poarta Alba,66
62798,CT,Rasova,6
62823,CT,Saraiu,3
62878,CT,Sacele,5
62903,CT,Seimeni,2
62949,CT,Silistea,4
62985,CT,Targusor,3
63045,CT,Topalu,3
63072,CT,Topraisar,11
63125,CT,Valu Lui Traian,36
63152,CT,Lumina,33
63161,CT,Dumbraveni,0
63170,CT,Vulturu,3
63189,CT,Tortoman,3
63198,CT,Amzacea,5
63278,CT,Horia,2
63286,CT,Costinesti,14
63294,CT,Baraganu,4
63300,CT,Cuza Voda,6
63318,CT,Saligny,2
63326,CT,Gradina,0
63334,CT,Fantanele,3
63394,CV,Municipiul Sfantu Gheorghe,934
63447,CV,Oras Baraolt,134
63526,CV,Oras Covasna,303
63553,CV,Comandau,3
63580,CV,Oras Intorsura Buzaului,73
63633,CV,Barcani,4
63688,CV,Sita Buzaului,7
63740,CV,Municipiul Targu Secuiesc,284
63777,CV,Aita Mare,3
63802,CV,Batani,12
63866,CV,Belin,4
63893,CV,Bodoc,4
63937,CV,Borosneu Mare,4
64005,CV,Brates,3
64041,CV,Bradut,9
64096,CV,Bretcu,7
64130,CV,Catalina,10
64194,CV,Cernat,7
64238,CV,Chichis,4
64265,CV,Dobarlau,3
64318,CV,Ghelinta,4
64345,CV,Ghidfalau,4
64390,CV,Haghig,5
64425,CV,Ilieni,5
64461,CV,Lemnia,1
64504,CV,Malnas,3
64568,CV,Moacsa,3
64602,CV,Ojdula,1
64639,CV,Ozun,6
64719,CV,Poian,4
64773,CV,Reci,4
64826,CV,Sanzieni,7
64871,CV,Turia,5
64906,CV,Valea Crisului,4
64942,CV,Valcele,8
64997,CV,Varghis,4
65011,CV,Zagon,6
65048,CV,Zabala,4
65099,CV,Valea Mare,3
65105,CV,Mereni,0
65113,CV,Arcus,1
65121,CV,Bixad,4
65139,CV,Micfalau,3
65147,CV,Dalnic,0
65154,CV,Estelnic,2
65342,DB,Municipiul Targoviste,2015
65379,DB,Aninoasa,15
65413,DB,Doicesti,8
65431,DB,Razvad,19
65477,DB,Sotanga,12
65501,DB,Ulmi,5
65609,DB,Oras Fieni,20
65645,DB,Motaieni,4
65681,DB,Oras Gaesti,183
65707,DB,Gura Foii,5
65752,DB,Petresti,10
65841,DB,Municipiul Moreni,183
65869,DB,Iedera,5
65921,DB,Oras Pucioasa,232
66009,DB,Branesti,19
66081,DB,Oras Titu,44
66152,DB,Branistea,9
66198,DB,Baleni,11
66223,DB,Barbuletu,6
66330,DB,Bezdead,7
66401,DB,Bilciuresti,3
66438,DB,Buciumeni,7
66474,DB,Bucsani,30
66526,DB,Candesti,4
66580,DB,Cobia,7
66697,DB,Cojasca,7
66731,DB,Comisani,15
66768,DB,Contesti,11
66857,DB,Corbii Mari,17
66955,DB,Cornatelu,5
67014,DB,Cornesti,17
67121,DB,Costestii Din Vale,4
67167,DB,Crangurile,6
67256,DB,Darmanesti,12
67292,DB,Dobra,6
67327,DB,Dragodana,14
67407,DB,Dragomiresti,17
67470,DB,Finta,13
67522,DB,Glodeni,6
67595,DB,Gura Ocnitei,170
67648,DB,Gura Sutii,7
67675,DB,Hulubesti,7
67737,DB,I. L. Caragiale,7
67773,DB,Lucieni,8
67835,DB,Ludesti,7
67906,DB,Lunguletu,9
67942,DB,Malu Cu Flori,4
68002,DB,Manesti,9
68048,DB,Matasaru,10
68128,DB,Mogosani,8
68182,DB,Moroeni,44
68253,DB,Morteni,4
68280,DB,Nucet,10
68324,DB,Ocnita,8
68342,DB,Odobesti,10
68404,DB,Pietrosita,8
68431,DB,Poiana,5
68468,DB,Potlogi,14
68529,DB,Produlesti,7
68565,DB,Pucheni,4
68627,DB,Oras Racari,24
68716,DB,Runcu,7
68789,DB,Salcioara,8
68887,DB,Selaru,4
68921,DB,Tatarani,12
68976,DB,Uliesti,6
69063,DB,Valea Lunga,8
69170,DB,Valea Mare,5
69250,DB,Vacaresti,11
69303,DB,Valeni-Dambovita,5
69330,DB,Visina,6
69394,DB,Visinesti,4
69447,DB,Varfuri,4
69526,DB,Voinesti,27
69615,DB,Vulcana-Bai,3
69900,DJ,Municipiul Craiova,6811
69964,DJ,Bucovat,68
70094,DJ,Isalnita,18
70110,DJ,Podari,26
70174,DJ,Simnicu De Sus,11
70316,DJ,Municipiul Bailesti,200
70352,DJ,Municipiul Calafat,310
70414,DJ,Oras Filiasi,198
70502,DJ,Oras Segarcea,118
70520,DJ,Afumati,12
70566,DJ,Almaj,9
70637,DJ,Amarastii De Jos,39
70673,DJ,Amarastii De Sus,7
70726,DJ,Apele Vii,7
70744,DJ,Argetoaia,13
70879,DJ,Oras Bechet,43
70897,DJ,Bistret,8
70940,DJ,Barca,6
70968,DJ,Botosesti-Paia,5
70986,DJ,Brabova,11
71055,DJ,Bradesti,18
71126,DJ,Bralostita,9
71199,DJ,Bratovoesti,12
71260,DJ,Breasta,9
71340,DJ,Bulzesti,9
71457,DJ,Calopar,12
71518,DJ,Caraula,13
71536,DJ,Carpen,10
71572,DJ,Castranova,8
71607,DJ,Calarasi,7
71634,DJ,Celaru,15
71698,DJ,Cerat,8
71723,DJ,Cernatesti,6
71787,DJ,Cetate,27
71812,DJ,Cioroiasi,4
71858,DJ,Ciupercenii Noi,22
71885,DJ,Cosoveni,13
71910,DJ,Cotofenii Din Dos,11
71956,DJ,Daneti,24
72007,DJ,Oras Dabuleni,91
72034,DJ,Desa,11
72052,DJ,Diosti,38
72098,DJ,Dobresti,8
72150,DJ,Dragotesti,15
72221,DJ,Dranic,8
72276,DJ,Farcas,9
72383,DJ,Galicea Mare,16
72409,DJ,Ghercesti,5
72463,DJ,Gighera,7
72506,DJ,Giubega,6
72533,DJ,Giurgita,12
72579,DJ,Gangiova,9
72604,DJ,Gogosu,3
72640,DJ,Goicea,10
72677,DJ,Goiesti,10
72819,DJ,Grecesti,7
72882,DJ,Izvoare,6
72926,DJ,Leu,18
72953,DJ,Lipovu,8
72980,DJ,Macesu De Jos,5
73013,DJ,Macesu De Sus,5
73031,DJ,Maglavit,18
73068,DJ,Malu Mare,15
73102,DJ,Melinesti,39
73246,DJ,Mischii,8
73317,DJ,Marsani,11
73335,DJ,Motatei,12
73371,DJ,Murgasi,11
73460,DJ,Negoi,6
73503,DJ,Orodel,7
73567,DJ,Ostroveni,14
73594,DJ,Perisor,8
73629,DJ,Pielesti,24
73665,DJ,Piscu Vechi,15
73709,DJ,Plenita,42
73736,DJ,Poiana Mare,184
73772,DJ,Predesti,11
73852,DJ,Radovan,7
73905,DJ,Rast,11
73923,DJ,Robanesti,14
73996,DJ,Sadova,36
74028,DJ,Salcuta,3
74073,DJ,Scaesti,4
74108,DJ,Seaca De Camp,3
74135,DJ,Seaca De Padure,4
74171,DJ,Secu,5
74224,DJ,Silistea Crucii,5
74242,DJ,Sopot,10
74322,DJ,Teasc,11
74359,DJ,Terpezita,5
74411,DJ,Teslui,7
74509,DJ,Tuglui,17
74536,DJ,Unirea,9
74554,DJ,Urzicuta,16
74581,DJ,Valea Stanciului,21
74616,DJ,Vela,7
74705,DJ,Verbita,5
74732,DJ,Vartop,5
74750,DJ,Varvoru De Jos,11
74842,DJ,Catane,7
74859,DJ,Carcea,10
74867,DJ,Carna,4
74875,DJ,Cotofenii Din Fata,9
74883,DJ,Dobrotesti,7
74891,DJ,Galiciuica,3
74907,DJ,Ghidici,4
74915,DJ,Ghindeni,5
74923,DJ,Intorsura,3
74931,DJ,Plesoi,3
74949,DJ,Rojiste,4
74956,DJ,Talpas,4
75098,GL,Municipiul Galati,3641
75114,GL,Sendreni,7
75150,GL,Vanatori,6
75203,GL,Municipiul Tecuci,380
75221,GL,Draganesti,12
75258,GL,Munteni,25
75338,GL,Oras Beresti,4
75356,GL,Beresti-Meria,5
75472,GL,Oras Targu Bujor,74
75515,GL,Barcea,11
75542,GL,Balabanesti,3
75613,GL,Balasesti,4
75668,GL,Baleni,4
75686,GL,Baneasa,4
75711,GL,Branistea,4
75766,GL,Brahasesti,12
75819,GL,Buciumeni,4
75864,GL,Cavadinesti,8
75917,GL,Certesti,4
75953,GL,Corod,14
76004,GL,Corni,3
76040,GL,Cosmesti,14
76111,GL,Costache Negri,4
76139,GL,Cuca,5
76157,GL,Cudalbi,11
76175,GL,Draguseni,8
76255,GL,Fartanesti,8
76282,GL,Foltesti,4
76317,GL,Frumusita,11
76353,GL,Fundeni,8
76406,GL,Ghidigeni,9
76497,GL,Gohor,3
76558,GL,Grivita,5
76585,GL,Independenta,10
76601,GL,Ivesti,21
76638,GL,Jorasti,3
76674,GL,Liesti,16
76692,GL,Matca,18
76718,GL,Mastacani,9
76745,GL,Movileni,6
76763,GL,Namoloasa,4
76807,GL,Nicoresti,5
76932,GL,Oancea,2
76969,GL,Pechea,23
76996,GL,Piscu,8
77028,GL,Priponesti,4
77082,GL,Rediu,4
77126,GL,Scanteiesti,6
77153,GL,Schela,7
77180,GL,Slobozia Conachi,9
77224,GL,Smardan,8
77260,GL,Smulti,3
77288,GL,Suceveni,4
77313,GL,Tudor Vladimirescu,10
77331,GL,Tulucesti,8
77377,GL,Tepu,4
77402,GL,Umbraresti,9
77475,GL,Valea Marului,6
77509,GL,Varlezi,4
77536,GL,Vladesti,4
77561,GL,Radesti,3
77579,GL,Negrilesti,3
77587,GL,Poiana,4
77595,GL,Cuza Voda,4
77601,GL,Suhurlui,0
77812,GJ,Municipiul Targu Jiu,1486
77910,GJ,Balesti,13
78016,GJ,Dragutesti,11
78089,GJ,Turcinesti,7
78141,GJ,Municipiul Motru,184
78258,GJ,Oras Novaci,111
78329,GJ,Oras Targu Carbunesti,308
78454,GJ,Oras Ticleni,13
78472,GJ,Albeni,5
78542,GJ,Alimpesti,6
78604,GJ,Aninoasa,9
78668,GJ,Arcani,5
78711,GJ,Baia De Fier,8
78748,GJ,Balanesti,3
78828,GJ,Barbatesti,3
78873,GJ,Bengesti-Ciocadia,6
78926,GJ,Berlesti,4
79004,GJ,Balteni,14
79077,GJ,Bolbosi,8
79157,GJ,Borascu,7
79237,GJ,Branesti,7
79308,GJ,Oras Bumbesti-Jiu,115
79362,GJ,Bumbesti-Pitic,4
79406,GJ,Bustuchin,6
79497,GJ,Capreni,13
79585,GJ,Catunele,7
79656,GJ,Ciuperceni,4
79736,GJ,Calnic,4
79834,GJ,Crasna,10
79932,GJ,Cruset,7
80043,GJ,Danciulesti,5
80123,GJ,Danesti,7
80249,GJ,Dragotesti,5
80285,GJ,Farcasesti,3
80365,GJ,Glogova,4
80427,GJ,Godinesti,3
80506,GJ,Hurezani,3
80560,GJ,Ionesti,4
80613,GJ,Jupanesti,3
80677,GJ,Lelesti,4
80711,GJ,Licurici,6
80766,GJ,Logresti,13
80846,GJ,Matasari,17
80908,GJ,Musetesti,6
80980,GJ,Negomir,4
81095,GJ,Pades,10
81184,GJ,Pestisani,11
81264,GJ,Plopsoru,8
81380,GJ,Polovragi,7
81415,GJ,Prigoria,9
81497,GJ,Rosia De Amaradia,3
81576,GJ,Runcu,92
81656,GJ,Samarinesti,3
81754,GJ,Sacelu,3
81816,GJ,Saulesti,3
81861,GJ,Scoarta,10
81987,GJ,Schela,6
82047,GJ,Slivilesti,7
82136,GJ,Stanesti,7
82243,GJ,Stejari,3
82314,GJ,Stoina,3
82396,GJ,Telesti,8
82430,GJ,Oras Tismana,13
82555,GJ,Turburea,13
82617,GJ,Oras Turceni,108
82680,GJ,Tantareni,9
82733,GJ,Urdari,6
82779,GJ,Vagiulesti,6
82831,GJ,Vladimir,6
82895,GJ,Oras Rovinari,143
83133,HR,Municipiul Odorheiu Secuiesc,663
83151,HR,Bradesti,12
83197,HR,Feliceni,13
83320,HR,Municipiul Miercurea Ciuc,1553
83375,HR,Pauleni-Ciuc,4
83428,HR,Oras Baile Tusnad,21
83464,HR,Oras Balan,11
83491,HR,Oras Borsec,11
83525,HR,Oras Cristuru Secuiesc,144
83561,HR,Municipiul Gheorgheni,255
83632,HR,Municipiul Toplita,213
83749,HR,Oras Vlahita,40
83785,HR,Atid,4
83847,HR,Avramesti,5
83936,HR,Bilbor,13
83963,HR,Capalnita,4
83981,HR,Ciucsangeorgiu,12
84086,HR,Ciumani,12
84102,HR,Carta,13
84148,HR,Corbu,8
84175,HR,Corund,18
84237,HR,Danesti,12
84264,HR,Dealu,8
84344,HR,Ditrau,21
84380,HR,Darjiu,2
84415,HR,Frumoasa,38
84460,HR,Galautas,6
84558,HR,Joseni,15
84594,HR,Lazarea,9
84629,HR,Lueta,4
84656,HR,Lunca De Jos,12
84754,HR,Lunca De Sus,8
84825,HR,Lupeni,16
84923,HR,Martinis,9
85056,HR,Meresti,6
85074,HR,Mihaileni,6
85127,HR,Mugeni,10
85243,HR,Ocland,27
85289,HR,Plaiesii De Jos,9
85341,HR,Praid,24
85412,HR,Remetea,17
85467,HR,Sacel,0
85528,HR,Sarmas,10
85582,HR,Secuieni,6
85626,HR,Siculeni,14
85680,HR,Sancraieni,15
85760,HR,Sandominic,10
85788,HR,Sanmartin,10
85840,HR,Sansimion,7
85877,HR,Subcetate,6
85920,HR,Suseni,15
85984,HR,Simonesti,6
86133,HR,Tulghes,91
86188,HR,Tusnad,5
86222,HR,Ulies,7
86311,HR,Varsag,3
86339,HR,Voslabeni,6
86366,HR,Zetea,18
86438,HR,Madaras,0
86446,HR,Cozmeni,1
86453,HR,Tomesti,0
86461,HR,Ciceu,0
86479,HR,Leliceni,0
86487,HR,Porumbeni,0
86495,HR,Racu,3
86501,HR,Satu Mare,0
86519,HR,Santimbru,0
86687,HD,Municipiul Deva,1196
86749,HD,Carjiti,0
86810,HD,Municipiul Hunedoara,701
86883,HD,Ghelari,4
86936,HD,Teliucu Inferior,6
86990,HD,Municipiul Petrosani,618
87059,HD,Municipiul Lupeni,250
87077,HD,Oras Petrila,58
87139,HD,Oras Uricani,36
87175,HD,Municipiul Vulcan,141
87219,HD,Oras Aninoasa,21
87246,HD,Banita,0
87291,HD,Municipiul Brad,249
87362,HD,Criscior,8
87424,HD,Oras Calan,54
87576,HD,Oras Hateg,220
87638,HD,Municipiul Orastie,231
87665,HD,Oras Simeria,115
87745,HD,Baia De Cris,10
87843,HD,Balsa,4
87996,HD,Baru,3
88047,HD,Bacia,4
88092,HD,Baita,6
88216,HD,Batrana,0
88261,HD,Beriu,8
88350,HD,Blajeni,3
88449,HD,Bosorod,3
88546,HD,Branisca,15
88644,HD,Bretea Romana,11
88788,HD,Buces,3
88868,HD,Bucuresci,3
88920,HD,Bulzestii De Sus,1
89026,HD,Bunila,0
89080,HD,Burjuc,0
89151,HD,Cerbal,0
89240,HD,Certeju De Sus,9
89348,HD,Densus,3
89428,HD,Dobra,8
89561,HD,Oras Geoagiu,70
89687,HD,Gurasada,3
89801,HD,Harau,4
89856,HD,Ilia,8
89954,HD,Lapugiu De Jos,0
90066,HD,Lelese,0
90119,HD,Lunca Cernii De Jos,0
90208,HD,Luncoiu De Jos,3
90262,HD,Martinesti,0
90342,HD,Orastioara De Sus,4
90431,HD,Pestisu Mic,4
90538,HD,Pui,8
90663,HD,Rapoltu Mare,4
90725,HD,Rachitova,0
90805,HD,Ribita,3
90878,HD,Rau De Mori,3
90994,HD,Romos,7
91054,HD,Sarmizegetusa,3
91116,HD,Salasu De Sus,7
91232,HD,Santamaria-Orlea,6
91330,HD,Soimus,6
91447,HD,Tomesti,3
91535,HD,Toplita,3
91624,HD,Totesti,55
91688,HD,Turdas,4
91731,HD,General Berthelot,5
91795,HD,Vata De Jos,6
91937,HD,Valisoara,3
91982,HD,Vetel,5
92097,HD,Vorta,3
92177,HD,Zam,62
92569,CL,Municipiul Calarasi,916
92587,CL,Modelu,16
92658,IL,Municipiul Slobozia,926
92701,IL,Municipiul Fetesti,216
92765,IL,Oras Tandarei,93
92783,IL,Albesti,4
92836,IL,Oras Amara,49
92872,IL,Andrasesti,4
92907,IL,Balaciu,7
92961,CL,Borcea,13
92989,IL,Bordusani,8
93021,IL,Bucu,7
93067,IL,Oras Cazanesti,5
93085,CL,Ciocanesti,13
93101,IL,Ciochina,4
93156,IL,Ciulnita,4
93209,IL,Cocora,7
93236,IL,Cosambesti,4
93281,CL,Cuza Voda,8
93325,CL,Dichiseni,3
93370,CL,Dor Marunt,10
93441,CL,Dorobantu,6
93487,CL,Dragalina,15
93539,CL,Dragos Voda,5
93575,IL,Facaeni,10
93600,IL,Gheorghe Doja,5
93628,IL,Gheorghe Lazar,3
93646,IL,Giurgeni,1
93664,CL,Gradistea,8
93717,IL,Grindu,5
93735,IL,Grivita,5
93771,CL,Independenta,4
93815,CL,Jegalia,7
93851,CL,Lehliu,40
93888,CL,Oras Lehliu Gara,115
93931,CL,Lupsanu,12
93995,IL,Mihail Kogalniceanu,9
94045,IL,Milosesti,7
94081,IL,Movila,5
94107,IL,Munteni-Buzau,10
94125,CL,Alexandru Odobescu,5
94161,IL,Perieti,1
94223,CL,Perisoru,47
94269,IL,Reviga,5
94312,CL,Roseti,7
94330,IL,Salcioara,0
94376,IL,Saveni,9
94429,IL,Scanteia,3
94456,IL,Sfantu Gheorghe,3
94492,IL,Stelnica,0
94535,IL,Suditi,4
94562,CL,Stefan Cel Mare,5
94580,CL,Stefan Voda,4
94606,CL,Ulmu,12
94651,CL,Unirea,5
94688,IL,Valea Ciorii,4
94731,CL,Valcelele,3
94768,CL,Vlad Tepes,9
94795,IL,Vladeni,3
95060,IS,Municipiul Iasi,8233
95088,IS,Barnova,6
95159,IS,Holboca,9
95239,IS,Rediu,10
95293,IS,Tomesti,15
95355,IS,Oras Harlau,149
95391,IS,Municipiul Pascani,549
95471,IS,Oras Targu Frumos,121
95499,IS,Ion Neculce,5
95612,IS,Alexandru I. Cuza,3
95667,IS,Andrieseni,3
95747,IS,Aroneanu,4
95792,IS,Baltati,4
95872,IS,Belcesti,9
95943,IS,Bivolari,19
96003,IS,Ungheni,6
96058,IS,Braesti,5
96110,IS,Butea,4
96147,IS,Ceplenita,6
96192,IS,Ciortesti,5
96254,IS,Ciurea,10
96334,IS,Coarnele Caprei,4
96370,IS,Comarna,4
96423,IS,Costuleni,4
96478,IS,Cotnari,7
96593,IS,Cozmesti,9
96637,IS,Cristesti,5
96664,IS,Cucuteni,4
96717,IS,Dagata,4
96815,IS,Deleni,23
96888,IS,Dobrovat,6
96904,IS,Dolhesti,4
96940,IS,Dumesti,5
97009,IS,Erbiceni,4
97063,IS,Focuri,5
97090,IS,Golaiesti,6
97189,IS,Gorban,5
97241,IS,Grajduri,97
97321,IS,Gropnita,6
97394,IS,Grozesti,3
97438,IS,Halaucesti,10
97465,IS,Helesteni,4
97517,IS,Horlesti,6
97553,IS,Ipatele,5
97606,IS,Lespezi,5
97679,IS,Letcani,4
97722,IS,Lungani,3
97777,IS,Madarjac,4
97811,IS,Mircesti,12
97875,IS,Mironeasa,7
97919,IS,Miroslava,18
98051,IS,Miroslovesti,12
98113,IS,Mogosesti,5
98168,IS,Mogosesti-Siret,5
98202,IS,Mosna,4
98220,IS,Motca,4
98257,IS,Movileni,6
98300,IS,Oteleni,6
98337,IS,Plugari,5
98373,IS,Oras Podu Iloaiei,75
98435,IS,Popesti,6
98505,IS,Popricani,5
98603,IS,Prisacani,6
98649,IS,Probota,3
98685,IS,Raducaneni,37
98738,IS,Romanesti,5
98774,IS,Ruginoasa,4
98827,IS,Schitu Duca,6
98916,IS,Scanteia,4
98998,IS,Scobinti,5
99058,IS,Sinesti,6
99101,IS,Siretel,6
99165,IS,Stolniceni-Prajescu,5
99209,IS,Strunga,7
99290,IS,Scheia,4
99370,IS,Sipote,26
99441,IS,Tansa,6
99478,IS,Tatarusi,8
99539,IS,Todiresti,4
99600,IS,Trifesti,5
99673,IS,Tibana,6
99780,IS,Tibanesti,12
99879,IS,Tiganasi,4
99922,IS,Tutora,5
99968,IS,Valea Seaca,5
100004,IS,Victoria,6
100086,IS,Vanatori,6
100148,IS,Vladeni,13
100219,IS,Voinesti,6
100273,IS,Bals,4
100282,IS,Costesti,5
100308,IS,Draguseni,5
100317,IS,Fantanele,4
100326,IS,Harmanesti,4
100335,IS,Rachiteni,4
100344,IS,Roscani,3
100353,IS,Valea Lupului,16
100362,IS,Ciohorani,3
100521,GR,Municipiul Giurgiu,803
100549,GR,Slobozia,5
100576,IF,Oras Buftea,389
100610,CL,Municipiul Oltenita,301
100638,CL,Mitreni,10
100683,IL,Municipiul Urziceni,175
100709,IL,Ciocarlia,0
100736,IL,Manasia,8
100754,IL,Adancata,5
100781,GR,Adunatii-Copaceni,47
100834,IF,Afumati,53
100852,IL,Alexeni,1
100870,IL,Armasesti,4
100923,IL,Axintele,3
100969,IF,Balotesti,99
101001,GR,Baneasa,10
101056,IL,Barcanesti,4
101083,CL,Belciugatele,9
101145,IF,Berceni,10
101163,GR,Bolintin-Deal,102
101190,GR,Oras Bolintin-Vale,91
101243,IL,Brazii,2
101298,IF,Branesti,14
101341,DB,Brezoaele,14
101378,GR,Bucsani,21
101458,CL,Oras Budesti,22
101519,GR,Bulbucata,2
101564,DB,Butimanu,5
101617,GR,Buturugeni,6
101662,GR,Calugareni,16
101724,CL,Cascioarele,4
101742,IF,Cernica,40
101804,CL,Chirnogi,14
101822,CL,Chiselet,6
101840,DB,Ciocanesti,8
101902,IF,Ciolpani,9
101957,IF,Ciorogarla,9
101984,GR,Clejani,12
102035,IF,Clinceni,20
102071,GR,Colibasi,8
102106,GR,Comana,12
102160,IF,Corbeanca,59
102213,IF,Cornetu,12
102240,IL,Cosereni,14
102286,DB,Crevedia,13
102348,GR,Crevedia Mare,12
102419,CL,Curcani,16
102446,GR,Daia,5
102473,IF,Dascalu,3
102525,IF,Darasti-Ilfov,3
102543,IF,1 Decembrie,25
102570,IF,Domnesti,19
102605,IF,Dragomiresti-Vale,11
102641,IL,Dragoesti,0
102703,IL,Dridu,14
102749,IL,Oras Fierbinti-Targ,12
102794,GR,Floresti-Stoenesti,12
102838,CL,Frasinet,3
102909,GR,Fratesti,14
102945,CL,Frumusani,7
103014,CL,Fundeni,8
103032,CL,Oras Fundulea,10
103087,GR,Gaiseni,6
103130,IF,Ganeasa,9
103194,GR,Gaujani,4
103238,GR,Ghimpati,17
103283,IL,Garbovi,8
103309,GR,Gogosari,5
103354,GR,Gostinu,6
103372,GR,Gostinari,8
103407,GR,Gradinari,24
103443,IF,Gradistea,9
103470,GR,Greaca,5
103513,IF,Gruiu,16
103568,CL,Gurbanesti,3
103639,GR,Hotarele,9
103693,GR,Iepuresti,3
103764,CL,Ileana,5
103862,IL,Ion Roata,8
103899,GR,Izvoarele,8
103960,IL,Jilavele,9
103997,GR,Joita,9
104047,GR,Letca Noua,6
104083,CL,Luica,3
104118,GR,Mihai Bravu,4
104136,GR,Oras Mihailesti,19
104181,CL,Manastirea,10
104225,GR,Marsa,3
104243,IF,Moara Vlasiei,15
104270,IL,Movilita,4
104323,CL,Nana,4
104341,CL,Nicolae Balcescu,4
104387,DB,Niculesti,18
104421,IF,Nuci,4
104485,GR,Ogrezeni,10
104519,GR,Oinacu,6
104546,IF,Peris,39
104582,IF,Petrachioaia,9
104635,CL,Plataresti,17
104680,GR,Prundu,8
104715,GR,Putineiu,4
104751,CL,Radovanu,10
104788,GR,Rasuceni,0
104831,GR,Roata De Jos,16
104886,CL,Sarulesti,4
104975,GR,Schitu,0
105026,IL,Sinesti,3
105106,GR,Singureni,10
105142,DB,Slobozia Moara,3
105160,IF,Snagov,15
105222,CL,Sohatu,3
105259,CL,Spantov,7
105295,GR,Stanesti,4
105348,GR,Stoenesti,5
105384,CL,Soldanu,6
105419,IF,Stefanestii De Jos,35
105455,CL,Tamadau Mare,3
105534,DB,Tartasesti,16
105570,IF,Tunari,9
105605,CL,Ulmeni,7
105623,GR,Ulmi,21
105712,CL,Valea Argovei,4
105776,GR,Valea Dragului,6
105794,IL,Valea Macrisului,4
105829,CL,Vasilati,10
105874,GR,Varasti,6
105909,GR,Vedea,7
105936,IF,Vidra,21
105972,GR,Vanatorii Mici,45
106318,MM,Municipiul Baia Mare,2774
106363,MM,Grosi,6
106407,MM,Recea,15
106461,MM,Oras Tautii-Magheraus,21
106559,MM,Municipiul Sighetu Marmatiei,882
106620,MM,Sarasau,8
106648,MM,Vadu Izei,4
106684,MM,Oras Baia Sprie,73
106746,MM,Oras Borsa,272
106782,MM,Oras Cavnic,54
106817,MM,Oras Targu Lapus,148
106979,MM,Oras Viseu De Sus,271
107001,MM,Ardusat,9
107047,MM,Arinis,7
107083,MM,Asuaju De Sus,3
107118,MM,Baita De Sub Codru,5
107154,MM,Baiut,5
107190,MM,Basesti,4
107234,MM,Bicaz,4
107270,MM,Bistra,8
107314,MM,Barsana,11
107350,MM,Bocicoiu Mare,10
107403,MM,Bogdan Voda,8
107430,MM,Boiu Mare,3
107485,MM,Botiza,6
107519,MM,Budesti,13
107546,MM,Calinesti,11
107582,MM,Cernesti,9
107662,MM,Cicarlau,9
107715,MM,Campulung La Tisa,5
107733,MM,Copalnic-Manastur,21
107868,MM,Coroieni,5
107920,MM,Cupseni,3
107975,MM,Desesti,7
108017,MM,Oras Dragomiresti,14
108035,MM,Dumbravita,9
108106,MM,Farcasa,19
108151,MM,Giulesti,10
108204,MM,Ieud,6
108222,MM,Lapus,7
108240,MM,Leordina,8
108268,MM,Miresu Mare,13
108348,MM,Moisei,20
108366,MM,Oarta De Jos,3
108400,MM,Ocna Sugatag,26
108455,MM,Petrova,6
108473,MM,Poienile De Sub Munte,49
108491,MM,Remetea Chioarului,8
108552,MM,Remeti,6
108598,MM,Repedea,5
108614,MM,Rona De Jos,8
108632,MM,Rona De Sus,11
108669,MM,Rozavlea,8
108696,MM,Ruscova,10
108712,MM,Satulung,20
108794,MM,Sacalaseni,12
108874,MM,Sacel,6
108892,MM,Oras Salistea De Sus,14
108918,MM,Salsig,12
108945,MM,Sapanta,5
108963,MM,Oras Seini,32
109005,MM,Stramtura,14
109041,MM,Suciu De Sus,14
109096,MM,Sisesti,13
109176,MM,Oras Somcuta Mare,38
109265,MM,Oras Ulmeni,32
109354,MM,Valea Chioarului,7
109425,MM,Vima Mica,3
109504,MM,Viseu De Jos,8
109773,MH,Municipiul Drobeta-Turnu Severin,1450
109826,MH,Simian,32
109924,MH,Oras Baia De Arama,71
110027,MH,Obarsia-Closani,1
110063,MH,Municipiul Orsova,136
110116,MH,Oras Strehaia,47
110232,MH,Oras Vanju Mare,34
110296,MH,Bala,14
110456,MH,Balta,1
110535,MH,Balacita,7
110571,MH,Bacles,15
