Siruta,Localitate,Judet,NrMedici_Privat,NrMedici_Public,PersonalMediu_privat,PersonalMediu_public,MediciFamilie,Total_medici_desc
9538,Oras Ineu,AR,30,18,33,86,11,59
87638,Municipiul Orastie,HD,15,30,36,138,12,57
87576,Oras Hateg,HD,17,33,29,134,7,57
125418,Oras Bals,OT,13,29,21,117,13,55
83561,Municipiul Gheorgheni,HR,10,35,78,122,10,55
110063,Municipiul Orsova,MH,12,32,14,68,10,54
26840,Oras Stei,BH,23,20,9,85,10,53
92701,Municipiul Fetesti,IL,15,23,70,94,14,52
100610,Municipiul Oltenita,CL,14,25,66,185,11,50
1696,Oras Cugir,AB,10,30,20,75,10,50
179533,Oras Popesti Leordeni,IF,31,6,30,14,12,49
60687,Oras Ovidiu,CT,42,0,53,0,7,49
106979,Oras Viseu De Sus,MM,9,33,75,148,6,48
179249,Chiajna,IF,39,1,14,1,8,48
65921,Oras Pucioasa,DB,11,28,32,152,9,48
106746,Oras Borsa,MM,11,25,46,180,10,46
60507,Oras Navodari,CT,24,4,29,26,18,46
155494,Oras Jimbolia,TM,10,28,15,65,7,45
100683,Municipiul Urziceni,IL,17,19,54,76,9,45
168041,Oras Horezu,VL,6,36,16,10,3,45
155528,Oras Sannicolau Mare,TM,18,18,30,58,9,45
83632,Municipiul Toplita,HR,8,29,56,112,8,45
26699,Oras Alesd,BH,15,23,21,86,7,45
1455,Oras Campeni,AB,4,37,20,88,4,45
9574,Oras Lipova,AR,19,15,30,35,10,44
179221,Oras Bragadiru,IF,32,4,33,8,8,44
131540,Oras Sinaia,PH,7,30,34,80,7,44
60776,Oras Cernavoda,CT,16,19,17,59,9,44
82895,Oras Rovinari,GJ,8,27,22,78,8,43
65681,Oras Gaesti,DB,11,24,44,96,8,43
20778,Oras Buhusi,BC,7,29,60,106,7,43
73736,Poiana Mare,DJ,10,25,16,125,8,43
146584,Oras Gura Humorului,SV,17,17,82,61,8,42
40438,Municipiul Sacele,BV,24,0,21,22,18,42
151978,Oras Zimnicea,TR,7,29,31,66,6,42
151905,Oras Videle,TR,9,28,45,124,5,42
60455,Oras Eforie,CT,20,18,47,100,4,42
51118,Oras Oravita,CS,14,21,16,121,7,42
32544,Oras Nasaud,BN,6,29,36,116,6,41
13668,Oras Costesti,AG,11,24,25,73,6,41
87665,Oras Simeria,HD,10,18,20,54,13,41
98373,Oras Podu Iloaiei,IS,22,2,15,19,17,41
32483,Oras Beclean,BN,15,18,30,116,7,40
143735,Oras Cisnadie,SB,17,12,32,25,11,40
65841,Municipiul Moreni,DB,9,20,48,97,9,38
51207,Oras Otelu Rosu,CS,12,18,45,58,7,37
130981,Oras Baicoi,PH,11,15,28,58,11,37
60534,Oras Techirghiol,CT,9,23,30,167,4,36
100969,Balotesti,IF,23,7,20,43,6,36
179515,Oras Pantelimon,IF,22,6,11,9,7,35
131817,Oras Valenii De Munte,PH,6,20,51,107,9,35
87175,Municipiul Vulcan,HD,3,29,20,86,3,35
70502,Oras Segarcea,DJ,6,23,22,62,5,34
175055,Oras Panciu,VN,10,18,20,49,5,33
155458,Oras Deta,TM,9,20,11,43,4,33
157086,Oras Gataia,TM,6,23,9,77,4,33
51056,Oras Moldova Noua,CS,12,14,23,63,7,33
102160,Corbeanca,IF,27,1,25,1,5,33
92765,Oras Tandarei,IL,6,22,50,10,5,33
106817,Oras Targu Lapus,MM,11,12,46,70,9,32
82617,Oras Turceni,GJ,5,24,14,62,3,32
101190,Oras Bolintin-Vale,GR,10,14,43,17,7,31
101163,Bolintin-Deal,GR,3,24,13,59,3,30
159730,Oras Macin,TL,5,21,4,56,4,30
179409,Oras Magurele,IF,19,4,8,7,6,29
93888,Oras Lehliu Gara,CL,3,23,32,54,3,29
72007,Oras Dabuleni,DJ,7,15,22,40,7,29
9459,Oras Chisineu-Cris,AR,25,1,65,1,3,29
9690,Oras Sebis,AR,12,12,31,32,5,29
78258,Oras Novaci,GJ,3,22,8,75,3,28
105419,Stefanestii De Jos,IF,22,1,6,1,5,28
1151,Oras Abrud,AB,4,20,18,59,4,28
79308,Oras Bumbesti-Jiu,GJ,5,18,18,69,5,28
156801,Oras Faget,TM,6,18,14,58,4,28
155403,Oras Buzias,TM,14,8,16,21,6,28
9495,Oras Curtici,AR,14,1,18,2,12,27
63580,Oras Intorsura Buzaului,CV,7,15,9,37,5,27
131103,Oras Breaza,PH,11,7,30,31,9,27
42753,Oras Faurei,BR,2,23,7,32,2,27
60801,Oras Harsova,CT,10,12,15,47,5,27
120968,Oras Bicaz,NT,13,5,50,60,8,26
87077,Oras Petrila,HD,12,4,22,10,10,26
63447,Oras Baraolt,CV,5,17,18,90,4,26
131210,Oras Busteni,PH,5,16,26,33,5,26
167909,Oras Calimanesti,VL,12,6,46,24,7,25
49206,Sapoca,BZ,2,21,3,120,2,25
47916,Oras Nehoiu,BZ,7,13,15,72,5,25
130954,Oras Azuga,PH,3,19,18,52,3,25
40367,Oras Rasnov,BV,14,0,13,2,11,25
155314,Giroc,TM,21,0,18,0,3,24
143682,Oras Agnita,SB,8,10,20,27,6,24
109924,Oras Baia De Arama,MH,5,15,6,41,4,24
104546,Peris,IF,16,4,8,7,4,24
50969,Oras Bocsa,CS,14,1,29,12,8,23
146655,Oras Siret,SV,4,15,27,82,4,23
