Siruta,Judet,Localitate,PersonalMediu_privat,PersonalMediu_public
15554,AG,Ciomagesti,2,0
15652,AG,Cocu,2,0
15741,AG,Corbeni,7,0
15830,AG,Corbi,3,0
15901,AG,Cosesti,6,0
15983,AG,Cotmeana,1,15
16132,AG,Cuca,3,0
16285,AG,Davidesti,4,0
16329,AG,Dambovicioara,1,0
16365,AG,Darmanesti,2,0
16427,AG,Dobresti,2,0
16454,AG,Domnesti,10,17
16472,AG,Dragoslavele,3,0
16506,AG,Draganu,3,0
16551,AG,Godeni,4,0
16613,AG,Harsesti,2,0
16659,AG,Hartiesti,3,0
16739,AG,Izvoru,2,0
16757,AG,Leordeni,10,22
16908,AG,Leresti,7,0
16944,AG,Lunca Corbului,2,0
17049,AG,Malureni,3,0
17101,AG,Merisani,4,1
17209,AG,Micesti,3,0
17254,AG,Mihaesti,3,0
17334,AG,Mioarele,1,0
17398,AG,Mirosi,2,0
17423,AG,Moraresti,2,5
17496,AG,Mosoaia,2,0
17575,AG,Mozaceni,3,2
17619,AG,Musatesti,4,0
17726,AG,Negrasi,2,0
17771,AG,Nucsoara,2,0
17824,AG,Oarja,3,0
17851,AG,Pietrosani,4,0
17913,AG,Poienarii De Arges,1,0
17968,AG,Poienarii De Muscel,4,0
18028,AG,Poiana Lacului,6,0
18162,AG,Popesti,2,0
18242,AG,Priboieni,4,0
18331,AG,Ratesti,3,0
18411,AG,Recea,2,0
18475,AG,Rociu,6,0
18527,AG,Rucar,6,9
18554,AG,Salatrucu,1,0
18581,AG,Sapata,3,0
18670,AG,Schitu Golesti,2,0
18741,AG,Slobozia,4,0
18778,AG,Stalpeni,5,0
18858,AG,Stoenesti,4,0
18938,AG,Stolnici,3,0
19007,AG,Suseni,4,0
19114,AG,Stefan Cel Mare,4,0
19141,AG,Suici,3,16
19212,AG,Teiu,2,0
19249,AG,Tigveni,8,34
19338,AG,Titesti,5,0
19392,AG,Uda,3,0
19560,AG,Ungheni,3,0
19631,AG,Valea Danului,3,0
19695,AG,Valea Iasului,4,45
19793,AG,Vedea,3,39
19999,AG,Vladesti,3,0
