,indici KMO
Alcohol,0.2844438344711774
Accidents,0.6426374980686183
Taccidents,0.6996386770881495
Heart,0.6848727747202807
ChronicDis,0.6681809201174786
Liver,0.6497693218053804
Cancer,0.5909987552912611
DiabetesM,0.24073252121715183
Drugs,0.571115692546487
HIV,0.3387779524126089
Homicide,0.5252949132225376
Pneumonia,0.43205988890661823
NervousSystem,0.8038591854948576
Suicide,0.7894264762111945
