Siruta,Localitate,ActivitateDominanta
58204,Izvoru Crisului,Mobila
99165,Stolniceni-Prajescu,Mobila
172894,Salatrucel,Alimentara
131933,Albesti-Paleologu,Alimentara
66401,Bilciuresti,Alimentara
17254,Mihaesti,Textila
17254,Mihaesti,Textila
17254,Mihaesti,Textila
50022,Valea Ramnicului,Mobila
148328,Dragoiesti,Alimentara
140146,Balan,Lemnului
90994,Romos,ChimicaFarmaceutica
156534,Criciova,Lemnului
115575,Bagaciu,Textila
74616,Vela,Alimentara
33658,Matei,Mobila
41854,Sinca,ChimicaFarmaceutica
66438,Buciumeni,Metalurgica
66438,Buciumeni,Metalurgica
99209,Strunga,Lemnului
107403,Bogdan Voda,Alimentara
82831,Vladimir,Alimentara
123790,Poiana Teiului,Lemnului
164749,Lunca Banului,Lemnului
25488,Solont,Lemnului
115600,Bala,Alimentara
115600,Bala,Alimentara
172947,Scundu,Alimentara
58259,Jucu,Mobila
50068,Valea Salciei,Textila
131988,Alunis,Mobila
131988,Alunis,Mobila
131988,Alunis,Mobila
148382,Draguseni,Alimentara
148382,Draguseni,Alimentara
148382,Draguseni,Alimentara
148382,Draguseni,Alimentara
107430,Boiu Mare,Lemnului
132011,Apostolache,Alimentara
66474,Bucsani,Alimentara
66474,Bucsani,Alimentara
91054,Sarmizegetusa,Alimentara
156589,Curtea,Alimentara
25521,Stanisesti,Alimentara
140208,Banisor,Alimentara
115637,Balauseri,Alimentara
17334,Mioarele,Lemnului
50102,Vernesti,Alimentara
33729,Magura Ilvei,Alimentara
172992,Sinesti,Alimentara
172992,Sinesti,Alimentara
172992,Sinesti,Alimentara
41925,Sanpetru,ConstructiiMasini
58311,Luna,Alimentara
148426,Dumbraveni,Alimentara
148426,Dumbraveni,Alimentara
148426,Dumbraveni,Alimentara
156623,Darova,Textila
82895,Oras Rovinari,ConstructiiMasini
74705,Verbita,Alimentara
140244,Benesat,Alimentara
41943,Soars,Alimentara
99290,Scheia,Alimentara
99290,Scheia,Alimentara
107485,Botiza,Alimentara
66526,Candesti,Alimentara
66526,Candesti,Alimentara
66526,Candesti,Alimentara
164829,Malusteni,Alimentara
33765,Mariselu,Lemnului
148453,Fantanele,Alimentara
148453,Fantanele,Alimentara
148453,Fantanele,Alimentara
148453,Fantanele,Alimentara
148453,Fantanele,Alimentara
148453,Fantanele,Alimentara
148453,Fantanele,Alimentara
132075,Aricestii Rahtivani,ConstructiiMasini
74732,Vartop,Alimentara
91116,Salasu De Sus,ConstructiiMasini
58357,Maguri-Racatau,Lemnului
17398,Mirosi,Alimentara
1017,Municipiul Alba Iulia,Alimentara
140280,Bobota,Mobila
115708,Beica De Jos,Lemnului
107519,Budesti,ConstructiiMasini
107519,Budesti,ConstructiiMasini
107519,Budesti,ConstructiiMasini
74750,Varvoru De Jos,Alimentara
156669,Denta,Alimentara
173061,Slatioara,Alimentara
173061,Slatioara,Alimentara
123914,Raucesti,Textila
17423,Moraresti,Lemnului
42003,Tarlungeni,Alimentara
66580,Cobia,Alimentara
58393,Manastireni,Textila
107546,Calinesti,Lemnului
107546,Calinesti,Lemnului
107546,Calinesti,Lemnului
25629,Strugari,Alimentara
164892,Miclesti,Alimentara
148514,Forasti,Alimentara
140324,Bocsa,Mobila
156712,Dudestii Vechi,Lemnului
99370,Sipote,Alimentara
132137,Aricestii Zeletin,Alimentara
9262,Municipiul Arad,ConstructiiMasini
1071,Ciugud,Alimentara
50228,Vintila Voda,Alimentara
33845,Micestii De Campie,Alimentara
115771,Bichis,Alimentara
107582,Cernesti,Alimentara
9280,Fantanele,Mobila
9280,Fantanele,Mobila
9280,Fantanele,Mobila
9280,Fantanele,Mobila
9280,Fantanele,Mobila
9280,Fantanele,Mobila
9280,Fantanele,Mobila
123969,Razboieni,Lemnului
132164,Baba Ana,Alimentara
42058,Teliu,Textila
164936,Muntenii De Jos,Alimentara
173132,Stanesti,ChimicaFarmaceutica
173132,Stanesti,ChimicaFarmaceutica
173132,Stanesti,ChimicaFarmaceutica
17496,Mosoaia,Mobila
33881,Milas,Alimentara
140379,Buciumi,Alimentara
140379,Buciumi,Alimentara
74842,Catane,Lemnului
25692,Tamasi,Mobila
42076,Ticusu,Lemnului
156767,Dumbrava,Energetica
156767,Dumbrava,Energetica
156767,Dumbrava,Energetica
58464,Margau,Lemnului
91232,Santamaria-Orlea,ConstructiiMasini
74859,Carcea,Alimentara
99441,Tansa,Alimentara
115824,Bogata,Alimentara
74867,Carna,Alimentara
9333,Livada,Textila
42101,Ucea,Alimentara
164981,Oras Murgeni,Alimentara
74875,Cotofenii Din Fata,Alimentara
124028,Rediu,Lemnului
124028,Rediu,Lemnului
124028,Rediu,Lemnului
1151,Oras Abrud,Textila
132226,Balta Doamnei,Alimentara
74883,Dobrotesti,Textila
74883,Dobrotesti,Textila
156801,Oras Faget,Textila
148612,Oras Frasin,Lemnului
66697,Cojasca,Lemnului
74891,Galiciuica,Alimentara
115851,Breaza,Alimentara
115851,Breaza,Alimentara
115851,Breaza,Alimentara
107662,Cicarlau,Lemnului
9360,Sofronea,Textila
25745,Tatarasti,Alimentara
50326,Viperesti,Alimentara
99478,Tatarusi,Alimentara
74907,Ghidici,Alimentara
140440,Camar,Textila
33952,Monor,Alimentara
74915,Ghindeni,Alimentara
58534,Marisel,Alimentara
17575,Mozaceni,Alimentara
124073,Romani,Alimentara
66731,Comisani,ChimicaFarmaceutica
74923,Intorsura,Alimentara
42156,Ungra,Lemnului
173230,Stoenesti,Alimentara
173230,Stoenesti,Alimentara
173230,Stoenesti,Alimentara
173230,Stoenesti,Alimentara
132271,Baltesti,Alimentara
74931,Plesoi,Alimentara
9397,Vladimirescu,Energetica
58552,Mintiu Gherlii,Alimentara
115897,Brancovenesti,Textila
148667,Fratautii Noi,Mobila
83133,Municipiul Odorheiu Secuiesc,Textila
1213,Municipiul Aiud,Lemnului
140477,Carastelec,Alimentara
107715,Campulung La Tisa,Lemnului
91330,Soimus,Mobila
74949,Rojiste,Lemnului
33989,Nimigea,Alimentara
42183,Vama Buzaului,Alimentara
74956,Talpas,Alimentara
83151,Bradesti,Textila
83151,Bradesti,Textila
165069,Oltenesti,Alimentara
66768,Contesti,Lemnului
66768,Contesti,Lemnului
99539,Todiresti,Alimentara
99539,Todiresti,Alimentara
99539,Todiresti,Alimentara
17619,Musatesti,Lemnului
107733,Copalnic-Manastur,Lemnului
124117,Oras Roznov,Lemnului
148694,Fratautii Vechi,Alimentara
140501,Chiesd,Alimentara
132315,Banesti,Textila
50399,Valcelele,Alimentara
50399,Valcelele,Alimentara
25825,Targu Trotus,Textila
50415,Zarnesti,Alimentara
9459,Oras Chisineu-Cris,ConstructiiMasini
132342,Bertea,Lemnului
115959,Ceuasu De Campie,Alimentara
124153,Sagna,Alimentara
148729,Frumosu,Lemnului
42236,Vistea,Mobila
83197,Feliceni,Lemnului
156927,Fardea,Alimentara
58623,Mociu,Alimentara
140547,Cizer,Lemnului
25861,Traian,Alimentara
25861,Traian,Alimentara
25861,Traian,Alimentara
25861,Traian,Alimentara
25861,Traian,Alimentara
165130,Osesti,Alimentara
99600,Trifesti,Alimentara
99600,Trifesti,Alimentara
9495,Oras Curtici,Textila
132379,Boldesti-Gradistea,Alimentara
34075,Nuseni,Alimentara
148765,Fundu Moldovei,Lemnului
140583,Coseiu,Lemnului
66857,Corbii Mari,Lemnului
50479,Ziduri,Textila
124206,Sabaoani,Alimentara
91447,Tomesti,Alimentara
91447,Tomesti,Alimentara
91447,Tomesti,Alimentara
91447,Tomesti,Alimentara
132404,Brebu,Lemnului
132404,Brebu,Lemnului
173374,Stoilesti,Mobila
17726,Negrasi,Alimentara
9538,Oras Ineu,Textila
42307,Voila,Lemnului
165185,Padureni,Textila
165185,Padureni,Textila
1348,Municipiul Blaj,ConstructiiMasini
124233,Secuieni,Alimentara
124233,Secuieni,Alimentara
124233,Secuieni,Alimentara
25932,Ungureni,Alimentara
25932,Ungureni,Alimentara
157004,Foeni,Alimentara
116046,Chetani,Alimentara
140627,Crasna,Textila
140627,Crasna,Textila
99673,Tibana,Alimentara
75098,Municipiul Galati,Metalurgica
107868,Coroieni,Mobila
58721,Moldovenesti,Alimentara
157031,Gavojdia,Lemnului
9574,Oras Lipova,CalculatoareElectronica
132459,Calugareni,Alimentara
132459,Calugareni,Alimentara
17771,Nucsoara,Alimentara
34155,Parva,Alimentara
75114,Sendreni,Textila
50549,Unguriu,Alimentara
83320,Municipiul Miercurea Ciuc,Alimentara
34173,Petru Rares,Lemnului
140672,Creaca,Lemnului
50564,Florica,Alimentara
132486,Carbunesti,Lemnului
66955,Cornatelu,Alimentara
148872,Galanesti,Lemnului
91535,Toplita,Alimentara
75150,Vanatori,Alimentara
75150,Vanatori,Alimentara
75150,Vanatori,Alimentara
75150,Vanatori,Alimentara
75150,Vanatori,Alimentara
107920,Cupseni,Mobila
165274,Perieni,Alimentara
9627,Oras Nadlac,Energetica
132510,Ceptura,Alimentara
157086,Oras Gataia,Alimentara
42398,Vulcan,Lemnului
116126,Chiheru De Jos,Lemnului
17824,Oarja,Alimentara
58794,Palatca,Alimentara
124331,Stanita,Alimentara
26029,Urechesti,Mobila
26029,Urechesti,Mobila
83375,Pauleni-Ciuc,Mobila
1455,Oras Campeni,Mobila
9654,Oras Pancota,Alimentara
148916,Gramesti,Alimentara
17851,Pietrosani,Lemnului
17851,Pietrosani,Lemnului
34235,Prundu Bargaului,Lemnului
75203,Municipiul Tecuci,Alimentara
99780,Tibanesti,Textila
107975,Desesti,Alimentara
67014,Cornesti,Alimentara
67014,Cornesti,Alimentara
116171,Coroisanmartin,CalculatoareElectronica
42449,Sinca Noua,Alimentara
75221,Draganesti,Alimentara
75221,Draganesti,Alimentara
75221,Draganesti,Alimentara
75221,Draganesti,Alimentara
34262,Rebra,Alimentara
42456,Crizbav,Alimentara
9690,Oras Sebis,Mobila
165336,Poienesti,Alimentara
132574,Cerasu,Lemnului
173533,Stroesti,Lemnului
42464,Sambata De Sus,Lemnului
140770,Cristolt,Alimentara
26083,Valea Seaca,Alimentara
26083,Valea Seaca,Alimentara
83428,Oras Baile Tusnad,Alimentara
34280,Rebrisoara,Alimentara
42472,Holbav,Lemnului
58856,Panticeu,Alimentara
148970,Granicesti,Alimentara
91624,Totesti,Alimentara
42480,Dragus,Alimentara
108017,Oras Dragomiresti,Alimentara
17913,Poienarii De Arges,Lemnului
124411,Stefan Cel Mare,Alimentara
124411,Stefan Cel Mare,Alimentara
124411,Stefan Cel Mare,Alimentara
124411,Stefan Cel Mare,Alimentara
124411,Stefan Cel Mare,Alimentara
124411,Stefan Cel Mare,Alimentara
75258,Munteni,Mobila
116224,Cozma,Alimentara
42498,Augustin,Alimentara
108035,Dumbravita,Metalurgica
108035,Dumbravita,Metalurgica
108035,Dumbravita,Metalurgica
26118,Vultureni,Alimentara
26118,Vultureni,Alimentara
83464,Oras Balan,Alimentara
157193,Ghizela,Alimentara
9743,Almas,Alimentara
140823,Criseni,Alimentara
34333,Rodna,Lemnului
173597,Sutesti,ChimicaFarmaceutica
173597,Sutesti,ChimicaFarmaceutica
83491,Oras Borsec,Alimentara
58918,Petrestii De Jos,Alimentara
99879,Tiganasi,CalculatoareElectronica
132645,Chiojdeanca,Alimentara
91688,Turdas,Alimentara
165416,Pogana,Alimentara
17968,Poienarii De Muscel,Mobila
67121,Costestii Din Vale,Textila
34360,Romuli,Lemnului
149049,Horodniceni,Alimentara
157246,Giarmata,Lemnului
116288,Craciunesti,Mobila
83525,Oras Cristuru Secuiesc,Mobila
9798,Apateu,Alimentara
140869,Cuzaplac,Alimentara
75338,Oras Beresti,Mobila
108106,Farcasa,Mobila
108106,Farcasa,Mobila
132681,Ciorani,Textila
124493,Tarcau,Lemnului
91731,General Berthelot,Alimentara
99922,Tutora,Alimentara
157273,Giera,Alimentara
165470,Puiesti,Alimentara
165470,Puiesti,Alimentara
34397,Salva,Textila
75356,Beresti-Meria,Textila
67167,Crangurile,Lemnului
50790,Municipiul Resita,Metalurgica
9832,Archis,Mobila
83561,Municipiul Gheorgheni,Alimentara
18028,Poiana Lacului,Alimentara
58990,Ploscos,Alimentara
132716,Cocorastii Mislii,Lemnului
149101,Horodnic De Jos,Alimentara
173686,Sirineasa,Alimentara
