Judet,Siruta
AB,4366
AG,13301
AR,12876
B,179132
BC,21249
BH,27631
BN,33603
BR,77313
BT,13392
BV,40214
BZ,13365
CJ,119466
CL,23715
CS,51699
CT,102106
CV,63447
DB,101298
DJ,100834
GJ,101298
GL,29243
GR,102106
HD,91982
HR,83491
IF,179551
IL,100683
IS,97919
MH,75150
MM,155261
MS,114319
NT,29243
OT,166636
PH,29243
SB,40900
SJ,142239
SM,137185
SV,148202
TL,77224
TM,155289
TR,15108
VL,19338
VN,130847
VS,166636
