,0,1,2
2008,0.463736525546518,0.7993179576070738,0.22765358099142669
2009,0.45853967077505975,0.7981899990439068,0.2251481044696575
2010,0.4617834093956558,0.7811899016959586,0.3163674135031508
2011,0.46648548574789217,0.7566932944358494,0.3806984194833491
2012,0.4932553367192922,0.7070355733713247,0.4394188665343117
2013,0.5146472576392817,0.6568786699985111,0.4994033499480862
2014,0.5367677791581101,0.6175304415500099,0.5363064889083481
2015,0.5985913583050128,0.5587218485542119,0.5261813480560105
2016,0.6547504042904793,0.5239180083229896,0.49377546022463636
2017,0.7142181719626904,0.4942433292348034,0.43430262644808265
2018,0.7721814229339475,0.4687776982938283,0.36844175981758914
2019,0.8126147110427641,0.46362595875512624,0.29962326800025696
2020,0.8383905497083671,0.4524058275260222,0.2347226224302223
2021,0.8134156331373205,0.447045129573033,0.2513607044804872
