CountryCode,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,C14,C15,C16,C17,C18,C19,C20,C21,C22,C23
ABW,0.11771072628132226,-0.6286931041178521,-1.1900443200912323,0.7493300847843245,0.6735795819276396,0.08383432508255077,-0.7804055815853705,-0.654934674668518,0.404612994045081,-0.7966093580322386,-0.9243671754055284,-0.8054658464847531,-1.1377763634647018,0.618213655226717,-0.06362645727181887,-0.1012744195955857,-0.02076036255872488,-0.16618113031559562,-0.013551079016880293,0.22372558057061043,-0.14446189023207726,-0.15909986728325476,0.1512376349334817
AGO,-2.6657921300843923,0.6709312082955246,-0.007356772861332541,-0.6950335432892122,-0.10653766467683615,-0.10587605113250827,0.556712383957447,-0.013105608715174482,0.14144501932765713,0.13520550484739488,-0.27638686095462883,0.7476906325571521,-0.08910806222401309,-0.14616084394796652,-0.04206002410369068,-0.028880008297470054,0.04080889707685282,0.021093541604671834,-0.26548668218729476,-0.00045165687517530884,0.24032137711582705,-0.1614453381942726,-0.008066697404438397
ALB,1.3088467262823802,1.3123617506103833,1.6127254946407772,0.611075665757586,1.6013850101715859,-0.575659825739125,-0.614967958007121,-0.6449713517484197,0.35983824452021757,0.8706139447776008,0.6395990637044338,-1.4193659278026207,0.1557374539248172,0.237303108312186,-0.5512244823847742,-0.34757269474673325,-0.021850355336826232,0.09462220858307134,0.10251204173781776,0.013228594292824454,0.1260349942169257,-0.017846087903081537,-0.05067438046883562
AND,2.2336353538502736,-0.7765192635297569,-1.5415523884720925,0.15291935922164088,0.09708858750229454,-1.4439567210863111,-0.3267278732878445,0.19772033771718328,1.224763004735939,0.22177709945222415,-0.46333497114184785,-0.3525836521085584,-0.3650850904068526,0.5440954600304331,-0.21600403782937613,0.5154948646738837,-0.31773317246630284,0.18986947623507905,0.07121226718944228,-0.1889185681356111,-0.19141117284422163,-0.500358625695466,-0.06733757752393185
ARE,1.5167420170007169,-0.7556260870125097,0.028439171048946835,-0.9779980922784336,-0.9642401538120626,-2.4678581527490926,0.37290046756576206,0.018272902702236162,-0.04697326181849876,0.37552239667113413,-0.6968535528830111,0.01836060766434192,-1.2933196528538369,0.2699192096565555,-0.3849152260731015,-0.5155373188490704,0.6401667009181152,0.20970560081969233,0.20986724730566889,0.17801177301710122,0.027752526939169377,0.11743490981917998,0.04623845053410516
ARG,-0.36726608062077093,-0.37197918864108304,-0.8800777436824739,1.5258534490742217,0.17731825521885033,-0.2632233787587577,-0.7353233856299359,0.534444040075582,0.08060025617181381,-0.758333543866681,1.207773505983277,-0.42889112867686535,0.37220847519486594,-0.2886945494093876,-0.19780423195219038,-0.26297494306942304,-0.04038591049643411,0.07904750894758174,-0.3257372421394779,-0.05278244561865057,-0.08343306038387836,0.02678323962482245,0.02017086149854175
ARM,9.570162785668627,8.171358685705343,6.97277231071938,1.6893026086185212,-2.1227009266521413,-1.8369553585972374,1.8461994626717906,0.76695889586951,0.27965100909604573,0.0024106849765430614,-1.3844677031523849,0.5274747842997968,-0.8636964521458719,-2.038192410033715,0.7049177497123048,-0.47213635818032357,0.2416501246735344,-1.3220659599530307,-0.23521077224352407,-0.5570430611028236,-0.3748807841352769,0.06526560428938828,-0.0008809964379572297
ASM,0.8743173234687979,1.7157719979292543,-0.44835600380778934,-0.5768148015027357,-0.029062535064160983,0.5189115133521814,0.06283128834393602,-0.10849428652852361,-0.0156265378682663,0.28843326981303213,-0.0552395168953243,-0.16584092510815868,0.3644098037072862,-0.3758826413511916,-1.0685624947962609,0.84393502636496,-0.3846905827116672,0.7156834084743665,0.08784063136323289,-0.17238470488625818,-0.8970553685271381,0.03702732910089674,0.005513354009825113
ATG,-0.30856440768696086,-0.07087502051168046,-0.296435213615557,-0.2242016339700589,0.15996115022823046,-1.22177676589507,-0.1973300790492291,-0.7934370055267091,-0.18080554510315178,0.3096007815001003,-0.12290736214856106,-0.07261364632389083,-0.8302018035262098,0.35079516578995845,-0.4935462476258316,0.029990601856638998,-0.03024090806986806,0.15191532475857492,0.021274832093259304,-0.008966634005985212,0.06634105770067124,-0.10820768192437283,-0.05891133116318575
AUS,2.287773643419161,-1.3756386772741054,-0.4597491142592231,0.7803932865603379,0.749112687534302,-0.9179040953522292,-0.3978996746498836,0.9250892511534302,0.20131938473477248,-0.5162604354034233,0.08034701857823759,-0.7651255218581123,0.8762311903591248,-0.3382700126569073,0.15406569999973138,-0.26760499858786513,0.15600961892296797,0.2471264105870167,0.04608017708251771,0.052228707312009896,0.06437145756353609,-0.04435476708723955,0.030183874611290587
