CountryCode,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,C14,C15,C16,C17,C18,C19,C20,C21,C22,C23
ABW,0.0017264916794296195,0.04925040481697834,0.17646504155101433,0.0699646635165091,0.05653406827337679,0.0008757419536860905,0.07588800654534465,0.05344762103127555,0.020399149596090044,0.07907209014226724,0.106468574969039,0.08084006819946789,0.1613044043245971,0.04762221575021862,0.0005044381168177617,0.0012780031870262421,5.3703461391270436e-05,0.00344108838885733,2.288127213549514e-05,0.006236827013851081,0.0026003930539993374,0.003154075215340827,0.0028500479412862266
AGO,0.7695554020843017,0.04874648612291384,5.860869119612386e-06,0.05231170287990313,0.0012291182683867932,0.0012138996834762294,0.03356209733408577,1.859951942007053e-05,0.002166519722171498,0.0019795937609843528,0.008272220743715312,0.060538437470372394,0.000859847290424811,0.00231339297357777,0.00019156949863007646,9.031958958948445e-05,0.0001803420670013681,4.818216781638227e-05,0.007632605366907446,2.2090450827355554e-08,0.006254205340887723,0.0028225285681800463,7.046587683418796e-06
ALB,0.12275822120664148,0.12341846283561364,0.18637768269166108,0.026758575125263855,0.18376572933598945,0.02374678654159139,0.027100542259705634,0.029809442501991468,0.00927871089868572,0.05431555765139512,0.02931491527159054,0.14436494708658537,0.0017380375110968278,0.0040353374542380265,0.021773588017530623,0.008656937990346652,3.4212909817471914e-05,0.000641592333877107,0.0007530481944832092,1.2540082660687521e-05,0.001138296226731895,2.2822281629023365e-05,0.00018401359087382916
AND,0.3742387800336233,0.04523022068158543,0.17825462862162303,0.0017540791156548203,0.0007070670583694905,0.1563985030265017,0.008007493790308254,0.0029324250848333077,0.11251964618918209,0.0036894160873003354,0.016103282066677327,0.0093249944634679,0.009997983906730791,0.02220621002523561,0.0034998382881352838,0.019933011862403066,0.007572675671256002,0.0027041734437528737,0.0003803941803615433,0.002677155079755265,0.0027482662683058295,0.018779629537214956,0.0003401255177214539
ARE,0.16061516676714305,0.03986364469057519,5.6467295017964146e-05,0.06677888026378355,0.06491327833567478,0.4252100344860112,0.009708429319316314,2.3311928414554512e-05,0.00015405101159986776,0.009845432644696157,0.03390362646818225,2.3536247289976338e-05,0.1167817210687042,0.005086636514569209,0.010344114018612778,0.01855595601908551,0.028612069900324034,0.0030703167144522994,0.003075051897380013,0.002212384305741834,5.3773484948648385e-05,0.0009628476052131424,0.00014926901326333804
ARG,0.019317960663250346,0.019816954962722174,0.11092813547214922,0.333445825076817,0.004503047574485591,0.009923127137834482,0.07743840389773776,0.04090761061848198,0.0009304059541578213,0.08236072680227234,0.20891548618645,0.02634473068428604,0.019841392683042244,0.011936494591616779,0.00560364732780055,0.009904404670543134,0.0002335927683849618,0.0008949031021904954,0.015196181321776714,0.00039900529093574876,0.000996955985163614,0.00010273675650535203,5.8270471395790745e-05
ARM,0.3949133989821299,0.28790669755868337,0.2096400173266809,0.01230490101400954,0.019428570070331126,0.01454991390641509,0.014696721331046372,0.002536339570065127,0.00033720654896274066,2.505786941872492e-08,0.008264733934901417,0.0011996833332937854,0.0032165143275815805,0.01791239175667697,0.0021425951195890997,0.0009611653598693491,0.0002517892974655536,0.007536495872837696,0.0002385490188134529,0.0013379526882441675,0.0006059678434652831,1.8366734408435297e-05,3.3466594682633385e-09
ASM,0.09239247655042226,0.3558095437740681,0.0242965394062898,0.04021344074533523,0.00010208582195493656,0.032545058378010694,0.0004771449935457244,0.0014226962207459168,2.9513721777901634e-05,0.010055163764588818,0.0003688061758739508,0.003324159583752027,0.016050129690955574,0.017076661961320065,0.13800610389763884,0.08608281601779966,0.017886342849276152,0.06190708283763402,0.0009325869603981133,0.003591665647660641,0.09726059917661882,0.00016570790006376448,3.673924269006327e-06
ATG,0.025908087556515073,0.0013668790654966098,0.023911305135193274,0.01367795730264789,0.006962620646802865,0.4061883106163145,0.010595715204294906,0.17130443259832576,0.008895434952388348,0.02608241456302838,0.004110545811443179,0.0014347630648243025,0.18754739745060542,0.033485045747893086,0.06628258015154116,0.0002447451304245356,0.00024884754056926677,0.006279815287119379,0.000123161786350357,2.1877746393364606e-05,0.0011975908788307069,0.0031861035308726124,0.0009443682321251673
AUS,0.42420106929122015,0.15337494147122743,0.017131187034887967,0.04935972183184325,0.04548204248884139,0.06828735152954377,0.0128319548338698,0.06936061317942341,0.003284859836455142,0.021601471721841632,0.000523221024033222,0.04744724841550123,0.062227602778987895,0.009274118772714288,0.001923789620491062,0.005804089449473743,0.0019726425937648525,0.004949758119867433,0.0001720972509280275,0.0002210875098300629,0.0003358399373173067,0.000159450637644732,7.384067029221932e-05
AUT,0.24127891925984843,0.43071185934228223,0.04046879660318734,0.002223899601702984,0.1180420850730755,0.001304858353800785,0.0002840677805995227,0.017321519014825624,0.03592105822221241,4.452909903352941e-05,0.0017620490556883386,0.059946217306882425,0.00018836464436915144,0.03685249147253279,0.0024404566699088117,0.004787733605307045,0.0023298908783272714,0.0017344289755197681,0.0006087696026431281,0.001556523982340314,5.8327802508511425e-05,7.712555276144437e-05,5.6028100642544706e-05
