,Varianta,Varianta cumulata,Procent varianta,Procent cumulat
F1,7.264495209855845,7.264495209855845,35.34087188548971,35.34087188548971
F2,3.796859819595621,11.061355029451466,18.471254034202214,53.81212591969192
F3,2.106603861274318,13.167958890725783,10.248367577387524,64.06049349707945
F4,1.5347840729010864,14.70274296362687,7.46653493813285,71.5270284352123
F5,1.2716534602877811,15.974396423914651,6.186437009662776,77.71346544487508
F6,0.8946716041101977,16.86906802802485,4.35246684415826,82.06593228903334
F7,0.7452452286634795,17.614313256688327,3.6255259847560906,85.69145827378944
F8,0.6113274243806128,18.22564068106894,2.974032408447326,88.66549068223676
F9,0.4297962266278953,18.655436907696835,2.0909055541141677,90.75639623635094
F10,0.40235122463629314,19.05778813233313,1.9573890094317092,92.71378524578265
F11,0.31258897885378956,19.37037711118692,1.52070677113256,94.23449201691521
F12,0.2896307952146989,19.660007906401617,1.4090180435232609,95.64351006043847
F13,0.26492829509977683,19.924936201501392,1.288843431717015,96.93235349215549
F14,0.2008376094969962,20.12577381099839,0.977050162741067,97.90940365489655
F15,0.1402867028764595,20.266060513874848,0.6824774812802304,98.59188113617678
F16,0.08853112230150037,20.354591636176348,0.4306929746324428,99.02257411080922
F17,0.06272528688280642,20.417316923059154,0.3051507728573255,99.32772488366655
F18,0.05026921975394372,20.467586142813097,0.24455354484883846,99.57227842851539
F19,0.041127336719619094,20.508713479532716,0.200079413092255,99.77235784160764
F20,0.02088164200715385,20.52959512153987,0.10158660906435214,99.873944450672
F21,0.01740458847635974,20.54699971001623,0.08467117312269601,99.9586156237947
F22,0.008506768131830524,20.55550647814806,0.04138437620534338,100.00000000000004
F23,0.0,20.55550647814806,0.0,100.00000000000004
