CountryCode,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,F13,F14,F15,F16,F17,F18,F19,F20,F21,F22,F23
ABW,0.07975909411782037,0.3261971097229665,0.6899433786575577,0.47223163162309023,-0.47778622829155,-0.07273147204274673,-0.8690658942069169,-1.3333077873632098,0.0028021432933547233,1.074980654189971,-0.41968075491421414,-1.835851491004693,-1.2157030298917981,-0.13133521395496792,0.6895579294023776,-0.09434128933987146,-0.23348327492742396,0.49573558163737325,0.1720995395912601,-0.9278468299243375,-1.041612689581985,0.9643690733607861,0.0
AGO,-1.002077077052802,-0.4081288462578929,-0.010210617753917897,-0.35637391469587865,0.07707682884645703,-0.1289484089174061,0.7898091993964197,-0.024899129243439892,-0.12228445072969253,-0.011452175618965372,0.16410554605298636,-0.23913324201799327,0.35962559999294863,0.5316242007760359,-0.08580127225785254,0.11532374941514786,-0.30585912997594616,-0.41078309342957026,-0.9300740540940848,-0.18195085420819637,1.0853827383279908,1.1073350577130103,0.0
ALB,0.5054496847992946,-0.5523311463328499,-1.0555890609240832,0.07220213741564381,-1.4157622579200102,-0.06757301461217707,-1.1129848626234526,-0.4107194517835199,1.3222623358495724,-0.027580736882685496,-0.7853238107127589,0.9336715245997548,-1.6232124851211638,-0.689644199842351,0.36312389289234687,0.49923978849474343,0.2340466242489676,-0.3345848086896493,0.44089766189702273,-0.0864514721636866,0.6372722336980549,0.15452575750625536,0.0
AND,0.8495628495480616,0.45502145211794337,1.1810397553626333,0.4376645486876967,-0.4230431817737515,-1.1010202799133924,-0.30595418762886833,-0.4309498908424471,-0.06483303062498467,1.2449825917776522,-0.6472880779224952,-0.15626418944400144,-0.8338647785328956,0.313214626630718,-0.6485807372618098,-1.6744067467526285,0.7977180084138377,0.3349606155865993,0.09246851142230204,1.1796525733249557,-1.3119295459662548,3.009363170405095,0.0
ARE,0.5821967707077784,0.4333858288715721,0.13598534643346108,-0.07857685946017537,0.5581605671190623,-2.129670102522311,0.2694817409250806,-0.35077238821541035,0.7756207950195454,-0.15533635706564528,-0.6105097451171555,-2.2395988053268105,-1.0938819128774702,-0.14663710922666873,-0.046982895665628,1.3669584636098187,-1.4824777544209395,-1.1918015091072873,1.2754907150879162,-0.7339859505570481,0.07446010846326671,-0.7028409422898645,0.0
ARG,-0.12590599586645304,0.16248643962592568,0.5299341327452671,1.3237245617341877,-0.2701180101274179,0.22046525597991404,-0.9970513589519404,0.9752919099704113,-0.19503997993005365,-0.5288369075433004,-0.27284173823501506,0.913111754681453,-0.2510106252761146,-0.7882907059791355,0.21024307498712128,0.25784799152181603,0.10787857728608069,-0.5265977420648895,-1.328495701582013,0.19027403989897404,-0.39992773954884175,-0.1800606080251735,0.0
ARM,3.524505212853851,-4.211918046321607,-4.828444509174763,2.1364492258601246,1.3145848488720093,-2.4783063880416023,1.1917130446641269,-0.1497503800358608,1.5771818782731013,0.578138007709333,0.4652040396903941,-1.5707790122156418,3.419259307521179,-0.43991149233103577,-0.06767831241542176,3.054119598448078,-0.9724942876619457,3.918601540405635,-2.177170068859076,2.5818731409685163,-1.5025774562423675,-0.5954232463377521,0.0
ASM,0.3618062646052522,-0.8565783501400579,0.3237110208738684,-0.42551788092310233,0.13829771218602316,0.5526248352955573,0.487254220302167,-0.14443645364317226,1.0178513005681724,-0.1467603895779858,0.16754302804351112,0.984848280279181,-0.9936928544540851,-0.2267514400606301,-2.4699400636533846,-2.528562826941374,1.6723345980650863,-1.0393992742497624,0.12130864990422639,1.3874497543910314,-4.553354061469344,-0.5731501160344977,0.0
ATG,-0.08262660116870964,0.11866141365823517,0.2714526085806456,-0.04193220464146639,-0.1685800897521834,-0.5920060579167983,-0.22767169025024633,-0.6488297976705644,0.39550607994266856,-0.19047654895144203,-0.7042864270031731,-1.0165782746663252,-1.1796478198709262,0.017023205794963726,-0.5077113488523941,-0.22619837012276783,0.15727109108417384,-0.341228515304019,0.1081439639892655,0.0333879450194718,0.2639381765243825,0.6920263487563688,0.0
AUS,0.8514191493121054,0.7074602793578973,0.3253499037500481,0.733538662377684,-0.8745529620623987,-0.8345645690776015,-0.4098049651516381,0.451767451999357,0.10990676577132964,0.09357250813443173,0.5292957939825825,1.2461274913491842,0.27081371482255046,-1.0240295042190835,0.5065254477643334,0.16220724701134215,-0.332389792753015,-0.9431250818842652,0.44072635330352383,-0.1842705075986222,0.21336157114329818,0.31242349976545064,0.0
AUT,0.7820859226172734,1.3990745420777226,0.5039292665501213,0.10551981402274373,-1.213516580755518,0.57758671011091,0.3064337943201114,0.6949624790699295,0.33494824383151023,-1.0189325151713413,0.5059346185060721,-0.2961230558865669,0.8434273696909528,0.02517613227600565,-0.3198894687768999,1.2065093382811378,-0.6777319128221488,0.1472426793110361,-0.3146069583228438,-0.9097129886593515,-0.32783543039281515,0.25680485900830385,0.0
AZE,-0.08244246293274547,0.37237005074789326,-0.13547007048908022,-0.5299936139726101,-1.599289296022972,-0.7121653588022998,-0.8604350594800305,-0.03049016170955401,-0.7367906289248981,0.4329694230769671,-1.0931849172736794,-1.36001261081084,-0.5729828332537391,0.429783469990917,0.016579459045540982,-0.5203806177866523,1.1896985756252476,1.0186647517190413,-0.2615650484063657,-0.006373991502941111,-0.7747357878935335,-1.0725253109789916,0.0
BDI,-0.7950203771883338,-0.18706919078370154,-0.7929855107110679,-1.88107543448647,-0.719551856305661,0.7053292132521768,0.6236885077750848,-0.7782269268241205,-0.007939195224740228,-0.218738604323976,0.5748734818904077,-0.46660591939860535,0.6170854709969953,0.02329603348816325,-0.027921463544560692,-0.08013865892412625,-0.18259209461512776,0.5984992537647742,1.3588970786906072,0.12802276127147993,0.426761910699653,-0.06092983931751355,0.0
BEL,1.0036126689177816,1.497343622566363,0.39471843722693384,-0.15492702449569692,-1.4402341085619539,0.868368663589092,0.07714053252265964,0.21508148552935866,0.10347204852468134,-0.7058014532581458,0.3144626757030272,-0.2761522067616986,0.9028670120675418,0.6482474349284519,-0.9143827980022101,0.25393736085948054,-2.111107923174232,0.5025692863076313,0.6715873832092384,-0.03686918663453003,-0.37926619130054506,-0.27519049385495736,0.0
BEN,-1.0913471410684443,-0.5325541605740219,-0.14673374685560478,-0.557197170537687,-0.20220127007066327,-0.15239339463361323,0.7673157145603728,0.2853688360102386,-0.47223124768460145,-0.09173304987459223,0.6365078226000506,0.13023287997918478,0.6185431653288167,-0.15866344999124413,-0.7683576269916921,-0.17847637870970293,0.33131539336519794,0.38060287390866215,-0.03875380050728711,-0.0958729526820906,0.5142107205537817,0.365721024661395,0.0
