Observatii,C1,C2,C3,C4,C5,C6,C7,C8
Austria,0.8033238502607895,0.38476354175902056,0.030956787588630092,0.1076481318546349,-0.3242491772806397,-0.16096977959907366,1.2720317326421293,0.615818456948699
Belgium,0.7325896816546805,-0.6131287669534754,0.5097377404861705,1.497504644147644,-0.6143505663053888,-0.8088358497106974,3.009035039849099,1.064849573383161
Bulgaria,-0.6536781773408287,0.22919502499831015,-1.11005349414552,-1.0306475730872582,0.08149709156201639,-0.47800516458743814,-0.22059427811188795,-1.1703281127371699
Croatia,-0.6099189621136402,0.442897746035507,-0.39957491135929757,0.4263342727365161,0.46528082422365746,0.24753677508560773,0.4341632520816533,-0.7254980266734463
Cyprus,-0.23411727203253535,-1.2849551601860993,-0.4251051128183569,-0.7424562126317433,-1.9558572065332078,2.4253652861896042,-2.0400979834002,1.2154831051895645
Czech Republic,-0.7472251913629621,1.3183885538973585,-0.3255991396535171,-1.898962707018122,-0.6077084846657429,-0.14266016890852498,-1.3127456660900065,0.18281907074215129
Denmark,1.0459534400291657,-0.48420134574703977,0.17013966415669807,0.8953667216324129,-0.7185870986062213,-0.8644739839705802,2.174114730452722,1.5549808015937758
Estonia,-0.2137922198010473,0.18470198467416835,-0.8642649811457696,-1.6126355512238555,0.61022711473112,1.5536864015302756,-0.37421987144319085,-0.4533833957079298
Finland,0.881394027669048,-1.0134982993857284,0.3524149999241107,1.0013566092782853,-0.4467270084137034,0.1271952579459311,-0.19852612305500195,-0.8171976860678078
France,0.7671986469183119,-0.9373173587316093,0.639856470745317,0.03290480531320532,0.5564586434099039,-1.0366253927909153,-2.0255712192392257,-1.317682712091642
Germany,1.1461142839154679,-0.23746010162699938,0.9387222881997586,0.21009153812506698,0.5646352970252241,-6.363371735229924,-1.4717613476293208,-1.5952483547148886
Greece,-0.6503826729578802,-1.2271315831047604,-0.3534576209719408,2.2443076696115325,0.9259899683001459,2.146819361504106,-3.5731677448771406,0.7674463500823046
Hungary,-1.1561101500606281,3.1103416433995426,-0.07965898525134617,-0.5884373170325965,1.8172366739585128,-1.0698202157706704,-0.24453977451078426,-1.1447510228537225
Ireland,0.45740022895144683,-0.048697849845190155,0.18253237323509092,-0.5827027830112512,-1.1694288970361248,0.7144006866283401,1.868662298957606,2.2107614534791566
Italy,0.12463427140354012,-0.7223911485140931,0.6246092348789564,1.2769961019660656,0.15175025168721779,-0.6434369014160493,-3.875611160832205,-0.23281131433592073
Latvia,-0.26903650041605015,0.4569823417605191,-1.2173441089609822,-0.09723833286870462,1.2888737668441865,-0.20641613890731814,-0.10090002586262485,-0.8613979570684378
Lithuania,-0.3088643762841785,0.7472688878211794,0.07830174185151387,0.2953162637921033,1.3633030799910308,0.5985463605748879,3.516767919471711,-2.122402917904971
Luxembourg,1.3555653724737224,-0.17519786732746112,0.6773014856340275,-0.09245332653947627,-1.0659732926255356,1.230513654085928,3.633293934707252,4.772046179544091
Malta,-0.32377976057814306,-0.34012353257509575,1.1856471776680024,-1.496048628642432,-2.900026729199724,3.074203213944091,2.951327600960164,-1.1800653419031644
Netherlands,0.501762714526446,-0.23537678089167685,0.061889901556205,-1.0089579687177348,-0.6967515876140696,-0.9295844802909194,1.7133353438263534,2.473018786048792
Poland,-0.8853876988769989,1.053395461684896,-0.3337107028622513,-0.5054464970071333,-0.47741925253234224,-1.7607626325379526,-2.9508052955311928,0.1841940983206489
Portugal,-0.5617504964717441,-0.17343654255932206,0.10894867775427075,-0.4784990655155017,0.7526011210886437,0.9014784641278643,2.0357672601600583,0.36470052371864203
Romania,-1.4467393892752445,1.232511938370698,0.5586400008393189,2.6514311627648257,-0.33336229115142146,-0.34304878209468925,-2.1871928322565566,0.5508368572667316
Slovakia,-0.31257567515851364,0.5034616860395041,-1.128451022470337,-0.5676545889846714,0.5390177590809452,0.24544023099766002,-0.7416088360598038,-2.511118358934581
Slovenia,-0.0380638930335121,0.5590018419100341,-0.4297191054569324,0.08244893439403819,-0.30585697628950764,-1.0025888360309558,2.6317100282430994,0.02657853621769874
Spain,0.2378865590736092,-1.7872752174801667,0.8297304911179528,0.030672926057205334,2.1224687624136918,2.206508069181798,-2.379706771461445,-0.508738548034295
Sweden,0.35759935888768035,-0.9427190974220174,-0.28248985053977255,-0.0502392293930422,0.37695821393733053,0.338906300049622,-1.5431602109912776,-1.3429100435074655
