Variabile cauzale,C1,C2,C3,C4,C5,C6,C7,C8
House Price Index (Reference 2015 = 100),-0.3987557384469358,0.45186767922137244,0.12168833531763709,-0.4447444271897026,0.4508716257586726,-0.05020110364042694,0.1759372206347866,0.11984343561638845
Government revenue from property tax (million euro),0.3013013159808442,-0.22909613827964975,0.7686144091748462,-0.18998226832344814,0.17211788664644556,-0.3234825672722867,-0.18891367629364506,-0.07233868195238002
HICP Inflation rate (%),0.2129432727373176,1.0003075558715615,-0.11257986146921746,-0.09078410687582177,0.03397055286207733,0.10634396388926955,-0.15398015830471126,-0.1669528121935009
Unemployment rate (Percentage of labour force),0.20812937272744392,-0.3394937558392047,0.08918571652161893,0.26589790132572183,0.5563470490148907,0.3424591599231241,-0.08593376283526609,-0.027459304665330957
Income tax + social contributions rate (%),0.19804248668563812,0.3401340914104937,0.35452709944544775,0.5982751993125107,0.08977281070665827,-0.1647154270820109,0.26247326693346634,-0.06269553904492477
Median household net income (euro),1.277689017293465,0.26314897482149285,0.19510295775513672,-0.003410534594628551,-0.104348679028585,0.08385502989017794,-0.026526908191940635,0.1939903328722858
Rate of total population change (%),-0.12780311195436422,-0.07893538552122474,0.7663751545050965,-0.25554536594871274,-0.26255158912785487,0.3314647895505818,0.15029813724404725,-0.0752713437808296
Harmonised long term interest rates for a term to maturity of 10 years,-0.8960051358928021,0.3424200109116756,0.4455296550453199,0.33805339956962355,-0.09697908657575449,0.05427542899892229,-0.1996318301007257,0.14978963858884722
