,Varianta,Varianta cumulata,Procent varianta,Procent cumulat
Comp0,7.29134336959595,7.29134336959595,31.701492911286724,31.701492911286724
Comp1,3.8429686902179823,11.134312059813933,16.708559522686873,48.4100524339736
Comp2,2.1335417351207027,13.267853794934636,9.27626841356827,57.686320847541865
Comp3,1.6729156196892025,14.940769414623839,7.273546172561748,64.95986702010362
Comp4,1.308351730536806,16.249121145160643,5.688485784942632,70.64835280504624
Comp5,1.1835374629945836,17.432658608155226,5.145815056498187,75.79416786154444
Comp6,1.0303088878738664,18.46296749602909,4.4796038603211565,80.2737717218656
Comp7,0.8963705173316792,19.35933801336077,3.897263118833386,84.17103484069898
Comp8,0.7401094935293163,20.099447506890087,3.217867363170939,87.38890220386992
Comp9,0.618885061605473,20.71833256849556,2.690804615675968,90.07970681954589
Comp10,0.5444319419650834,21.26276451046064,2.3670953998481874,92.44680221939407
Comp11,0.45403042583407766,21.71679493629472,1.9740453297133802,94.42084754910745
Comp12,0.3342439118933153,22.051038848188032,1.4532343995361527,95.8740819486436
Comp13,0.31099896016969153,22.362037808357723,1.3521693920421365,97.22625134068575
Comp14,0.23825564618787012,22.600293454545593,1.0358941138603044,98.26214545454606
Comp15,0.13005752209604768,22.730350976641642,0.5654674873741201,98.82761294192018
Comp16,0.07828711810853951,22.808638094750183,0.34037877438495423,99.16799171630514
Comp17,0.06765530463125585,22.87629339938144,0.2941534983967644,99.4621452147019
Comp18,0.05070328691622889,22.926996686297667,0.22044907354882118,99.68259428825073
Comp19,0.029241236627020523,22.956237922924686,0.12713581142182828,99.80973009967255
Comp20,0.025191876917732586,22.981429799842417,0.10952989964231555,99.91925999931486
Comp21,0.014747746170566466,22.996177546012984,0.064120635524202,99.98338063483907
Comp22,0.0038224539870257788,23.00000000000001,0.016619365160981642,100.00000000000004
