Country,Comp0,Comp1,Comp2,Comp3,Comp4,Comp5,Comp6,Comp7,Comp8,Comp9,Comp10,Comp11,Comp12,Comp13,Comp14,Comp15,Comp16,Comp17,Comp18,Comp19,Comp20,Comp21,Comp22
Aruba,0.11771072628132172,-0.6286931041178524,1.1900443200912312,-0.7493300847843217,-0.6735795819276396,0.08383432508256873,-0.7804055815853689,0.6549346746685206,-0.404612994045082,-0.7966093580322297,0.9243671754055378,-0.8054658464847603,-1.1377763634646854,-0.6182136552267239,-0.06362645727181633,-0.10127441959558538,-0.020760362558724564,-0.1661811303155965,-0.013551079016876189,0.22372558057059833,-0.14446189023208578,0.15909986728325323,-0.15123763493348444
Angola,-2.66579213008439,0.6709312082955267,0.007356772861333836,0.6950335432892123,0.10653766467683518,-0.10587605113252216,0.5567123839574438,0.013105608715174924,-0.14144501932765863,0.1352055048473969,0.27638686095462284,0.7476906325571536,-0.08910806222402366,0.14616084394796483,-0.0420600241036903,-0.028880008297471796,0.04080889707685218,0.021093541604670328,-0.2654866821872953,-0.000451656875155667,0.24032137711582519,0.16144533819427676,0.008066697404437025
Albania,1.3088467262823806,1.3123617506103826,-1.6127254946407736,-0.6110756657575918,-1.6013850101715805,-0.5756598257391169,-0.6149679580071379,0.644971351748419,-0.3598382445202111,0.8706139447775987,-0.6395990637044333,-1.4193659278026245,0.15573745392483238,-0.23730310831218399,-0.5512244823847743,-0.3475726947467336,-0.021850355336826065,0.094622208583073,0.10251204173781583,0.013228594292832489,0.12603499421692638,0.01784608790308256,0.05067438046883645
Andorra,2.2336353538502727,-0.7765192635297591,1.5415523884720892,-0.1529193592216393,-0.09708858750228783,-1.443956721086302,-0.32672787328787817,-0.19772033771718167,-1.224763004735939,0.2217770994522326,0.4633349711418474,-0.35258365210856263,-0.3650850904068421,-0.5440954600304363,-0.21600403782937574,0.5154948646738848,-0.3177331724662996,0.18986947623508274,0.07121226718943689,-0.18891856813563387,-0.19141117284422024,0.5003586256954611,0.06733757752392566
United Arab Emirates,1.5167420170007158,-0.7556260870125104,-0.028439171048948397,0.9779980922784287,0.964240153812073,-2.467858152749098,0.37290046756570616,-0.018272902702238372,0.04697326181849825,0.37552239667113907,0.6968535528830094,0.018360607664330765,-1.293319652853835,-0.26991920965656413,-0.3849152260730993,-0.515537318849071,0.6401667009181167,0.20970560081968953,0.20986724730566722,0.17801177301710247,0.027752526939163313,-0.11743490981918074,-0.04623845053410511
Argentina,-0.3672660806207717,-0.37197918864108326,0.8800777436824757,-1.5258534490742193,-0.17731825521884736,-0.2632233787587374,-0.7353233856299423,-0.5344440400755798,-0.0806002561718139,-0.7583335438666905,-1.2077735059832702,-0.42889112867686985,0.3722084751948663,0.28869454940939104,-0.19780423195218982,-0.26297494306942326,-0.04038591049643431,0.07904750894757938,-0.3257372421394808,-0.052782445618653424,-0.08343306038387557,-0.02678323962482478,-0.0201708614985401
Armenia,9.570162785668634,8.171358685705336,-6.9727723107193675,-1.689302608618547,2.1227009266521493,-1.8369553585972715,1.8461994626717515,-0.7669588958695146,-0.27965100909605245,0.002410684976550882,1.3844677031523853,0.5274747842997962,-0.8636964521458941,2.0381924100337088,0.7049177497122949,-0.47213635818032157,0.2416501246735216,-1.3220659599530304,-0.235210772243522,-0.557043061102834,-0.37488078413524806,-0.06526560428941089,0.000880996437956204
American Samoa,0.8743173234687991,1.715771997929253,0.44835600380778945,0.5768148015027375,0.0290625350641589,0.5189115133521792,0.06283128834394858,0.10849428652852325,0.01562653786826668,0.2884332698130327,0.05523951689532222,-0.1658409251081551,0.36440980370728077,0.3758826413511905,-1.0685624947962624,0.8439350263649595,-0.38469058271166234,0.715683408474371,0.08784063136322089,-0.1723847048863314,-0.8970553685271347,-0.03702732910090926,-0.00551335400982517
Antigua and Barbuda,-0.3085644076869613,-0.07087502051167986,0.2964352136155568,0.22420163397005816,-0.1599611502282245,-1.2217767658950656,-0.19733007904925717,0.7934370055267078,0.18080554510315325,0.30960078150010106,0.12290736214855875,-0.0726136463238994,-0.8302018035262074,-0.35079516578996484,-0.4935462476258295,0.02999060185663799,-0.030240908069866682,0.15191532475857566,0.02127483209325722,-0.008966634005982082,0.06634105770066993,0.1082076819243744,0.05891133116318493
Australia,2.287773643419159,-1.3756386772741072,0.45974911425922194,-0.7803932865603399,-0.7491126875342966,-0.9179040953522211,-0.39789967464990766,-0.9250892511534295,-0.2013193847347729,-0.5162604354034226,-0.08034701857822944,-0.7651255218581045,0.8762311903591319,0.3382700126569154,0.15406569999972838,-0.26760499858786296,0.1560096189229696,0.24712641058701643,0.046080177082514225,0.05222870731201156,0.0643714575635337,0.044354767087237824,-0.03018387461129104
