Country,Comp1,Comp2,Comp3,Comp4,Comp5,Comp6,Comp7,Comp8,Comp9,Comp10,Comp11,Comp12,Comp13,Comp14,Comp15,Comp16,Comp17,Comp18,Comp19,Comp20,Comp21,Comp22,Comp23
Aruba,0.11771072628132223,-0.6286931041178514,1.1900443200912325,-0.7493300847843222,-0.673579581927641,-0.08383432508254421,-0.7804055815853732,-0.6549346746685153,0.4046129940450862,-0.7966093580322344,0.924367175405528,-0.8054658464847502,-1.1377763634647033,0.618213655226718,-0.06362645727181832,-0.10127441959558688,-0.020760362558723017,0.16618113031559675,-0.013551079016879948,0.22372558057061104,0.1444618902320763,0.15909986728325476,-0.15123763493348066
Angola,-2.6657921300843914,0.6709312082955241,0.007356772861332018,0.6950335432892121,0.10653766467683633,0.10587605113250878,0.5567123839574465,-0.013105608715175528,0.14144501932765907,0.1352055048473983,0.2763868609546312,0.7476906325571512,-0.08910806222401076,-0.1461608439479659,-0.042060024103689926,-0.028880008297470852,0.04080889707685294,-0.021093541604672257,-0.2654866821872947,-0.00045165687517578903,-0.24032137711582682,0.1614453381942729,0.008066697404437825
Albania,1.30884672628238,1.3123617506103828,-1.6127254946407745,-0.61107566575759,-1.6013850101715776,0.5756598257391421,-0.6149679580071244,-0.6449713517484154,0.35983824452020874,0.8706139447775992,-0.6395990637044437,-1.4193659278026212,0.155737453924812,0.23730310831218607,-0.5512244823847741,-0.3475726947467323,-0.021850355336825073,-0.09462220858307228,0.10251204173781882,0.013228594292823987,-0.12603499421692663,0.017846087903080867,0.05067438046883634
Andorra,2.2336353538502736,-0.776519263529756,1.541552388472091,-0.1529193592216399,-0.09708858750227777,1.443956721086311,-0.3267278732878449,0.19772033771718758,1.2247630047359375,0.2217770994522325,0.46333497114184297,-0.3525836521085618,-0.36508509040685533,0.5440954600304345,-0.216004037829376,0.5154948646738836,-0.3177331724663024,-0.18986947623507713,0.07121226718944129,-0.18891856813561034,0.19141117284422043,0.5003586256954662,0.06733757752393162
United Arab Emirates,1.516742017000717,-0.755626087012509,-0.028439171048948397,0.9779980922784292,0.9642401538120908,2.467858152749082,0.3729004675657627,0.01827290270223408,-0.046973261818500416,0.3755223966711362,0.696853552883012,0.018360607664343553,-1.293319652853837,0.2699192096565568,-0.3849152260731011,-0.5155373188490703,0.6401667009181145,-0.2097056008196949,0.20986724730567072,0.17801177301710303,-0.027752526939169363,-0.11743490981918014,-0.04623845053410442
Argentina,-0.36726608062077104,-0.3719791886410825,0.8800777436824769,-1.5258534490742193,-0.17731825521884528,0.2632233787587562,-0.735323385629935,0.5344440400755839,0.08060025617181234,-0.7583335438666852,-1.2077735059832773,-0.42889112867686113,0.37220847519486316,-0.28869454940938816,-0.1978042319521918,-0.2629749430694229,-0.040385910496432975,-0.07904750894758213,-0.3257372421394777,-0.05278244561865141,0.08343306038387835,-0.026783239624822455,-0.020170861498541737
Armenia,9.570162785668629,8.17135868570534,-6.972772310719369,-1.689302608618537,2.1227009266521626,1.836955358597213,1.8461994626717932,0.7669588958695054,0.27965100909604784,0.002410684976549241,1.384467703152387,0.5274747842997969,-0.8636964521458715,-2.0381924100337168,0.7049177497122984,-0.4721363581803242,0.24165012467353744,1.3220659599530287,-0.23521077224352516,-0.5570430611028201,0.37488078413527687,-0.06526560428938909,0.000880996437957873
American Samoa,0.8743173234687979,1.7157719979292532,0.44835600380778734,0.5768148015027378,0.029062535064154394,-0.5189115133521818,0.06283128834393753,-0.10849428652852465,-0.015626537868265743,0.28843326981303224,0.055239516895321604,-0.1658409251081589,0.3644098037072844,-0.3758826413511891,-1.0685624947962613,0.8439350263649611,-0.3846905827116718,-0.7156834084743648,0.08784063136323145,-0.17238470488625648,0.8970553685271392,-0.03702732910089626,-0.005513354009825357
Antigua and Barbuda,-0.30856440768696086,-0.07087502051168036,0.29643521361555697,0.22420163397005777,-0.15996115022821641,1.2217767658950716,-0.1973300790492313,-0.7934370055267094,-0.18080554510315267,0.3096007815001003,0.1229073621485607,-0.07261364632388803,-0.8302018035262102,0.35079516578996023,-0.49354624762583066,0.029990601856638197,-0.030240908069868178,-0.15191532475857494,0.021274832093259616,-0.008966634005984851,-0.06634105770067147,0.10820768192437281,0.05891133116318633
Australia,2.2877736434191607,-1.3756386772741043,0.45974911425922355,-0.7803932865603391,-0.7491126875342895,0.9179040953522359,-0.39789967464988385,0.9250892511534339,0.2013193847347712,-0.5162604354034226,-0.08034701857824018,-0.7651255218581148,0.8762311903591216,-0.33827001265690965,0.15406569999972822,-0.26760499858786324,0.1560096189229676,-0.2471264105870178,0.04608017708251841,0.052228707312009535,-0.06437145756353634,0.04435476708723918,-0.030183874611291177
Austria,2.2169416296065902,-2.9620199830424054,0.9079349085131587,-0.21283946456125502,-1.5506472213722582,-0.16303327560379,0.07606862362447434,0.5940015204412812,-0.8553997723653732,0.030117333855133183,-0.18945390734580178,1.1050335427504516,-0.06194328940179605,-0.8664190575429987,-0.22296162438888512,-0.3122910645076378,0.21785240549605292,0.1879631996558506,-0.11135790416982605,0.17806250444756555,0.03446929306903918,0.039636355412375125,-0.03378294601723669
Azerbaijan,-0.295563396684137,-0.6349089793650045,-0.2640947238337415,0.8235188987052063,-1.7559824058733324,1.2216739445645235,-0.19737881864011736,-0.12630915677812046,0.45210539550127754,-0.11370927470387025,-0.25679161842022286,0.10675249346752837,-1.07392105250667,0.6592131825525334,0.07211249556545339,0.2011723966401511,-0.4268078691402922,0.19285115440667072,0.021374875080812962,-0.004300017914582691,0.19359563145858366,-0.15847406317090815,0.06116225100130597
Burundi,-2.171097680824301,0.4555526081882102,-1.1288800941098052,1.6750331681772712,-1.3199498709363482,-1.168028923336035,0.295200352147796,-0.7105316081479934,-0.9437275109205241,0.2315537535700613,0.7519438428523219,0.17238572799175236,0.0034394029616935436,0.04594642163619467,0.378388359034435,0.1516834347705512,0.08263620122949929,0.09528214278894344,0.3539133064289426,-0.012355128878748756,-0.07482665068043876,-0.010395028983702969,0.025337947830565272
Belgium,2.728641412449054,-2.8865449306283875,0.6182174927708646,-0.35087467273133904,-1.85718969495989,-0.5462952616635525,-0.06190076408735747,0.3238826047719349,-0.8358337701563242,0.34830302058894186,0.018401284763331062,0.67116669087864,-0.05524649349587262,-0.2701776617179324,0.12703180941996897,0.3761807044405808,0.6686344907436085,0.19397917318727287,0.14000043437740728,0.03404354201777304,0.07775821493023302,-0.03456172711197974,0.021742171229591753
Benin,-2.9267660920957055,0.865139400029862,-0.1082323668279583,1.0632824571608532,-0.30150948847152376,0.007652197685903579,0.6370757495750697,0.3699275068348809,-0.5201571272851678,-0.7749201293105044,0.23564214039970416,0.5988246604323462,0.16982902335661265,-0.4839248964676013,-0.12358910499459806,0.19718260364040308,-0.13987859332891228,0.08620394060431945,0.01628656643203987,-0.002369108799374039,-0.10509290170927989,0.05223876332714129,0.004793177932263517
Burkina Faso,-2.6758014910167307,0.6442135130665844,-0.5650479674580596,1.4406464803482086,-1.8376649712953528,-0.764050521756667,0.25386496430795064,-0.2996203130331802,0.6008386607289147,-0.8008810506869263,0.5129166782569794,0.38641877580908096,-0.054185352164995586,-0.3390309078573677,0.023830515615925578,-0.060601441347226,-0.17184747702634856,0.03901427062029443,0.1255853964930334,0.009565979516103308,0.022820108510684986,-0.03114879775188259,0.026852111483852286
Bangladesh,-0.94949443808998,1.4630520928862554,-1.6160108300896958,1.8431883692221047,-1.3519463091396031,0.5111774542989383,0.3202908857586235,-1.133526791224676,-0.0047568117831813675,-0.05739656858582311,0.4563020667912521,0.28066882118081027,0.09631284976066495,-0.6428092718603808,-0.8096412851790068,0.3039802945632889,-0.3364479222327662,0.4411015385665452,0.10255848704914342,0.35338466081300224,-0.07385634571008397,0.09571287437534463,-0.17238979775825064
Bulgaria,2.835906826747995,0.8884708578075532,-1.5461834289466347,-0.50129309042827,1.2847554683452758,-0.18061275657568485,-1.2026030335770006,-1.0129233890522997,0.3421818156437487,-0.2999143841725555,-0.6930940951458116,-0.00876088665184699,0.20320415794007668,-0.534900187428979,-0.14090750491185525,0.0973372297582448,0.2298080142769759,-0.11338328003671978,-0.3533836837297063,-0.09375678782125452,-0.11794182792951333,-0.05074620071894596,-0.012520357612018695
Bahrain,0.5483637287131029,-1.1385573881356252,0.571894837369324,0.05452354286109378,-0.11705115729482742,1.9054268017713019,-0.31210715751961216,-0.15858069183726287,-0.18556511383581642,-0.5129162519779507,-0.2573832352164027,-0.21739255186337153,-1.2315759022837958,0.5245928895246413,0.013743683481893552,-0.16089356374090874,-0.10088049563532323,0.05668160462738634,0.016541173656355757,-0.03250346317780138,-0.10640623790567985,0.002526006162677265,0.030932856007414532
"Bahamas, The",-0.20715281806451616,-0.6440754918762968,0.7067676618122251,-1.0474072119768465,-0.6784030531136839,1.2240966010903092,-0.5211158700747306,-1.097102098102572,0.25273397259564306,0.7537984002827974,-0.3552613327380305,-0.1823710215012803,-0.46935310145346226,0.5630436600985067,0.18730036487115884,-0.05601127923329416,0.021006676946456384,0.08293705889491942,0.10700686629429182,0.01723659657419588,-0.01585562140526634,0.010626903147684804,0.06873724017375003
