Indicativ,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,C14,C15,C16,C17,C18,C19,C20,C21,C22,C23,C24,C25,C26,C27,C28,C29,C30,C31
ab,0.07434784382650582,-1.013125473864806,-0.574181648204964,0.6416507393639261,-0.9019396213903724,-0.21491794611800732,-0.814473534457249,1.923909487756508,-1.0254642390002413,-0.5628113378208707,0.005940739456499388,-0.026745274317475157,-1.3647153472626812,0.0087089328174087,-0.7588487427223234,-0.658944868678635,0.5162874346776509,-1.5093166886586356,-1.01289329511578,1.1250055705247857,0.1444076118008839,-2.0399518473055407,0.21110080691974384,0.9266214885604501,1.700243962789486,0.06074216048630921,2.034129909081823,1.0032088085686246,0.5063643498058841,0.6832069696026176,-1.4418176192188208
ar,-0.04208094742005187,0.5442843889943576,-0.9114634869613736,0.467993037333197,-0.9854800247310321,0.002584155688753957,0.17382390936833558,1.2681280926857363,-1.3507534225267759,-0.3354430004519689,-0.23156915020692093,-0.025053901213864336,-1.4501611607902343,-0.4443629658746427,1.1006318808886382,-0.5293674716001124,1.5113062389046534,2.0954486094849494,0.10371427908245603,1.4187726636964961,-0.0846986940087919,0.1993440477986817,-1.396047155789861,0.030084152130658733,0.3061417228225428,-0.12963181303899107,-2.200175323566539,-0.3473022167733982,-0.7695849806202267,1.2433394956076136,-0.020899990588969318
ag,-0.443135410816316,0.6524248246139511,-1.067003185048161,0.2980853281288039,0.48223963428502264,0.312289165586766,-1.429599518466488,0.3231564131597469,1.1021622202613706,-1.056723328649141,1.5239492950830293,0.5212757431234936,-1.4328002275644012,0.6826822505211434,-1.5352549442078525,0.002488730357663593,1.9087306609819399,0.4412945754321646,-1.0380148859924319,-2.327810572190497,1.0527635584114965,1.2205631058490822,-1.033410484921646,0.26255655582584175,0.5393001953265126,-0.8016381215662904,-0.9033084236421497,0.8379235366331805,1.3301779799815112,0.5565317879414879,0.531162092916586
bc,0.48040823656830184,0.35029245813034554,0.8570606837636454,-0.5838838386860596,0.7011676151592499,-0.16023902501328008,-0.6584572931700357,-0.7157923519312427,0.5740325218944277,0.30994943092316185,-0.2060188859692092,-0.44321086269707555,-1.4365205958242955,1.3270190280037253,-0.18526768875351565,-0.49128266037800655,0.4371936941886627,-0.6554717606242638,1.1857252566541967,-0.8067912060748118,-0.9730493674785172,-0.7351762724205055,1.8364031493905284,0.4100525826975276,-1.5564168661820676,1.8760664909653368,-0.24542514823320896,1.3526237054460961,1.8300605837199235,1.3218556065731624,-1.1916300554503638
bh,-0.20527059381304613,-0.25816753616169597,-0.5636671690689826,-0.5601632242725938,-0.08999956094852109,0.9814735942247237,0.4472932164403523,-0.8710283888830103,-0.7014886759790423,-0.5381504450836875,0.9509703936644344,0.35101069593526424,0.6610820766314701,-0.9645198400267783,-0.6638362252146249,0.07435273130335601,-0.09655402842150539,0.05005469397592229,1.3250015085830587,0.46029988327284466,-0.24398908681855244,2.071711582330956,-0.4994235536388219,2.9612637819647927,0.4651423337466603,-0.49267497760759765,0.2404353278890584,0.4402808037843502,-1.4708149821483745,-0.1809289310194675,-1.6261298688218722
bn,0.12362642777410579,-0.6126673894385672,-0.5104723215166151,-1.2635016580476446,-1.9919325825910221,0.21743217382655977,-0.4083083906191941,-0.33588479812771604,1.2577092534405396,-1.9069182025390186,-0.4503683920384943,-0.10886701657200193,1.5451589862740054,0.08316931668138844,-1.9235531087168964,0.3114696765444412,0.39333682536838305,0.36764316723980844,3.067641287834823,0.44776301505144606,0.2406966404121477,0.4457052676876044,1.4368646730788248,-0.4602284999367908,0.7244733259400653,0.09372781664980348,0.25244858989056285,0.6434007721706654,-0.9146724723182599,-0.4017570948629276,0.33047749925822545
bt,0.8762104332694919,0.5224489433138905,1.0447721206036227,-0.7600661468071298,-1.1875580554841934,-0.11288565432105162,0.8019084303669372,0.06284736678010533,-0.8585608156308107,-1.0128320011654317,0.5827697634575454,1.3690635399064697,0.40818559414349675,-0.16100529938695585,-0.1396615156694596,0.9928929769996521,-1.0781982034194089,0.35839575998547357,-2.4715346979814687,1.6372924071773043,2.722101614337862,-0.14869865891866937,0.4099087904155939,0.9025435776918723,-0.7314126374443451,-0.5347125935591178,0.10946131216795948,1.2234892820602061,0.4970835585238286,-0.712072237265764,0.022495079525895908
br,0.46845319183734957,-0.415236526471172,0.02929107969231212,2.9952254751769383,0.5174006407806216,-0.3684361936492287,1.9485902509958746,-1.0455805603434498,0.8584594513978923,-1.5025241311226798,-2.856581756905877,0.8695799598962632,-0.6547994472733808,-1.246265954938343,-0.055906506574313106,-0.9311664940918738,-1.3391785652708954,0.04551825598944136,0.2818450330817893,-1.4066679519408452,-0.29816455407954257,0.15225785081076398,-1.01401153707609,1.1355454344750189,1.410589044116776,0.4090373640123825,0.21781807712122794,0.2526560915524695,0.9129201496095658,-0.5635732906317709,0.8296806177279197
bv,-1.7832966641413326,-1.7062575131088547,-0.5695517789109795,-1.2066965956212565,3.3081444843706285,-0.2386432901642753,1.4444433914813157,1.754154403309283,0.24830069693085335,0.33474011367588846,-0.14659768908860157,1.8222079487571514,1.0697166197546364,0.034337333532392565,-0.029821173244429323,0.5584147493411836,0.1392821014981487,0.22172696676121184,-0.12665889237817687,1.324397737412163,-0.8742952329874022,0.40291702565453724,1.1759844930072958,0.6460657128632852,0.20052477201201652,-0.010708233944126386,0.023712466179837306,-0.10841148151808865,0.9012939261165752,0.7677760324389687,0.7578529458568944
bz,0.8014067893053358,-0.3078388927578439,0.05132383847490928,0.9555401769061085,1.1301811027633553,1.130371809310748,-1.0444480775750093,1.3860965975457586,0.4899742735071428,0.02727963720508381,-0.9021671149793025,-0.7156076868420923,0.43876703329772987,1.7576499905527676,-0.9015473902703266,0.8897980053881999,-0.9699908053715166,-1.6867904510057874,0.3415628618151477,0.9913783471101439,1.2725791686605106,-0.01918804023024255,-0.585602975724281,-1.5446830524758304,1.585954680076566,0.20456629745675434,-0.4651596730876462,-0.5399239502604907,-0.2186498393505538,-0.8484578626601408,-0.9864334288595453
