,Cluster
ALB,c1
AUT,c2
BLR,c3
BEL,c2
BIH,c1
BGR,c1
HRV,c1
CZE,c3
CYP,c1
DNK,c2
GBR,c2
EST,c3
FIN,c3
FRA,c2
DEU,c2
GRC,c1
HUN,c3
ISL,c2
IRL,c2
ITA,c2
LVA,c3
LTU,c3
MKD,c1
MLT,c2
MDA,c3
MNE,c1
NLD,c2
NOR,c2
POL,c3
PRT,c2
ROU,c1
RUS,c3
SRB,c1
SVK,c3
SVN,c3
ESP,c2
SWE,c2
CHE,c2
UKR,c3
