,Cluster
ALB,c2
AUT,c1
BLR,c2
BEL,c1
BIH,c2
BGR,c2
HRV,c2
CZE,c2
CYP,c2
DNK,c1
GBR,c1
EST,c2
FIN,c2
FRA,c1
DEU,c1
GRC,c2
HUN,c2
ISL,c1
IRL,c1
ITA,c1
LVA,c2
LTU,c2
MKD,c2
MLT,c1
MDA,c2
MNE,c2
NLD,c1
NOR,c1
POL,c2
PRT,c1
ROU,c2
RUS,c2
SRB,c2
SVK,c2
SVN,c2
ESP,c1
SWE,c1
CHE,c1
UKR,c2
