,Cluster
ALB,c3
AUT,c4
BLR,c1
BEL,c4
BIH,c3
BGR,c3
HRV,c3
CZE,c1
CYP,c3
DNK,c4
GBR,c4
EST,c2
FIN,c2
FRA,c4
DEU,c4
GRC,c3
HUN,c1
ISL,c4
IRL,c4
ITA,c4
LVA,c2
LTU,c2
MKD,c3
MLT,c4
MDA,c1
MNE,c3
NLD,c4
NOR,c4
POL,c1
PRT,c4
ROU,c3
RUS,c1
SRB,c3
SVK,c1
SVN,c1
ESP,c4
SWE,c4
CHE,c4
UKR,c1
