,C1,C2,C3,C4,C5,C6,C7,C8,C9
Fasole uscata,-0.6423235920320165,0.3400954169979242,-0.3420132812431782,0.12134819640895793,0.1607649141288662,-0.4114642540048182,0.35981034066067763,-0.034721585677741286,-0.19809033656574343
Ceapa uscata,-0.020265224125450752,0.6932180403408229,0.1744846834606206,-0.603707755698207,-0.07782998243385125,0.15869382745816332,-0.2060487377460568,-0.1333582840184117,-0.24010072657658132
Usturoi uscat,0.3201910317420135,0.5776237737473219,-0.4904533487115889,0.07732828184614439,0.3910385201897829,-0.023438612342170123,-0.2556919038952477,0.3474108460801885,0.05264209575737032
Morcovi,-0.5176409062490634,0.6939943765849751,0.31206824744967615,-0.1407364025268569,-0.16197211650099066,-0.07361907223508857,0.11626793929006889,0.0538748526452171,0.3318898968162447
Mere,-0.013089033665496696,0.1961201359181579,0.6750960583674254,0.33778519563289067,0.545773770510391,0.298778331074422,0.1556909370921051,0.013628938945918068,-0.07035003558639816
Lapte dulce,0.7389232689735862,0.09673459789087713,0.0687951681285063,-0.20337970024744154,0.33040666282999087,-0.4238897703582323,0.055051236895195456,-0.34287916399332996,0.11870502292847335
Branza din lapte de oaie,0.7218505411076909,0.19315733123079215,-0.13687467798815192,-0.19711859610969892,-0.20319790992576323,0.23470830755500965,0.5330810534364627,0.16739594971564625,-0.02138760248474144
Oua,-0.43596176303827744,-0.2583149952958603,-0.48739538252881787,-0.3849376885233986,0.37184011113009063,0.42882466082674375,0.10880243956610193,-0.1823732612322025,0.12339281247825087
Miere,0.16095007629880118,0.5332762163896198,-0.33084705862712105,0.6043807125460435,-0.22105919194044277,0.26703267455472873,-0.0436010785636488,-0.3427018062483311,0.021366571875358613
