Judet,C1,C2,C3,C4,C5,C6,C7,C8,C9
ALBA IULIA,-1.500187388906728,0.567049531064974,0.421794761024836,-1.1069261095669898,0.1511638476033042,-1.2335649945845266,-0.49185879148293127,0.9116717456219791,0.6796279214714847
ALEXANDRIA,-0.4334697916698192,-0.201410906163981,1.240300066841576,-0.09877548672290305,-0.048101247392075545,-0.5529348763525189,-0.1539493547168959,0.22002463674638165,-0.7068480072922103
ARAD,-0.3841311071590225,2.3678349210765655,2.0108474869242015,2.137457807096354,0.4964602857372026,0.8940416975135748,1.2395242353949136,-0.05691876661084543,1.0917413339814794
BACAU,-0.6348894802134036,-2.6045515052780335,-1.1982578181324415,-0.9649031829202581,0.6831529603277583,0.6809233637587775,-0.15181454144791043,-0.24104224225270623,0.7317810680077816
BAIA MARE,-3.6394611170466593,0.5635601267617272,-2.0452345365606126,0.5166135996274503,0.5499966209283157,-0.25097081805256394,0.18620498439488645,0.28626464839348853,-0.3769400157518115
BISTRITA,-0.21760188724940369,1.6194857384341794,-1.1617313794499482,1.1585507881791182,-0.9067107428717482,-0.604278743685473,-0.7177730852457622,-0.49771246274190406,-0.292568739461556
BOTOSANI,-0.8000286288978811,-2.3008685727093288,-1.7693389806986055,0.164314668524655,-0.9829199832724878,2.464096892125281,0.5457076039558904,-0.08309578734124194,0.0394982151827619
BRAILA,0.41585682237011096,-1.2609644910111568,0.23146474528067218,-0.47185354213814784,-0.9372049059035457,0.4272645004403841,-0.36413798614383225,-0.3316633246235546,-0.09335921088119989
BRASOV,-0.24093857124866258,0.3247969404234512,2.0051131344062187,-1.6102757352847297,0.22655228898080856,0.9383846972786937,0.3416894982096651,-0.10406192476947998,-0.9576111203486608
BUCURESTI,-0.3166729628774927,1.5484849561229623,0.4253859467662988,0.05722737648062172,-0.12848267826075727,0.913078978636525,1.0016530037659486,0.9463152896744293,-0.9749147831233748
BUZAU,1.5739263437735884,-0.4678743678270972,-1.0628519097602658,0.6428955371674079,-1.377696286561595,0.6173761819625734,0.28486341716139646,0.09878565167023415,0.1822706691777328
CALARASI,2.0915636436203635,0.573377563526919,-0.7525270607149214,1.222090368660436,0.46213991517624353,0.7932076194049589,-1.4403099580443335,1.401492554295669,0.08134696860096127
CLUJ-NAPOCA,0.6447007998601177,0.7525875982716996,-0.5833230698430223,1.6341372668909369,-0.1528551153109695,-1.3978174102877863,1.492253513301673,-1.7635816335019054,0.437944741431922
CONSTANTA,0.023561811579270488,0.5974912560680674,2.6292072516470744,1.0402047905290932,1.2004750795362495,0.9097799844338825,-0.2243318473380254,0.1624550136131328,-0.4003132363374573
CRAIOVA,-0.12780036195248615,-2.9088469460890143,1.3304091391019008,-0.5136312631180415,0.2617620893063695,0.5205580815005784,1.5180403974968613,-0.5164036421691165,0.8077252967118248
DEVA,0.21008393081944965,2.1192760646340454,-0.7906717888354915,0.022865153182185103,-0.0035985821468233693,0.30214001436243515,-0.0018509633871317806,-0.5566302062913262,-0.11282119391260848
DROBETA-TURNU SEVERIN,-1.538203306063915,-1.4919540009979464,-0.4631767189060935,-0.24670498864320403,1.5083429809302233,-0.5734035451910692,0.6155186745211296,0.028361183487408625,-0.6663193199525714
FOCSANI,0.22951518536152585,-2.071055088775899,1.0804700160008096,0.7883099832216068,-1.053356811260931,-0.1143940080978913,-0.14873288954981048,-0.8137753279684068,-0.668872713863738
GALATI,2.289262821196816,0.011607628586340485,0.9151869899948616,-0.6590419914477931,1.4665353096085803,-0.5760314966386589,0.7837658821014435,0.6151516679856659,-0.5188764251364189
GIURGIU,-1.59025490837791,0.3601037424760922,-0.5518606180480451,-0.24354388884320613,0.8788453502998683,-0.49970713128098176,-0.07786180331538416,0.014290612161390654,0.18991000619042214
IASI,-0.013687703967897903,0.22306340828759963,-0.08828279736546148,-1.3122041322695,2.2022923191835027,-0.22829638799308852,-0.33238630104781614,-0.02187007389232656,0.669599599141348
MIERCUREA CIUC,0.09099153971807852,2.3844427111426914,-0.24435033466774508,-0.9264545783646542,-0.27606361892162384,1.4994488110414386,-0.6477346732962123,-0.6100212895553622,-0.08374008198119524
ORADEA,-2.2403637083570143,-0.7917721472954293,0.14562829591320992,1.175011300685662,-1.0192987065930723,0.08276663419717643,-0.8237500964761395,0.793049276995103,0.6039412292371791
PIATRA NEAMT,-0.6639424125508463,-0.5495345857416327,-1.502491399940878,-0.6201534181015989,1.025626781637102,0.8865000426001999,0.0660453280198271,-0.43718621178948935,-0.05281381104270116
PITESTI,2.419611011618432,-0.3203911160079308,0.332619363383566,-1.8739670255659548,-0.0027776690181676496,-0.5276906466991086,0.1827177590242948,0.33410395410618565,0.3417862904643463
PLOIESTI,1.4591334687747184,-0.6892993736145078,0.488538312113168,0.15934491821835467,-1.0669539830189627,0.5218596517506895,0.16750444008461654,0.5368547837251632,0.040876845868260875
RAMNICU VALCEA,0.8921525263653868,1.0947416065421596,-0.8599703450078976,-1.6520222330496457,-0.3134673118880276,-0.18359657500046936,-0.481144140924281,-0.9757624014225725,0.23302404931282722
RESITA,0.9215892534836443,-0.7366641907396819,-0.75425937262235,-0.09755504087790359,-0.4038786076235969,0.21050390446781186,0.8980722378988496,0.6342691262065526,-0.3151325373998126
SATU MARE,-0.3900299138852199,-0.036246233251188475,-0.37097775130723365,0.2595514587311805,-0.8184869885417735,-1.6429994927551315,1.7753221471701757,1.0519556960496077,0.02580240363848114
SFANTU GHEORGHE,-2.97818311461136,1.6558536903247985,1.4362666469683194,-1.3337470686568613,-1.5791545900461013,0.6461807726902304,0.1245716631816549,0.7690439533383544,0.7463275178954849
SIBIU,-0.0956802943608707,-0.6726927178395633,2.7092090639422772,-0.6340399544027959,-0.5786850069629935,-0.6224078253659372,-1.29456913540555,-1.2854453523626441,0.2554463616101172
SLATINA,0.22953565820719252,-1.309021671031627,0.3672379030525519,0.2830257911725275,0.36992147652074453,-0.31717482247843426,-1.3906537423954042,-0.32245593338028494,-0.09176459121512573
SLOBOZIA,-0.11397848779424655,-0.7343463435642598,-0.35593482622463696,0.2975497280650481,0.23606821112680954,-0.744659436773771,-1.1309840931562956,0.828572650614188,0.2842392113845201
SUCEAVA,-1.0586236740851342,0.5398576418620613,-1.182144638301607,0.30150381195726833,1.2004902196361669,0.7889607795067415,-0.008168100789704372,-0.9688944940480121,-0.451360242831981
TARGOVISTE,1.7464835273569537,1.306280313697644,-0.5681013417961519,-1.5404054500799953,-0.4193822953329508,-1.1926581479573244,0.5389371342219722,-0.1448023226454868,-0.052760271889981225
TARGU JIU,-1.3095992439800594,-0.9658220968723973,0.3618647997711202,1.2258214498902686,1.3275075847029918,-0.9450454107428785,-0.5176834327713543,0.11521287298727759,-0.2782341107534548
TARGU MURES,-0.6971777944942829,-1.1262701960781418,-0.17375727686135573,0.9460250727803987,-1.2255013861085098,-1.8802106870473403,-0.1550589550381907,-0.12361154055996548,-0.30796395329851417
