Judet,Fasole uscata,Ceapa uscata,Usturoi uscat,Morcovi,Mere,Lapte dulce,Branza din lapte de oaie,Oua,Miere
ALBA IULIA,0.6071449643929167,0.3939841704362157,0.45802030280221323,1.6230225212500937,-0.5168174136772987,-0.18996269094820334,-1.0220755500547969,-0.11837386834170593,-1.5248380771331715
ALEXANDRIA,0.20914732058302465,0.3939841704362157,-0.6342530688529006,-0.020691920589643836,0.5321684259647417,-0.18996269094820334,-0.5344100368202265,-0.8688886006112841,-0.8335691567167623
ARAD,0.23326838990483684,-0.4399364350568811,0.07210668253289824,2.365345172403523,2.9098696624866993,-0.18996269094820334,0.4409209896489145,-0.8688886006112841,1.6861060582010492
BACAU,-0.6712717096630995,-1.150313247143593,-0.5308833491379059,-1.0281298042978695,-0.8897901566611356,-0.18996269094820334,-0.5344100368202265,2.3833419058902208,-1.0927950018729158
BAIA MARE,2.8745254806432112,-0.2855066932989008,0.6303031689938715,0.6951192073083063,-0.5867498029867676,-1.960069583874659,-1.5682609248775157,1.632827173620643,0.31739359577655857
BISTRITA,0.9086583309155621,0.3939841704362157,0.8025860351855298,0.29744635847611206,-0.9364117495341152,-0.18996269094820334,-0.5344100368202265,-0.8688886006112841,1.9315065249488748
BOTOSANI,-0.743634917628535,-1.150313247143593,-1.0925254929227117,-1.3197565601081458,-0.9597225459706045,-2.1567481275331533,0.6847537462661998,2.2832732749209437,0.6077265423514516
BRAILA,-1.1054509574557092,0.023352790217061232,-1.0477319477128801,-0.6834800019766346,-0.6799929887327268,-0.18996269094820334,0.07517185472298665,0.03172907811220984,-0.24253422976073208
BRASOV,-0.4421215511058895,1.9382815880160245,-1.0925254929227117,0.29744635847611206,1.3713570976783735,-0.18996269094820334,0.4409209896489145,0.13179770908148647,-1.179203616924967
BUCURESTI,0.7759924496455978,1.0117031374681398,0.3856614990017164,0.5360500677754283,1.0916275404404958,-1.1733554092406782,1.2553223967506482,-0.3685454457648989,0.19987787930576903
BUZAU,-0.9004218682203105,-0.7487959185728432,0.027313137323067425,-0.8160376182540323,-1.0762765281530535,-0.18996269094820334,1.4162520161180556,-0.3685454457648989,1.1261782326637586
CALARASI,-1.5034486012656012,-0.37816453835368874,2.525414697102113,-1.0281298042978695,0.2757496651633534,-0.18996269094820334,0.4409209896489145,-0.8688886006112841,0.8669523875076051
CLUJ-NAPOCA,1.511685063960853,-1.150313247143593,-0.5756768943477367,0.29744635847611206,-0.07391228138399308,1.7768227456367465,0.4409209896489145,-0.6187170231880913,1.9315065249488748
CONSTANTA,-0.6953927789849116,0.3939841704362157,-0.18631761675458924,0.29744635847611206,3.0031128482326586,-0.18996269094820334,-0.5344100368202265,-0.8688886006112841,-0.02824086443164609
CRAIOVA,-0.9004218682203105,-1.6136024724175355,-2.4707884224559784,-0.3653417229108788,0.7186547974566591,0.3214015225638832,0.4409209896489145,1.1324840187742578,-1.5248380771331715
DEVA,0.6071449643929167,1.16613287922612,0.9748689013771882,0.642096160797347,-0.050601484947502766,0.3214015225638832,0.4409209896489145,0.13179770908148647,1.4718126928719633
DROBETA-TURNU SEVERIN,1.511685063960853,-0.7487959185728432,-0.4033940281560784,-0.8690606647649917,0.3689928509093126,-0.18996269094820334,-0.9001591717461543,1.2825869652281734,-1.3796716038457257
