MacroRegiune,Romanian,Hungarians,Romany,Ukrainians,Germans,Turks,Russians_Lippovans,Tatars,Serbs,Slovaks,Bulgarians,Croats,Greeks,Italians,Jews,Czechs,Poles,Chinese,Armenians,Csango,Macedonians,Another
1,69.94434306840822,23.927932477184015,4.781165905177489,0.690695975180086,0.3672915426032261,0.006970930793534206,0.006333345659979249,0.0005100681068439663,0.0017852383739538822,0.156378380423246,0.0016789741850280558,6.375851335549579e-05,0.00480314133944735,0.013601816182505768,0.013304276453513455,0.0008076078358362801,0.002337812156368179,0.0013601816182505768,0.0024440763452940055,0.0046118657993808624,0.00027628689120714843,0.07130327076922946
2,96.1112335234239,0.09699054783024781,2.272523986753291,0.14256792428956014,0.022197836719912385,0.4180138081088825,0.38641688737243063,0.3587286766235145,0.000781741997507152,0.00021816055744385639,0.0010544426943119726,7.27201858146188e-05,0.037232735137084826,0.008526441786764054,0.009871765224334502,0.0,0.03566925114207052,0.0010908027872192818,0.00812648076478365,0.015834820461133242,0.01087166777928551,0.06197577836050887
3,96.17897586972056,0.08901447064981763,3.235092175564048,0.007057975772548433,0.03051124937367963,0.07401877141635779,0.029271604903713614,0.008877453946208227,0.013975991685584574,0.0006598107662722331,0.03876888108490485,0.00021993692209074437,0.019034540893671695,0.013756054763493829,0.029711478747895103,0.000799770625784525,0.003718933409898041,0.03441013117437919,0.013796043294783056,0.0023393290804197358,0.007897734929622185,0.16809179127426255
4,92.7245310930265,2.486031442836146,2.984833593273633,0.2658226572625195,0.4213511067683334,0.008714604069665633,0.004330068897115112,0.0003812639280478715,0.46348077081762323,0.1652506796710346,0.1382081739173534,0.14466242755644954,0.00645425363909611,0.021459712521551624,0.012500010212426645,0.06299024754105191,0.003976038106784946,0.0034041422147131385,0.0009531598201196787,0.00511982989092856,0.004901964789186919,0.07064275923972704
