,Dispersie,Proportie,Cumulat
F1,3.98834316092482,0.17340622438803566,0.17340622438803566
F2,3.839497454293603,0.16693467192580883,0.34034089631384445
F3,3.2140004422131674,0.13973914966144205,0.48008004597528653
F4,1.93325880091258,0.08405473047446,0.5641347764497465
F5,1.8974159389565894,0.08249634517202563,0.6466311216217722
F6,0.9181974964950348,0.03992163028239282,0.686552751904165
F7,0.7228768648972768,0.03142942890857725,0.7179821808127422
