,0,1,2,3,4,5,6
0,-1.9503308733711382,-0.3222383002628906,-5.312520635831351,-5.415427304025451,-11.221267122609419,-12.34450184594509,-7.790856704641037
1,-2.4999731396407983,-0.285626259584026,-4.060505168424701,-3.9876364283294055,-11.644200663845623,-13.224222052238758,-9.912043772302042
2,-1.1901225956536496,-0.7387407707058378,-6.473369199219309,-5.334966234877062,-5.207771847614936,-9.035864141633084,-1.3046566452366548
3,-2.3197228881767584,-0.4329371426717037,-6.2121417800927325,-3.757650814222083,-8.776126920148897,-7.952562511674529,-5.046479873139852
4,-2.5729827114318384,-0.40480874489180607,-6.133184151306679,-2.800078329229859,-9.051065983974958,-8.150659461935689,-6.249641420262741
5,-3.4173418659581145,-0.3304772175496513,-3.994150493327979,-1.3355903152952227,-8.9548825992674,-10.646029166880211,-8.700489800755257
6,-1.1837676643094603,-0.5402703456152107,-6.117686007221227,-4.962436577644071,-9.404296191738837,-10.513130657792289,-8.367730095387856
7,-2.032793322792708,-0.339144809939544,-3.9700262721336763,-6.18802846877516,-8.00909227910325,-12.504159627692843,-9.076610344051304
8,-2.2134030126367206,-0.44789309147614187,-7.211187990685506,-3.13286680077478,-5.7007226869267384,-6.730663462759324,-7.5886620417057955
9,-2.093097092479608,-0.5288369471032048,-6.208240222790682,-3.0734434362484144,-7.396335950410688,-10.650499998986831,-5.593845758032572
10,-3.1530496145151012,-0.348956516564348,-4.315926930584794,-1.0566180598732888,-9.231340261912756,-15.67414666420025,-9.057334813140649
11,-1.3161122250686326,-0.2755862016558863,-9.742830625795175,-4.359795161776066,-11.596697940578387,-6.170592270191989,-11.363839074233688
12,-1.6772863241764533,-0.3838916507319414,-3.7758774632009633,-6.24306720662969,-12.329823762960665,-13.345882591096057,-8.23465571245621
13,-1.458327546399346,-0.6105886896279227,-7.678179831106117,-4.269549867848524,-6.513073462581538,-7.2755283454532815,-3.838391407738335
14,-3.2293075549392816,-0.3668642664040407,-4.998862720525278,-0.042585037836370354,-9.120935127149131,-11.673090762603707,-10.322242921831851
15,-3.444300184335493,-0.39711048167183893,-2.1887012985714946,-3.244894791541133,-3.8553007850405265,-10.971074544130786,-7.381525314900678
16,-1.6368950446343682,-0.35623652181126975,-4.959361039591901,-6.430447324361203,-10.96934410944349,-12.063030361176956,-7.851477016298389
17,-1.3286414231456813,-0.6736206106307634,-7.048025362246172,-4.822914270213238,-5.846297736235911,-8.177494252505369,-2.5717271502014682
18,-1.2090336681857607,-0.444766897709747,-6.294783221444316,-7.115021809457447,-9.935429871114344,-10.201353432442062,-4.979802958350405
19,-2.0241428375258055,-0.5380002569266349,-5.587634027911264,-4.691761702110406,-7.602523133305176,-9.641620159860906,-2.7594450315187586
20,-2.3176486802327068,-0.445898317921519,-6.190500806135702,-3.738789889314065,-8.300310860854815,-7.830083908516613,-4.990042087904698
21,-1.766581167888031,-0.2932046008084299,-5.58951550845185,-5.877082921996488,-11.636119835789117,-11.161064454124855,-9.11814127383525
22,-1.503738487319735,-0.18758410666321446,-9.087002714945104,-5.1531916116915095,-13.246686061957838,-7.387577889316589,-10.64046000077316
23,-1.9045797736977708,-0.13403943305742683,-9.771699899272669,-3.860616092489869,-13.233688320163367,-3.7661444340459127,-11.975991582518354
24,-0.9497777619796413,-0.5729686776725966,-5.084294001070013,-7.510660242997245,-6.9900961870844185,-12.607909737011141,-5.246073069595589
25,-2.1081272916552978,-0.5097444861422717,-6.093532582022085,-4.150631429505601,-7.932225824000753,-8.206149465804842,-3.724007704815044
26,-1.709781159267516,-0.5926292637533512,-4.794926614962932,-6.135838435398497,-7.225631689592809,-9.708888135556563,-1.6692639398960978
27,-1.703842116195922,-0.377572183841246,-5.956216619273512,-4.0732047093762,-10.985087153875789,-13.080460196145935,-10.61505427494896
28,-1.2412041684749138,-0.5472590037651752,-7.154905420903539,-4.752896443173648,-5.737836033368154,-7.340199506535484,-9.152797168087929
29,-2.446070093901346,-0.22394701878101309,-2.699739899633716,-6.02555843798151,-12.153688722113259,-14.893647614680589,-9.260724427726181
30,-1.1235128217971138,-0.37459163059950207,-7.14104100253217,-6.854597256486546,-11.218109045196279,-10.137071628397237,-6.840873475590513
31,-2.9030104554905245,-0.4258624778611644,-2.4376450864965484,-4.351673893930423,-6.967319579911155,-12.916699513060323,-5.50370149369374
