,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
0,0.09402733313364602,-0.27118132827617036,-0.2104316543652519,-0.19093541298924924,0.2032684238209274,-0.25555858403204035,0.4483635081309262,0.14806827188808358,-0.546863580775214,-0.12218936447522825,0.22504908218937034,0.23101831582428,-0.07908688797954037,0.23251439463717838,-0.16820294018407214,0.024865237905220286,-0.008042826072268042
1,-0.1791370428046559,-0.33857784313104,0.0382607113329746,-0.20491812603229248,-0.04490341098792482,0.14530826860647192,0.475056277288509,0.2756147148861051,0.48772758402631206,-0.032009460113856476,0.12173254550360703,-0.11907949450636458,-0.1391090302728052,-0.3690455001279623,-0.11072354756441918,0.2221220352185652,0.0012451282216069239
2,-0.34681366007849906,-0.08503995002963655,0.010518856288999592,-0.12954146916097373,-0.280157856783119,-0.21983033693380438,-0.2671214580994588,-0.13219802049418383,-0.133572166916682,-0.5786244885136576,0.024819247682349603,0.23501344067337773,0.2738048288518954,-0.341755076029358,-0.12357062689914096,0.1562003094746929,0.004886114667791856
3,-0.24706067159710218,0.49572862236369036,-0.1322437327881954,0.06939241845695084,0.03942662384535822,-0.21363134588478835,0.15155727075090433,0.29669975740239374,0.07052151472305355,-0.012148119309420733,0.007481344094104145,0.04882703246112065,0.017182557328260382,0.014749328508049542,0.022705208648649812,0.006694887023515672,0.7099881974483926
4,-0.24669199149697218,0.4964973634543915,-0.10940204820044964,0.06678929804884169,0.0035668473199034776,-0.23202145540872354,0.16050190676291518,0.28626482557283206,0.08452385173079338,0.0013522918952715245,0.03829340290753006,0.09121347024946354,0.007697859311835267,-0.006255369164459926,0.07711623193528724,-0.028344437139086767,-0.7006194553630802
5,-0.1576489308009237,0.1313675192202919,-0.10146094500332523,0.1657508137754535,0.45768594816909663,0.5248997519587565,0.04181685312891389,-0.057053069214402695,-0.06900096982266912,-0.3928141928106985,-0.3589392543403043,0.16082156753958743,-0.2576737011793714,0.032183449131427545,-0.09779879816615351,0.19536651778117348,-0.03453367255928586
6,-0.11618237097626612,0.20993827071226215,-0.28284889991874096,-0.3226946144027554,-0.18641325070474754,0.19077565956977763,0.3535682631569624,-0.4720149085808076,-0.03011639799480084,-0.20618074723146884,0.05536060175735201,-0.4332612572576914,0.1411074431538201,0.17264503003573187,0.21286958449356674,-0.10050792953052202,-0.0028088828626787092
7,-0.3804071730787911,-0.1486659281785428,0.35758953093150936,0.09127661579776154,0.030765903246534686,0.00400905151354412,0.1736380494909654,0.04971697741898554,-0.18545861234191002,-0.03216235496115269,-0.22583772340368877,-0.1222789764605258,-0.05560359538783009,-0.11260770191132059,-0.06888943951690571,-0.7357650832528656,0.012254042137399805
8,-0.10330356917297885,-0.30246926444467703,-0.1237296526207479,0.4144685035273679,-0.26490188741179066,-0.3425450555927736,0.05975096864557181,0.015265661099846874,0.22802716506577334,-0.23138583098356433,-0.31783942062881937,-0.187644854059795,-0.1601940802219582,0.4853994995792844,-0.00324507259108293,0.12727649090160686,-0.013463768761661941
9,-0.2836359039162464,-0.06729205350728043,0.4775248604140279,0.014218908985241354,0.11257815799874996,-0.007573504531126978,0.11879597670207234,0.060076281992026914,-0.30731615220289193,0.17457535734055354,-0.1184060334599714,-0.16610023072315325,0.25491676008607317,0.09043469393690383,0.41735180011401185,0.4923980325269789,-0.003009377658420003
