Clasa,X1,X2,X3,X4,X5,X6
A,118.2,18.52,1.3800000000000001,25.080000000000002,72.34,5.5600000000000005
B,132.33333333333334,21.299999999999997,2.4166666666666665,9.616666666666667,66.61666666666667,5.5
C,58.666666666666664,25.266666666666666,3.6999999999999997,5.2,60.15,9.066666666666666
D,88.125,22.3875,2.4625000000000004,6.312499999999999,61.02499999999999,7.85
