,Medii,Abateri,Coef
1990,80.1975,13.531605690534384,0.16872852259153195
1991,80.015,13.50917162333494,0.16883298910622932
1992,76.8125,13.081229211825153,0.1703007871352339
1993,73.5,12.794690405168176,0.17407742047847857
1994,73.205,12.976447105705764,0.1772617595206033
1995,69.86500000000001,12.382877963812234,0.1772400767739531
1996,70.68500000000002,4.646617186949156,0.06573696239582874
1997,68.1375,4.772984203318528,0.07004930036057279
1998,66.3075,5.003557068060013,0.07545989621174096
1999,64.64,5.771894769550916,0.08929292650914164
2000,65.5,5.782599894378094,0.08828396785310066
2001,63.475,5.608772890154613,0.08836192028601202
2002,62.1375,6.256552974937966,0.10068884288775644
2003,60.765,6.131906885405392,0.10091182235506282
2004,59.24000000000001,6.195937461404934,0.10459043655308799
2005,59.455,6.57945325450414,0.11066274080403903
2006,59.78499999999999,6.937321954287252,0.11603783481286699
2007,61.44,7.2990621104569104,0.11879983903738461
2008,61.17,7.2884242607801175,0.1191503066990374
2009,58.410000000000004,6.930860012496321,0.11865879151680056
2010,57.36749999999999,6.882545276798366,0.11997289888522886
2011,57.36749999999999,6.957319978414913,0.12127633204192119
2012,58.98499999999999,7.135521471249783,0.12097179742730836
2013,58.4875,7.4114667741001,0.12671881639837745
2014,64.89750000000001,6.875914391406332,0.10595037391896962
2015,64.41,7.337427761405638,0.11391752462980342
2016,62.879999999999995,7.952042150226215,0.1264637746537248
2017,64.02,7.941200580936529,0.12404249579719666
2018,65.4425,7.940576982846575,0.1213366998945116
2019,66.345,7.943387832430836,0.11972850753532047
2020,65.7675,7.925887073220001,0.12051373510046758
