Variabile,Media,Abaterea standard,Coeficientul de variatie
Abs_liceal,48.01666142722414,354.67036030927136,7.386401923149594
Abs_postlic,9.812951901917636,91.1778038931965,9.29157758078674
Abs_primar_gimn,56.492612386042126,274.95344241732363,4.867068999012295
Abs_profes,3.3080792203709524,17.379667415493383,5.253703511231061
Abs_tehnic,0.9176359635334801,9.591637164557808,10.452551497245079
Abs_univ,38.28607356177303,814.5112450248496,21.274347804578827
Pop_liceal,204.59981138006916,1561.0989680080068,7.6300117652996
Pop_profess,26.5293932725558,130.5280096455174,4.920127961635155
Pop_primar_gimn,532.9962276013832,2974.863970163873,5.581397796287429
Pop_univ,167.1128575919522,3599.2064912129154,21.537579711558024
