Siruta,Denumire localitate,Indicativ judet,Numar absolventi,Populatia scolara
16659,Hartiesti,AG,28.0,257.0
16739,Izvoru,AG,18.0,136.0
16757,Leordeni,AG,39.0,387.0
16908,Leresti,AG,38.0,245.0
16944,Lunca Corbului,AG,24.0,152.0
17049,Malureni,AG,26.0,436.0
17101,Merisani,AG,30.0,310.0
17209,Micesti,AG,57.0,596.0
17254,Mihaesti,AG,59.0,593.0
17334,Mioarele,AG,8.0,50.0
17398,Mirosi,AG,19.0,153.0
17423,Moraresti,AG,17.0,105.0
17496,Mosoaia,AG,18.0,146.0
17575,Mozaceni,AG,91.0,454.0
17619,Musatesti,AG,42.0,246.0
17726,Negrasi,AG,17.0,141.0
17771,Nucsoara,AG,11.0,107.0
17824,Oarja,AG,28.0,251.0
17851,Pietrosani,AG,60.0,439.0
17913,Poienarii De Arges,AG,10.0,42.0
17968,Poienarii De Muscel,AG,25.0,197.0
18028,Poiana Lacului,AG,85.0,593.0
18162,Popesti,AG,13.0,106.0
18242,Priboieni,AG,19.0,193.0
18331,Ratesti,AG,28.0,268.0
18411,Recea,AG,25.0,201.0
18475,Rociu,AG,25.0,162.0
18527,Rucar,AG,128.0,744.0
18554,Salatrucu,AG,22.0,165.0
18581,Sapata,AG,9.0,88.0
18670,Schitu Golesti,AG,24.0,386.0
18741,Slobozia,AG,55.0,387.0
18778,Stalpeni,AG,120.0,698.0
18858,Stoenesti,AG,35.0,374.0
18938,Stolnici,AG,20.0,196.0
19007,Suseni,AG,39.0,223.0
19114,Stefan Cel Mare,AG,24.0,218.0
19141,Suici,AG,29.0,162.0
19212,Teiu,AG,7.0,91.0
19249,Tigveni,AG,26.0,313.0
19338,Titesti,AG,22.0,493.0
19392,Uda,AG,7.0,90.0
19560,Ungheni,AG,23.0,183.0
19631,Valea Danului,AG,15.0,157.0
19695,Valea Iasului,AG,6.0,65.0
19793,Vedea,AG,100.0,505.0
19999,Vladesti,AG,32.0,289.0
20048,Raca,AG,17.0,88.0
20055,Vulturesti,AG,25.0,224.0
20063,Bughea De Sus,AG,7.0,166.0
20297,Municipiul Bacau,BC,6101.0,31083.0
20313,Hemeius,BC,33.0,331.0
20359,Letea Veche,BC,27.0,301.0
20411,Magura,BC,29.0,287.0
20466,Margineni,BC,58.0,536.0
20563,Municipiul Onesti,BC,1429.0,7703.0
20607,Gura Vaii,BC,44.0,365.0
20670,Stefan Cel Mare,BC,29.0,389.0
20778,Oras Buhusi,BC,278.0,1987.0
20821,Oras Comanesti,BC,483.0,3008.0
20876,Municipiul Moinesti,BC,733.0,3824.0
20910,Oras Slanic-Moldova,BC,47.0,306.0
20965,Oras Targu Ocna,BC,558.0,2255.0
21007,Agas,BC,51.0,446.0
21098,Ardeoani,BC,20.0,191.0
21123,Asau,BC,43.0,462.0
21196,Balcani,BC,75.0,538.0
21249,Beresti-Bistrita,BC,15.0,206.0
21338,Beresti-Tazlau,BC,67.0,572.0
21418,Berzunti,BC,28.0,451.0
21454,Barsanesti,BC,38.0,256.0
21506,Blagesti,BC,57.0,830.0
21560,Bogdanesti,BC,26.0,147.0
21597,Brusturoasa,BC,33.0,324.0
21668,Buhoci,BC,43.0,414.0
21720,Casin,BC,17.0,190.0
21757,Caiuti,BC,42.0,422.0
21855,Cleja,BC,72.0,638.0
21891,Colonesti,BC,31.0,321.0
21971,Corbasca,BC,55.0,610.0
22059,Cotofanesti,BC,36.0,421.0
22111,Damienesti,BC,24.0,192.0
22166,Oras Darmanesti,BC,187.0,1571.0
22237,Dealu Morii,BC,21.0,246.0
22380,Dofteana,BC,91.0,932.0
22460,Faraoani,BC,61.0,363.0
22488,Filipeni,BC,33.0,229.0
22576,Filipesti,BC,42.0,355.0
22665,Gaiceana,BC,28.0,264.0
22718,Ghimes-Faget,BC,92.0,785.0
22781,Garleni,BC,74.0,623.0
22834,Glavanesti,BC,31.0,276.0
22898,Helegiu,BC,65.0,414.0
22941,Horgesti,BC,59.0,644.0
23047,Huruiesti,BC,24.0,181.0
23127,Izvoru Berheciului,BC,21.0,151.0
23207,Lipova,BC,40.0,439.0
23289,Livezi,BC,63.0,497.0
23350,Luizi-Calugara,BC,44.0,276.0
23387,Magiresti,BC,38.0,195.0
23449,Manastirea Casin,BC,31.0,370.0
23494,Motoseni,BC,32.0,309.0
23644,Negri,BC,26.0,213.0
23715,Nicolae Balcescu,BC,94.0,754.0
23797,Oituz,BC,70.0,701.0
23868,Oncesti,BC,14.0,162.0
23948,Orbeni,BC,31.0,339.0
23975,Palanca,BC,37.0,239.0
24034,Parava,BC,32.0,316.0
24089,Parincea,BC,82.0,557.0
24187,Pancesti,BC,50.0,565.0
24276,Pargaresti,BC,47.0,317.0
24338,Parjol,BC,60.0,393.0
24427,Plopana,BC,47.0,352.0
24524,Podu Turcului,BC,149.0,924.0
24631,Poduri,BC,69.0,571.0
24711,Racova,BC,24.0,257.0
24766,Racaciuni,BC,105.0,770.0
24837,Rachitoasa,BC,85.0,632.0
24999,Rosiori,BC,30.0,300.0
25068,Sascut,BC,113.0,812.0
25148,Sanduleni,BC,39.0,426.0
25228,Saucesti,BC,38.0,381.0
25291,Scorteni,BC,26.0,171.0
25362,Secuieni,BC,17.0,216.0
25488,Solont,BC,44.0,257.0
25521,Stanisesti,BC,78.0,566.0
25629,Strugari,BC,22.0,222.0
25692,Tamasi,BC,29.0,274.0
25745,Tatarasti,BC,21.0,237.0
25825,Targu Trotus,BC,48.0,478.0
25861,Traian,BC,22.0,224.0
25932,Ungureni,BC,50.0,456.0
26029,Urechesti,BC,28.0,230.0
26083,Valea Seaca,BC,21.0,353.0
26118,Vultureni,BC,25.0,236.0
26289,Zemes,BC,57.0,366.0
26320,Sarata,BC,18.0,153.0
26338,Buciumi,BC,27.0,274.0
26346,Gioseni,BC,42.0,430.0
26353,Odobesti,BC,31.0,265.0
26361,Prajesti,BC,4.0,138.0
26379,Itesti,BC,10.0,133.0
26564,Municipiul Oradea,BH,9416.0,45504.0
26582,Sanmartin,BH,74.0,754.0
26653,Santandrei,BH,31.0,293.0
26699,Oras Alesd,BH,309.0,2156.0
26742,Astileu,BH,25.0,221.0
26804,Municipiul Beius,BH,624.0,3181.0
26840,Oras Stei,BH,367.0,1812.0
26877,Municipiul Marghita,BH,558.0,3062.0
26920,Oras Nucet,BH,31.0,163.0
26975,Municipiul Salonta,BH,436.0,2971.0
27007,Oras Vascau,BH,15.0,133.0
27070,Abram,BH,32.0,216.0
27169,Abramut,BH,18.0,227.0
27212,Auseu,BH,23.0,230.0
27285,Avram Iancu,BH,36.0,370.0
27329,Balc,BH,39.0,351.0
27383,Batar,BH,69.0,618.0
27436,Biharia,BH,16.0,222.0
27506,Boianu Mare,BH,20.0,120.0
27560,Borod,BH,44.0,455.0
27631,Bors,BH,67.0,422.0
27686,Bratca,BH,158.0,726.0
27757,Brusturi,BH,33.0,292.0
27846,Budureasa,BH,19.0,191.0
27908,Buduslau,BH,26.0,206.0
27935,Bulz,BH,21.0,130.0
27971,Buntesti,BH,46.0,304.0
28077,Cabesti,BH,12.0,137.0
28139,Capalna,BH,6.0,79.0
28193,Carpinet,BH,6.0,57.0
28246,Cefa,BH,25.0,187.0
28335,Ceica,BH,32.0,281.0
28415,Cetariu,BH,12.0,132.0
28497,Cherechiu,BH,29.0,310.0
28530,Chislaz,BH,22.0,329.0
28610,Ciuhoi,BH,26.0,229.0
28665,Ciumeghiu,BH,28.0,406.0
28709,Campani,BH,12.0,91.0
28763,Cociuba Mare,BH,30.0,245.0
28816,Copacel,BH,15.0,174.0
28889,Cristioru De Jos,BH,4.0,60.0
28941,Curatele,BH,11.0,98.0
29001,Curtuiseni,BH,26.0,456.0
29038,Derna,BH,30.0,209.0
29092,Diosig,BH,46.0,671.0
29154,Dobresti,BH,88.0,808.0
29243,Draganesti,BH,15.0,149.0
29341,Dragesti,BH,22.0,328.0
29403,Finis,BH,42.0,360.0
29467,Girisu De Cris,BH,18.0,243.0
29519,Hidiselu De Sus,BH,25.0,242.0
29573,Holod,BH,13.0,257.0
29662,Husasau De Tinca,BH,11.0,274.0
29724,Ineu,BH,32.0,547.0
29760,Lazuri De Beius,BH,6.0,64.0
29813,Lazareni,BH,28.0,389.0
29902,Lugasu De Jos,BH,24.0,365.0
29948,Lunca,BH,13.0,102.0
30014,Madaras,BH,17.0,219.0
30069,Magesti,BH,16.0,192.0
30149,Nojorid,BH,36.0,327.0
30229,Olcea,BH,17.0,295.0
30274,Osorhei,BH,24.0,414.0
30336,Pietroasa,BH,35.0,242.0
30416,Pocola,BH,0.0,27.0
30470,Pomezeu,BH,26.0,229.0
30568,Popesti,BH,202.0,1058.0
30648,Rabagani,BH,13.0,151.0
30719,Remetea,BH,15.0,219.0
30773,Rieni,BH,24.0,162.0
30844,Rosia,BH,34.0,241.0
30871,Sacadat,BH,9.0,164.0
30915,Oras Sacueni,BH,228.0,1730.0
30988,Salacea,BH,24.0,288.0
31011,Salard,BH,53.0,433.0
31057,Sambata,BH,5.0,92.0
31128,Sarbi,BH,31.0,203.0
31208,Spinus,BH,8.0,92.0
31262,Suplacu De Barcau,BH,100.0,848.0
31333,Simian,BH,35.0,419.0
31379,Sinteu,BH,7.0,47.0
31422,Soimi,BH,15.0,171.0
31510,Suncuius,BH,204.0,864.0
31565,Tarcea,BH,20.0,261.0
31609,Tarcaia,BH,22.0,151.0
31654,Tauteu,BH,43.0,410.0
31716,Tileagd,BH,94.0,647.0
31789,Tinca,BH,143.0,1260.0
31841,Tulca,BH,24.0,267.0
31878,Tetchea,BH,27.0,304.0
31921,Uileacu De Beius,BH,16.0,95.0
31976,Vadu Crisului,BH,190.0,798.0
32027,Oras Valea Lui Mihai,BH,205.0,1528.0
32045,Viisoara,BH,15.0,134.0
32090,Varciorog,BH,18.0,185.0
32153,Tamaseu,BH,12.0,170.0
32161,Paleu,BH,0.0,39.0
32179,Sannicolau Roman,BH,17.0,259.0
32187,Rosiori,BH,31.0,272.0
32195,Gepiu,BH,10.0,155.0
32201,Toboliu,BH,19.0,172.0
32394,Municipiul Bistrita,BN,2515.0,14511.0
32483,Oras Beclean,BN,446.0,2561.0
32544,Oras Nasaud,BN,570.0,2918.0
32599,Oras Sangeorz-Bai,BN,294.0,1836.0
32633,Bistrita Bargaului,BN,45.0,283.0
32660,Branistea,BN,24.0,190.0
32704,Budacu De Jos,BN,20.0,152.0
32768,Budesti,BN,15.0,165.0
32811,Caianu Mic,BN,89.0,421.0
32884,Cetate,BN,28.0,275.0
32955,Ciceu-Giurgesti,BN,10.0,85.0
33015,Chiochis,BN,21.0,174.0
33122,Chiuza,BN,24.0,127.0
33177,Cosbuc,BN,16.0,119.0
33202,Dumitra,BN,62.0,603.0
33248,Feldru,BN,206.0,1189.0
33275,Galatii Bistritei,BN,30.0,222.0
33337,Ilva Mare,BN,23.0,216.0
33364,Ilva Mica,BN,44.0,326.0
33382,Josenii Bargaului,BN,40.0,350.0
33435,Lechinta,BN,80.0,732.0
33514,Lesu,BN,39.0,255.0
33541,Livezile,BN,50.0,445.0
33603,Lunca Ilvei,BN,47.0,289.0
33621,Maieru,BN,189.0,1122.0
33658,Matei,BN,26.0,199.0
33729,Magura Ilvei,BN,22.0,175.0
33765,Mariselu,BN,22.0,212.0
33845,Micestii De Campie,BN,9.0,81.0
33881,Milas,BN,12.0,106.0
33952,Monor,BN,11.0,115.0
33989,Nimigea,BN,48.0,421.0
34075,Nuseni,BN,23.0,232.0
34155,Parva,BN,43.0,286.0
34173,Petru Rares,BN,12.0,286.0
34235,Prundu Bargaului,BN,186.0,1010.0
34262,Rebra,BN,19.0,250.0
34280,Rebrisoara,BN,47.0,426.0
