,Medii,Abateri_Standard,Coeficienti_Variatie
Abs_liceal,48.01666142722414,354.72612170577855,7.387563215810304
Abs_postlic,9.812951901917636,91.19213889900468,9.293038405822005
Abs_primar_gimn,56.492612386042126,274.99667069247744,4.867834201280839
Abs_profes,3.3080792203709524,17.38239985280452,5.254529500310861
Abs_tehnic,0.9176359635334801,9.593145165064573,10.454194851000482
Abs_univ,38.28607356177303,814.6393027640396,21.277692564886603
Pop_liceal,204.59981138006916,1561.344404526796,7.631211358383943
Pop_profess,26.5293932725558,130.5485313042661,4.920901505852239
Pop_primar_gimn,532.9962276013832,2975.331679304436,5.58227530557613
Pop_univ,167.1128575919522,3599.772359700218,21.540965857276895
