Judet,Casatorii,Decedati,DecedatiSub1An,Divorturi,NascutiMorti,NascutiVii
ab,2.45396,1.4505,2.68655,2.93733,4.4665,2.2272
ag,3.37261,1.96339,2.44701,4.58046,2.54975,2.87982
ar,3.37712,2.90684,2.31359,4.29519,3.38658,3.17249
b,,,,,,
bc,3.24864,1.8347,1.89126,3.12774,3.07161,2.59297
bh,4.33779,2.78567,2.17386,4.94757,2.27479,3.37575
bn,2.3977,1.3811,1.98272,2.01923,2.96415,2.13967
br,4.37696,3.3491,3.22992,5.12039,3.01397,3.38785
bt,3.2739,1.28974,2.08552,3.8004,2.37891,2.43564
bv,3.60072,3.52765,2.18683,4.07674,2.64848,2.97359
bz,3.0011,1.74474,2.55016,3.11113,3.94052,2.60734
cj,5.09374,3.34684,3.50941,3.66222,4.41482,4.33624
cl,1.87289,1.18193,1.50887,2.63833,3.07977,1.81302
cs,2.54412,1.96979,2.76676,2.81825,3.88655,2.39207
ct,3.62125,3.60006,2.12368,3.60612,3.44741,3.1338
cv,2.09317,1.61514,1.71241,2.70397,2.57832,1.59884
db,2.03604,1.06678,2.93084,2.80082,2.25843,1.68344
dj,5.4463,3.02354,3.05297,5.33621,10.53565,4.48472
gj,2.61168,1.34021,2.62221,2.87705,4.60191,2.38597
gl,4.78802,3.23286,2.87172,4.86976,2.8682,3.60265
gr,1.84819,1.19902,2.46423,3.00737,2.75279,1.40666
hd,2.25063,1.71022,2.55775,2.4509,2.47516,2.03771
hr,1.53071,1.16088,1.85651,1.99117,2.17448,1.28192
if,0.92154,0.65261,1.41754,1.00616,1.86052,0.91551
il,1.90623,1.05428,2.52117,2.62384,3.03228,1.73529
is,5.01964,3.1511,2.09746,4.88755,6.11404,4.07582
mh,3.62889,1.98597,1.82936,4.36508,3.32936,2.75349
mm,2.59535,2.01802,2.61974,3.10233,3.13157,2.47102
ms,3.11941,2.20756,1.98765,3.50136,3.16652,2.28458
nt,2.16432,1.5936,2.3915,3.3188,2.04821,1.86821
ot,2.96041,1.03401,3.4747,3.12492,4.42312,2.48022
ph,3.15723,2.57352,4.20839,3.41073,2.45551,3.01877
sb,3.10406,2.81942,2.47305,3.91921,2.72252,2.8151
sj,2.87404,1.11954,1.74972,2.94133,3.21857,2.11331
sm,2.67698,2.18937,2.39429,4.00347,2.01945,2.1435
sv,2.39746,1.26592,1.6648,2.8473,2.58039,1.68168
tl,3.23133,1.86291,2.60951,2.22116,3.14607,0.76195
tm,4.62353,3.9259,3.45981,5.94769,3.34481,4.42968
tr,2.00697,0.82649,2.20685,2.23146,4.55738,1.72079
vl,4.89289,1.92755,4.24118,4.167,,3.33383
vn,2.44741,1.25698,2.92888,2.85302,2.48634,1.82004
vs,3.52249,1.41881,1.60545,2.36709,2.55103,2.86983
