,Cluster
ALB,C3
AUT,C2
BLR,C4
BEL,C2
BIH,C1
BGR,C3
HRV,C1
CZE,C2
CYP,C3
DNK,C2
GBR,C2
EST,C4
FIN,C4
FRA,C2
DEU,C2
GRC,C3
HUN,C4
ISL,C2
IRL,C2
ITA,C3
LVA,C4
LTU,C4
MKD,C3
MLT,C3
MDA,C4
MNE,C1
NLD,C2
NOR,C2
POL,C4
PRT,C3
ROU,C3
RUS,C4
SRB,C1
SVK,C4
SVN,C4
ESP,C3
SWE,C2
CHE,C2
UKR,C4
