,Cluster
ALB,C1
AUT,C2
BLR,C2
BEL,C2
BIH,C2
BGR,C1
HRV,C2
CZE,C2
CYP,C1
DNK,C2
GBR,C2
EST,C2
FIN,C2
FRA,C2
DEU,C2
GRC,C1
HUN,C2
ISL,C2
IRL,C2
ITA,C1
LVA,C2
LTU,C2
MKD,C1
MLT,C1
MDA,C2
MNE,C2
NLD,C2
NOR,C2
POL,C2
PRT,C1
ROU,C1
RUS,C2
SRB,C2
SVK,C2
SVN,C2
ESP,C1
SWE,C2
CHE,C2
UKR,C2
