Region,AirEmiss,Sulphur,Nitrogen,Ammonia,NonMeth,Partic,GreenGE_tone,GreenGIE_tone
Eastern Europe,20.483450500306258,16.918933737844217,13.652414011023572,15.408199666399295,14.273449850007324,19.190937547398253,14.643352532904329,14.507411508241987
Northern Europe,50.96716604317846,39.42086104335665,59.51390386195642,50.20571567667881,50.57464639948099,54.94803233346596,49.99341538862129,64.12695323223744
Southern Europe,36.57402869494424,43.56258690620014,40.38415343288967,47.40784387369451,43.300128485452134,37.00043752025399,41.17083982788762,35.699167292450895
Western Europe,22.2662626735873,22.695764704953376,21.4041980263086,22.134147440661156,18.134983633167067,26.599540294079937,19.493373074411554,20.401346489888528
