,u1,u2,u3,u4
0,0.010367135573310765,0.16825635247534135,-1.313399441166232e-15,-5.643866911077282e-18
1,-0.09731391312445309,-5.2860520198958886e-05,0.044379398542332894,-0.0006446460239019631
2,-0.035670788478642405,-5.2892372501224745e-05,-3.7430270392266966e-05,8.194233745797614e-08
3,0.4712403610297072,-5.3154304180428946e-05,-3.599322396462518e-05,7.661285865099662e-08
4,0.3415217856880848,-5.308727585753638e-05,-3.636096417998905e-05,7.797667240581125e-08
5,0.015885279406946024,-5.291901260858593e-05,-3.728411368758466e-05,8.140029577782199e-08
6,0.48220455316038524,-5.315996960972511e-05,-3.59621414896198e-05,7.649758513677855e-08
7,0.18673175767431194,-5.3007292586195034e-05,-3.679977965487115e-05,7.960407826306463e-08
8,0.6231309693467008,-5.3232789260418904e-05,-3.556262807757903e-05,7.50159362341459e-08
9,0.02429116004046588,-5.2923356104347454e-05,-3.726028379008229e-05,8.131191941692868e-08
10,-0.11819460791554603,-5.2849730703700185e-05,-3.766421782078968e-05,8.280996277492828e-08
11,-0.13863673502141025,-5.283916782562693e-05,-3.7722169368628506e-05,8.302488383809552e-08
12,-0.1280380159617548,-5.2844644407215595e-05,-3.7692122976125794e-05,8.291345277434961e-08
13,-0.1319851251287989,-5.284260485270996e-05,-3.7703312667127176e-05,8.295495123948017e-08
14,-0.07068310868260588,-5.287428089417365e-05,0.0742521837315112,0.0003854267769528358
15,-0.11987578404225,-5.28488620045459e-05,-3.766898380029069e-05,8.282763804711166e-08
16,-0.052092711803258,-5.288388694718344e-05,-3.747682503260504e-05,8.211499156592778e-08
17,-0.1468964264265211,-5.283489986893717e-05,-3.774558483313077e-05,8.311172321880196e-08
18,-0.1327160712708441,-5.2842227157419034e-05,-3.770538483212741e-05,8.296263614042543e-08
19,-0.14604365592746832,-5.283534051338598e-05,-3.774316730729884e-05,8.310275750103017e-08
20,-0.13032831387349642,-5.2843460961956027e-05,-3.7698615759795336e-05,8.293753213066527e-08
21,-0.1637325525649623,-5.2826200287557636e-05,-3.779331370030201e-05,8.328873210395615e-08
22,-0.09263585781536536,-5.286293744879562e-05,-3.7591761117949285e-05,8.254124740513961e-08
23,-0.14080520857614437,-5.28380473296081e-05,-3.772831679146336e-05,8.304768237756987e-08
24,-0.1241883662803167,-5.284663360236095e-05,-3.768120957379253e-05,8.287297896270544e-08
25,-0.11853571611516713,-5.2849554445901315e-05,-3.7665184831124004e-05,8.281354906204335e-08
26,-0.11765858074471287,-5.285000768024487e-05,-3.766269823312329e-05,8.28043271809043e-08
27,-0.09324497960040304,-5.286262270271768e-05,-3.7593487922116566e-05,8.254765148925881e-08
28,-0.14565381798504423,-5.2835541950905375e-05,-3.774206215263038e-05,8.309865888719536e-08
29,-0.13045013823050397,-5.284339801277039e-05,-3.7698961120627906e-05,8.293881294748164e-08
30,-0.06259397137730745,-5.287846072494097e-05,-3.7506595136441386e-05,8.222539797620195e-08
31,-0.11836516201535656,-5.28496425747936e-05,-3.76647013259573e-05,8.28117559184869e-08
32,-0.12867150261819396,-5.284431707129758e-05,-3.769391885246021e-05,8.292011302184887e-08
33,-0.14082957344754587,-5.283803473974111e-05,-3.7728385863630404e-05,8.304793854093713e-08
34,-0.11877936482918221,-5.284942854748923e-05,-3.7665875552789476e-05,8.28161106956853e-08
35,-0.0026807526010021706,-5.290941914837375e-05,-3.733674667859024e-05,8.159549226188581e-08
36,-0.15471755014640476,-5.283085852936451e-05,-3.7767756998634105e-05,8.319395165894301e-08
37,-0.040641222244549795,-5.288980417328906e-05,-3.744436111426837e-05,8.199459478441573e-08
38,-0.13902657296383436,-5.283896638813529e-05,-3.7723274523295234e-05,8.302898245193034e-08
39,-0.10381933378865701,-5.2857158710955625e-05,-3.762346524245252e-05,8.265882638963266e-08
40,-0.10786390244130711,-5.28550687970224e-05,-3.763493122212093e-05,8.270134950820826e-08
41,-0.09266022268676687,-5.286292485894168e-05,-3.759183019011643e-05,8.254150356850444e-08
42,-0.10096864383468071,-5.2858631722544854e-05,-3.761538379895201e-05,8.262885527593956e-08
43,-0.09010191118960865,-5.2864246792426055e-05,-3.758457761261596e-05,8.25146064151883e-08
44,-0.11829206740115207,-5.284968034435461e-05,-3.766449410945597e-05,8.281098742839e-08
45,-0.150210048937126,-5.283318765028183e-05,-3.7754978647798425e-05,8.314656143642459e-08
46,-0.12572335317861164,-5.284584044230093e-05,-3.768556112029133e-05,8.288911725469163e-08
47,-0.15561905038826052,-5.2830392705153126e-05,-3.7770312668801094e-05,8.320342970343334e-08
48,-0.15354803631913244,-5.283146284181334e-05,-3.7764441534634605e-05,8.318165581742992e-08
