,z1,z2,z3,z4
0,0.6745686571450231,1.1894136794316286,-0.1449164676041704,0.02257298949975468
1,-0.04710943551529923,-0.06950174836136971,-0.025588231557646692,0.003985764294543365
2,-0.01740152120494623,-0.025711593218189034,-0.00935005361397648,0.001456415999780839
3,0.22689616939856921,0.33438887229717607,0.12418168240106643,-0.019343224819402705
4,0.16438038450200032,0.24223915451761327,0.09001090794569092,-0.014020596233902425
5,0.0074450980364399125,0.01091290017428934,0.004230967938911334,-0.000659038937656909
6,0.232180185777881,0.3421776350696786,0.12706989586930814,-0.01979310890345138
7,0.08978181548473843,0.13227913253159482,0.049235752026269224,-0.007669232709544198
8,0.30009740963996867,0.4422891992389105,0.164193066314442,-0.025575618997090287
9,0.011496177260578958,0.01688428496654125,0.0064452649312299985,-0.00100395006876089
10,-0.05717255115323302,-0.08433501435255776,-0.031088673651609278,0.004842543539053835
11,-0.06702430613599435,-0.09885672983284574,-0.03647358720684221,0.005681327420202357
12,-0.06191642363599295,-0.09132759248609335,-0.03368164752087519,0.005246439472288642
13,-0.06381866953254518,-0.0941315470841942,-0.034721404369442224,0.005408397742546164
14,-0.0342751468428819,-0.050583709005046974,-0.01857308195589509,0.002893045841509595
15,-0.05798276699806084,-0.08552929131100817,-0.031531533050073016,0.00491152576527463
16,-0.025315803515293233,-0.037377429015226095,-0.01367595556418744,0.0021302423834448484
17,-0.07100493180840924,-0.10472426445479761,-0.03864937468625098,0.0060202400968523565
18,-0.06417093729116598,-0.0946507979356944,-0.03491395193399168,0.005438390014816074
19,-0.070593952756685,-0.10411847179471409,-0.038424735860943304,0.005985249112537457
20,-0.06302019594633808,-0.09295457848746054,-0.034284963223130134,0.005340415258734363
21,-0.07911883251530803,-0.1166843424010181,-0.04308438692303997,0.006711062101469315
22,-0.0448549218601262,-0.06617854291176864,-0.024355927144530207,0.0037938137520159326
23,-0.06806936715323601,-0.10039717402562956,-0.037044811648338914,0.005770304494603094
24,-0.06006114677392348,-0.08859287133485913,-0.03266756368091477,0.005088480171667107
25,-0.05733694277392273,-0.08457733141659118,-0.031178529181732376,0.004856539932779793
26,-0.05691422146357778,-0.08395423039479098,-0.03094747210427303,0.004820549206055898
27,-0.04514847832564351,-0.06661125195468544,-0.02451638344832142,0.0038188073122408595
28,-0.0704060766187539,-0.10384153800724732,-0.03832204382651693,0.005969253233993507
29,-0.06307890723944155,-0.0930411202960439,-0.03431705448388837,0.005345413970779348
30,-0.030376716980811867,-0.044837332915111806,-0.01644222224154787,0.0025611313617225745
31,-0.05725474696357787,-0.08445617288457448,-0.031133601416670827,0.0048495417359168125
32,-0.06222172236013096,-0.09177760989072681,-0.03384852207681806,0.005272432774922564
33,-0.0680811094118567,-0.10041448238734622,-0.037051229900490555,0.005771304237012091
34,-0.057454365360129656,-0.08475041503375791,-0.031242711703248823,0.004866537356869765
35,-0.0015025030325280652,-0.0022760714538148756,-0.000659740200644677,0.0001027647779988396
36,-0.07477419682565166,-0.11028024856584939,-0.04070963362693009,0.006341157410140407
37,-0.019796941963567582,-0.029242499008390165,-0.010659377052912741,0.001660363451216236
38,-0.06721218227392543,-0.09913366362031249,-0.03657627924126859,0.0056973232987463105
39,-0.050244618567024224,-0.07412308093972117,-0.02730190488213679,0.004252695517745577
40,-0.05219383349805925,-0.07699626898468877,-0.028367334739310423,0.004418652757639085
