Indicativ,z1,z2,z3,z4,z5,z6,z7,z8,z9,z10,z11,z12,z13,z14,z15,z16,z17
ab,0.10116676021154102,0.3748551487077669,1.1137135968406755,0.028542933863293027,-0.28610184171403885,-1.2061105819155278,1.4823460394704413,0.6898262922614226,-1.5518821270102388,0.5203235134337127,0.555987427499527,0.22995827600498325,-2.1745881776433578,0.5547244638275391,-0.5856286602648961,-0.540044995450609,-0.1639962847208003
ar,0.13766124478595446,0.35948102359151235,-0.3416901524661941,0.03299017520993291,-0.5078339598703935,0.3297906523790852,0.18208415281933799,0.19750716748454358,-0.6856963953047033,0.46886831566758025,0.2379781991624309,-0.16398042318851694,1.014309427205487,0.5864216103890115,1.2943675115391065,-0.5385827838401396,0.4109429321507347
ag,0.33424807070323276,1.133330809732966,0.13772697404364395,-0.4234389244855108,-0.7460573443841463,-0.35684255021106676,-0.10420216236346187,0.7232917107081964,-1.0896756383272639,0.36013674035830767,-0.12291538941780969,-0.10518766834641526,-0.17437824286798995,-0.5144433486588372,0.6677226013363083,0.614898560608062,-0.9651331758409787
bc,-0.3687182172993975,-0.5391034403478591,-0.21235171334676148,1.021150905347092,-0.13330129579476863,0.303393372229629,-0.15930895078060134,0.5089287610150085,-0.24732352862954407,0.6804415038636976,2.0163632621783725,1.0771372632421408,-0.8747834708195349,0.0919248912865797,-0.37952191728166546,0.9584719571049032,-1.6117922784136216
bh,0.2204120535279575,-0.14191639451858648,0.16175102021479992,-0.2772784329031069,0.861841920672106,1.0575776731051514,0.1489152108345436,0.7519867605768548,-1.2931440558857938,-0.015716580548733233,-0.7424734207718307,2.705823061384049,1.3806610816395382,0.30400924901585286,-0.001526850199022373,-0.5804149730010939,-0.25874839754519036
bn,0.36820052587582885,-0.2152638125080148,0.25535007992136893,0.5486820012619217,0.2248618853056179,0.17283512076382465,-0.23890555538868785,2.189085051328018,-0.7898792033835546,-0.39948235929189174,-1.3382002937033115,-1.2904893758306235,-0.23651310575665388,2.0421684980162187,-0.9205158070053967,-0.16342696788567548,-0.7657650944257564
bt,-0.07300940937010988,0.09887254393410978,0.6911873877391117,0.4167296402575471,-0.6830263294737833,-1.4674563214479548,-0.5941163888790227,0.7593149316348731,0.11435279478324642,-0.9956678269275286,0.06307211077520677,-0.6522970186695366,0.9870389032510082,-0.5461709768751951,1.1447837716374802,-0.2747262823262993,0.8711162640060579
br,-0.494287652136692,0.47599280225907675,0.1849325102026674,0.4273964504696332,-0.8541344966573688,1.5625187873446507,1.0013917797617022,0.1691714929663289,0.3273733070476937,-0.43227191209332044,-0.760957711126213,0.6239793860184522,0.8501728822950914,1.0056915231721824,-1.0190024740518333,0.19845830912170379,0.311268872603636
bv,0.1939088740561615,-0.5597099219874967,0.2430255096106513,-0.6765942860882378,0.21714315942306295,0.31546230102946426,0.9171273532906218,-0.7079897799468734,-0.7100104585151895,0.03072039490269171,0.34581584800063186,1.5001485633958118,0.3230817662308809,-0.35993445388770456,1.2056978674877104,-0.22106129735522953,-0.34471942886047385
bz,-0.5017558489800102,0.3157320871456001,0.19244915790983433,-0.581071327860801,0.6344789491679801,-0.6288093361539546,1.4586208849511895,-0.9017990379080225,0.04827885481497451,0.33086436864620333,-0.08356671353400377,0.5962643945150188,0.6350835843992441,-1.2947449164528586,-1.1154331713994332,0.05298843526036748,-0.12672422138609774
cl,-0.5533733473119528,-0.22706841016968718,0.8770458264930545,-0.4981219297205855,-0.5120492889802043,-0.23153424363022418,-0.26536219962787144,-1.5460227169747391,-1.0220848106822782,1.21960622201174,-0.8979161000944584,-1.11198309267563,1.206505443704764,0.59883925924884,1.4194024351524397,0.7577858811720122,-0.2619637221759121
cs,-0.455507060096144,-0.186348353936142,-0.5461171695019509,0.457430267997843,-1.0395746792041383,1.6258649626536876,-0.4069335069024564,-0.5706845410342085,-2.209007385470534,-1.126695764235838,-0.8167657179941442,-0.8547533577532815,-1.9270638378534277,-0.12084619589994006,-0.4073302397483616,-0.49841580724056267,0.3394482410844268
