,Cluster
ALB,C2
AUT,C1
BLR,C3
BEL,C1
BIH,C3
BGR,C2
HRV,C3
CZE,C1
CYP,C2
DNK,C1
GBR,C1
EST,C3
FIN,C3
FRA,C1
DEU,C1
GRC,C2
HUN,C3
ISL,C1
IRL,C1
ITA,C2
LVA,C3
LTU,C3
MKD,C2
MLT,C2
MDA,C3
MNE,C3
NLD,C1
NOR,C1
POL,C3
PRT,C2
ROU,C2
RUS,C3
SRB,C3
SVK,C3
SVN,C3
ESP,C2
SWE,C1
CHE,C1
UKR,C3
