,RN,RM,RMI,Emigranti,Imigranti,RS,Sal,CSom,AjSoc,Pensie,PopScolara,PaturiUS,Medici,VolumeB,SpectatoriS,VizitatoriM,SportiviL,PIB,SalariatiC,PAgrVeg,PAgrAnim,ServAgr,Silvicultura,SupLoc,DrumuriM,Innoptari,BugetVenituri,BugetSubventii,Apa,Canal,Export
SalariatiC,-12.685,15.223,-5.92,1694.546,5158.296,4.228,8964.42,851.197,-50.59,4169.301,1163.523,7880.537,5587.827,148380.289,2075.796,5940.197,80.654,696192.883,143.042,-8990.036,-2000.25,2417.949,9.494,-141.959,-702.667,5387.227,18319.756,-877.701,410.638,449.642,6991.483
PAgrVeg,797.272,-956.726,372.06,-106500.623,-324194.08,-265.757,-563405.37,-53496.934,3179.52,-262036.648,-73126.296,-495284.346,-351189.702,-9325561.691,-130461.829,-373335.785,-5069.054,-43755068.254,-8990.036,565015.327,125713.81,-151965.842,-596.683,8922.002,44161.945,-338582.178,-1151379.466,55162.701,-25808.218,-28259.563,-439408.12
PAgrAnim,177.39,-212.868,82.782,-23695.993,-72131.977,-59.13,-125355.6,-11902.869,707.431,-58302.18,-16270.329,-110198.925,-78138.403,-2074902.802,-29027.272,-83065.824,-1127.846,-9735339.999,-2000.25,125713.81,27970.855,-33811.835,-132.76,1985.112,9825.869,-75333.276,-256177.65,12273.496,-5742.233,-6287.648,-97766.673
ServAgr,-214.433,257.32,-100.069,28644.279,87194.849,71.478,151532.83,14388.471,-855.16,70477.062,19667.961,133211.081,94455.559,2508191.845,35088.856,100411.943,1363.367,11768310.478,2417.949,-151965.842,-33811.835,40872.55,160.483,-2399.651,-11877.744,91064.655,309673.635,-14836.494,6941.347,7600.658,118182.679
Silvicultura,-0.842,1.01,-0.393,112.47,342.365,0.281,594.983,56.495,-3.358,276.723,77.225,523.044,370.873,9848.242,137.774,394.261,5.353,46207.457,9.494,-596.683,-132.76,160.483,0.63,-9.422,-46.637,357.559,1215.912,-58.254,27.255,29.843,464.036
SupLoc,12.589,-15.107,5.875,-1681.722,-5119.26,-4.196,-8896.58,-844.755,50.207,-4137.749,-1154.717,-7820.9,-5545.54,-147257.392,-2060.087,-5895.243,-80.044,-690924.308,-141.959,8922.002,1985.112,-2399.651,-9.422,140.885,697.349,-5346.459,-18181.118,871.059,-407.531,-446.239,-6938.573
DrumuriM,62.315,-74.778,29.08,-8324.154,-25339.209,-20.772,-44036.11,-4181.353,248.513,-20480.945,-5715.596,-38711.729,-27449.203,-728891.633,-10196.977,-29180.154,-396.2,-3419923.028,-702.667,44161.945,9825.869,-11877.744,-46.637,697.349,3451.725,-26463.791,-89992.527,4311.551,-2017.186,-2208.785,-34344.409
Innoptari,-477.76,573.313,-222.955,63819.885,194271.434,159.254,337617.42,32057.73,-1905.309,157023.951,43820.512,296796.289,210448.404,5588289.082,78178.499,223719.317,3037.601,26219972.408,5387.227,-338582.178,-75333.276,91064.655,357.559,-5346.459,-26463.791,202893.418,689957.508,-33055.93,15465.426,16934.38,263312.783
BugetVenituri,-1624.668,1949.602,-758.178,217025.318,660637.666,541.556,1148098.72,109015.223,-6479.176,533974.216,149015.632,1009282.754,715648.924,19003484.898,265853.09,760777.869,10329.639,89163399.092,18319.756,-1151379.466,-256177.65,309673.635,1215.912,-18181.118,-89992.527,689957.508,2346263.209,-112409.696,52591.586,57586.899,895419.048
BugetSubventii,77.838,-93.406,36.324,-10397.704,-31651.214,-25.946,-55005.52,-5222.93,310.418,-25582.756,-7139.353,-48354.834,-34286.809,-910458.788,-12737.047,-36448.941,-494.894,-4271827.019,-877.701,55162.701,12273.496,-14836.494,-58.254,871.059,4311.551,-33055.93,-112409.696,5385.559,-2519.668,-2758.994,-42899.613
Apa,-36.417,43.7,-16.995,4864.631,14808.22,12.139,25734.68,2443.581,-145.231,11969.054,3340.192,22623.114,16041.3,425963.895,5959.108,17052.867,231.539,1998601.256,410.638,-25808.218,-5742.233,6941.347,27.255,-407.531,-2017.186,15465.426,52591.586,-2519.668,1178.843,1290.813,20070.855
Canal,-39.876,47.851,-18.609,5326.689,16214.751,13.292,28179.04,2675.68,-159.025,13105.912,3657.453,24771.928,17564.953,466423.272,6525.123,18672.602,253.532,2188434.623,449.642,-28259.563,-6287.648,7600.658,29.843,-446.239,-2208.785,16934.38,57586.899,-2758.994,1290.813,1413.418,21977.247
Export,-620.032,744.039,-289.348,82824.724,252123.269,206.677,438156.068,41604.159,-2472.688,203783.907,56869.764,385178.866,273117.558,7252418.354,101459.171,290340.399,3942.165,34027983.578,6991.483,-439408.12,-97766.673,118182.679,464.036,-6938.573,-34344.409,263312.783,895419.048,-42899.613,20070.855,21977.247,341724.351
