,Variance,Proportional Variance,Cumulative Variance
F1,2.125,0.152,0.152
F2,1.637,0.117,0.269
F3,1.573,0.112,0.381
F4,1.475,0.105,0.486
F5,1.266,0.09,0.577
F6,0.205,0.015,0.591
F7,0.155,0.011,0.602
F8,0.131,0.009,0.612
F9,0.06,0.004,0.616
F10,0.053,0.004,0.62
F11,0.042,0.003,0.623
F12,0.031,0.002,0.625
F13,0.002,0.0,0.625
F14,0.0,0.0,0.625
