CountryID,F1,F2,F3,F4,F5
434,-0.47869,-0.21721,-0.07867,-0.18942,-0.10563
438,5.38955,-10.19414,-3.72782,-1.38546,-0.42395
440,0.27761,-0.36781,-0.23199,0.25055,-0.87503
442,4.25097,0.88152,9.36057,1.08161,-5.00657
446,0.64504,0.47023,0.11425,0.03411,-1.85326
450,-0.62622,-0.11034,0.03712,-0.29279,-0.14208
454,-0.62167,-0.10801,0.03028,-0.27606,-0.14607
458,-0.21609,-0.09231,0.03691,0.35437,0.28545
462,-0.27511,0.27438,0.10196,-0.03095,-0.12432
466,-0.61246,-0.09795,0.00052,-0.15747,-0.19121
470,0.65038,0.14294,1.81484,0.02904,-1.01178
478,-0.56058,0.02777,0.08903,-0.02605,0.09106
480,-0.33081,-0.072,-0.07353,-0.23995,-0.19939
484,-0.27329,-0.13898,-0.13913,-0.26816,0.05313
492,7.44397,7.08217,-3.57485,-4.50548,1.12065
496,-0.48607,0.15827,0.20379,0.19101,0.41714
498,-0.46413,0.09438,0.01752,-0.02579,0.03314
499,-0.30432,0.25756,0.01876,0.05852,0.03172
500,-0.02859,0.38259,-0.13346,0.27502,-0.26894
504,-0.50633,-0.00626,-0.0028,-0.00511,-0.00282
508,-0.62401,-0.03754,0.11604,-0.25627,0.03287
512,0.00611,-0.70085,-0.5981,-0.07296,-0.48161
516,-0.48302,-0.06675,-0.04671,-0.07893,-0.12716
520,-0.04918,-0.10417,-0.15718,-0.00513,0.22824
524,-0.59969,-0.03805,0.0383,-0.20448,-0.07981
528,1.32413,0.13125,0.20846,0.71915,-0.91219
531,-0.11652,1.03203,0.98647,-0.28859,2.08137
533,0.37347,0.5925,0.17881,-0.82535,-0.2977
534,0.32917,0.4086,0.67476,-0.68538,-0.6414
540,0.62016,0.50576,-0.87944,0.25141,-0.09799
548,-0.52606,0.01669,-0.11447,0.07639,-0.29706
554,0.96266,0.6482,-1.43923,1.68531,-0.4678
558,-0.56979,-0.11207,-0.01874,-0.16551,-0.20162
562,-0.6232,-0.10456,0.0141,-0.22845,-0.1734
566,-0.56572,-0.0736,-0.06833,-0.03676,-0.18429
578,2.08731,1.12826,-0.16247,2.51172,4.12028
583,-0.51862,0.03632,-0.08643,0.16207,-0.36694
584,-0.40227,0.16822,-0.20199,0.67611,-0.55444
585,-0.13618,0.28545,-0.3776,-0.19789,-0.46694
586,-0.59167,-0.08046,-0.01353,-0.16711,-0.16206
591,-0.07984,0.06432,-0.36694,-0.15842,-0.49621
598,-0.56146,-0.08114,-0.0653,-0.01673,-0.26047
600,-0.42538,-0.09992,-0.13778,0.08859,-0.07655
604,-0.41427,-0.14317,-0.20242,-0.03697,-0.19777
608,-0.51308,-0.13617,-0.10233,-0.21256,-0.22378
616,-0.00217,0.32809,0.32883,0.15292,1.0747
620,0.17855,0.02187,-0.3248,-0.05617,-0.11893
624,-0.61673,-0.09978,0.01105,-0.23567,-0.18065
626,-0.5826,-0.03691,0.00603,-0.15469,-0.14678
630,0.5011,-2.34622,-0.40194,-0.4905,0.77698
634,1.70617,-0.65959,-0.76496,1.09309,3.05141
642,-0.08966,0.08786,-0.07004,0.24622,0.31096
643,-0.23999,0.06171,-0.09982,0.07744,0.45443
646,-0.61427,-0.10051,0.01599,-0.23782,-0.16384
659,0.07868,0.44832,-0.31356,0.00372,-0.1627
660,0.12204,0.44832,0.10755,-0.56267,-0.35879
662,-0.29742,0.18883,-0.01113,-0.48508,0.05928
670,-0.32987,0.19827,-0.11465,0.07317,-0.07586
674,1.41391,-2.41445,1.81679,-0.0369,-1.09768
678,-0.54528,0.04025,0.04901,-0.2129,0.01648
682,0.08897,-0.385,-0.44339,0.36757,0.55765
686,-0.58292,-0.06469,0.03731,-0.18467,-0.05314
688,-0.32288,0.09762,0.05239,0.14999,0.14397
690,-0.19299,0.06551,0.336,-0.07934,-0.34261
694,-0.62687,-0.09686,0.00764,-0.1872,-0.20801
702,2.03559,-1.0331,4.06609,-0.45444,0.41107
703,0.18778,-0.01402,0.52086,0.16085,0.57428
704,-0.4901,-0.13334,0.04462,0.00367,-0.10635
705,0.43037,-0.14124,0.33751,0.36609,0.51973
706,-0.62365,-0.0122,0.10399,-0.19966,0.00634
710,-0.43323,-0.14946,-0.08394,-0.28862,-0.09892
716,-0.59128,-0.08332,0.0486,-0.31163,-0.03956
724,0.34522,0.2387,-0.43326,0.11209,0.16178
728,-0.63046,-0.03913,0.15855,-0.35802,0.12181
729,-0.61713,-0.10681,0.02794,-0.29098,-0.13254
740,-0.43614,-0.05817,-0.00188,-0.02877,0.08729
748,-0.50484,-0.10946,0.02811,-0.11828,0.05311
