,Variance,Proportional Variance,Cumulative Variance
F1,5.348,0.382,0.382
F2,5.331,0.381,0.763
F3,2.47,0.176,0.939
F4,0.127,0.009,0.948
F5,0.099,0.007,0.955
F6,0.041,0.003,0.958
F7,0.037,0.003,0.961
F8,0.023,0.002,0.963
F9,0.011,0.001,0.963
F10,0.009,0.001,0.964
F11,0.004,0.0,0.964
F12,0.002,0.0,0.964
F13,0.0,0.0,0.965
F14,0.0,0.0,0.965
