,Variance,Proportional Variance,Cumulative Variance
F1,4.187,0.299,0.299
F2,3.166,0.226,0.525
F3,3.075,0.22,0.745
F4,1.618,0.116,0.86
F5,0.268,0.019,0.88
F6,0.158,0.011,0.891
F7,0.068,0.005,0.896
F8,0.064,0.005,0.9
F9,0.033,0.002,0.903
F10,0.018,0.001,0.904
F11,0.015,0.001,0.905
F12,0.014,0.001,0.906
F13,0.001,0.0,0.906
F14,0.0,0.0,0.906
