SIRUTA,F1,F2,F3,F4
11762,-0.78952,1.42564,2.26966,0.09775
11842,-0.39027,-0.81807,0.30672,0.02302
11940,-0.2064,-0.59986,-0.30848,-0.40258
11995,0.58032,-0.02083,-0.68857,-0.68501
12037,-0.04436,-0.63408,-0.54364,-0.26161
12055,0.34624,-0.82224,0.00367,1.14858
12091,0.45077,1.27877,1.05523,1.22529
12126,-0.58166,-0.23804,1.3413,-0.66121
12144,-0.57785,-0.64365,-0.74056,-0.21949
12206,0.13483,-1.0367,0.48996,-0.40316
12224,-1.11076,0.82356,-0.03785,1.659
12242,-0.29129,0.7021,0.07984,0.62
12288,0.00868,2.56473,-2.01225,1.04883
12340,-0.5487,-0.7602,-0.26265,-0.0817
12368,-0.47079,-0.91571,-0.73674,-0.04932
12402,0.41728,2.0967,-0.30251,-1.85878
12457,-0.47555,-0.03112,-0.2236,-0.10019
12509,-0.58118,-0.81437,-0.27838,0.10202
12572,-0.18086,-0.677,0.55508,0.81933
12643,-0.20594,-0.40744,-0.22469,-0.48875
12689,0.09312,-0.44668,-0.58172,-0.36973
12778,0.67644,0.03728,-0.992,-1.13309
12812,-0.56381,-0.00827,-0.00891,0.38075
12849,-0.16156,-0.47989,0.11883,-0.08194
12876,2.34948,-1.61725,-1.37827,1.53771
12912,-0.78394,0.0666,-0.3507,-0.19881
12920,0.25776,-1.23093,-0.51708,0.57323
12938,-0.6246,-0.52294,-0.51048,-0.31674
13169,-0.86624,-0.86041,-0.82219,-0.17001
13187,0.08876,-1.02106,-0.52684,0.12449
13276,0.22489,-1.00628,0.10552,1.01807
13301,1.50416,1.05736,0.23776,0.7011
13365,-0.63922,-0.80301,-0.66384,-0.32267
13392,-0.77941,-0.88229,-0.67532,-0.41672
13490,-0.84544,-0.97057,-0.66997,-0.42292
13524,-0.55825,-0.71716,-0.16382,0.00263
13622,-0.95865,0.35358,-1.1771,-0.48644
13668,-0.61497,-0.72477,-0.25994,-0.20368
13757,-0.60698,-0.72882,-0.27409,-0.19846
13819,-0.61907,-0.62038,-0.62894,-0.32041
13891,0.45074,-0.75591,0.17901,0.35891
13935,-0.75273,-0.62477,-0.05658,-0.67492
13999,-0.45478,-0.62819,0.17731,0.40323
14049,1.14713,-0.57475,-0.13482,0.43966
14085,-0.66351,-0.24305,-1.03359,1.89644
14165,-0.13057,0.06378,-0.31524,-0.59815
14272,-0.88732,0.49552,-0.13989,-0.86903
14352,-0.47465,0.89965,-0.46357,0.17241
14405,1.86488,1.62862,0.93606,0.73622
14450,0.08763,0.56507,-0.47085,0.51602
14584,0.06494,-0.55585,-0.0427,-0.6525
14673,0.34785,-0.63063,0.94853,0.39571
14726,-0.11911,3.77109,-0.04565,-0.3461
14753,-0.10843,0.84548,1.88367,1.80876
14851,-0.64995,-0.43859,-0.71571,-0.35693
14922,-0.68752,1.06242,-0.8435,-0.76084
14940,-0.56491,0.20272,-0.43813,-0.43577
15064,-0.35116,0.43067,0.07186,-0.6386
15108,-0.56129,-0.72205,-0.16533,-0.19259
15233,-0.39774,-0.47063,-0.9937,0.22675
15313,-0.93844,0.80696,0.27345,0.17823
15402,0.90498,-0.52216,0.42676,0.228
15448,0.35883,0.63395,0.64351,-0.97761
15493,-0.26902,0.52544,-0.11325,-0.37835
15554,0.00417,0.86923,2.82705,-1.66854
15652,-0.57357,1.81621,-0.88075,-0.85851
15741,-0.48439,0.37414,-0.77735,-0.40518
15830,-0.20306,-0.20573,0.18892,0.85163
15901,-0.53277,-0.70491,0.5017,0.87526
15983,-0.53141,-0.46099,-0.02743,-0.30645
16132,0.52866,-1.14602,-0.45888,1.16315
16285,0.56282,-1.01174,-0.5745,0.46972
16329,-0.4201,-0.52762,1.44165,0.25644
16365,1.45299,-0.76263,0.26202,0.14549
16427,-0.42561,0.47466,0.74861,-1.23786
16454,-0.59115,-0.34366,-0.674,-0.03004
16472,-0.45664,-1.18006,1.34266,1.76012
16506,-0.4494,-0.46942,-0.69584,-0.10835
16551,-0.23967,-0.36049,-0.27099,-0.43138
16613,0.00308,0.4636,-0.29488,-0.61377
16659,0.31314,-0.79726,0.18533,1.20987
16739,-0.27114,-0.60197,0.01351,0.06807
16757,-0.37982,-0.99767,-0.13382,-0.21319
16908,-0.33046,0.5233,-0.2778,-0.4381
16944,-1.01954,0.55254,0.05693,1.14887
17049,-0.55123,0.18015,0.51369,0.30256
17101,-0.87062,-0.56419,-0.32727,0.3945
17209,0.81137,-0.70177,0.49912,-0.91514
17254,-0.80094,0.072,-0.05523,-0.41377
17334,-0.09935,0.67303,-0.19548,-0.13638
17398,0.76762,2.25342,-0.41491,-1.02605
17423,0.51283,-0.6945,-0.16679,0.12031
17496,-0.9297,0.12043,-0.3778,-0.76667
17575,-0.09083,-0.00646,1.96781,3.37331
17619,-0.71589,1.94508,-1.48745,-0.18233
17726,-0.13711,0.07874,0.42752,-1.19269
17771,3.38836,-0.47554,2.23667,1.60998
17824,0.49323,-0.22449,-0.41529,0.83169
17851,-0.22024,0.40925,0.50532,-0.68754
17913,1.4219,0.08705,1.20933,0.42383
17968,-0.11112,0.39158,-0.63103,-0.05101
18028,-0.02704,0.16074,-0.63356,-0.46948
18162,-0.25494,2.93991,-1.03194,-0.01136
18242,0.58393,-0.3353,-0.43551,-0.41685
18331,0.20247,-0.17008,0.32626,-1.15824
18411,-0.08439,0.16919,0.66339,0.97628
18475,-0.31315,-0.03511,-0.28857,-0.45856
18527,-0.5791,-0.94317,-0.40547,-0.28106
18554,2.2162,-0.51751,-1.4651,-0.34989
18581,-0.90539,0.46933,-0.31305,0.94267
18670,-0.05368,-0.77742,-0.36093,0.07464
18741,-0.18957,-0.36851,-0.10295,-0.44937
18778,-0.68905,-0.31259,-0.4144,-0.34115
18858,0.69439,-0.23152,-0.35765,-1.16739
18938,-0.31845,0.71443,-0.38799,-0.75102
19007,-0.24023,-0.27567,-0.23431,-0.35972
19114,-0.08586,0.61506,-0.71453,0.06741
19141,-0.1329,0.36615,-0.9921,0.14703
19212,0.28162,1.67046,-0.19289,-1.14507
19249,0.63447,-0.09706,1.25915,-0.40264
19338,-0.22848,0.32857,-0.37992,-0.34101
19392,0.94079,-0.82867,-0.01049,0.10822
19560,-0.66858,0.74359,-0.50573,0.92632
19631,-0.10902,0.4345,-0.64953,-0.83238
19695,-0.69647,-0.6278,-0.47775,-0.30326
19793,-0.40908,0.03734,-0.39048,0.32108
19999,-0.39696,-0.2787,-0.10275,0.04999
20048,0.67395,2.83079,-0.61961,-1.41762
20055,-1.17632,1.97027,-0.96207,-0.07784
20063,-0.48307,-0.22948,0.10217,-0.40152
20297,-0.56214,-1.08288,-0.70983,-0.41037
20313,0.05965,-1.10604,-0.72828,0.36758
20359,-0.8462,-0.69234,-0.63639,-0.38481
20411,-0.22687,-0.70492,-0.3349,-0.50802
20466,-0.71778,-0.80767,-0.60493,-0.4689
20563,-0.64176,-0.91406,-0.73486,-0.62138
20607,-0.22376,0.01643,-0.828,2.08375
20670,-0.61888,2.08994,-1.00005,-0.57325
20778,-0.52443,-0.84918,-0.71052,-0.39253
20821,-0.41873,-0.98454,-0.49081,-0.2451
20876,-0.90775,-0.7873,-0.65852,-0.4071
20910,0.15609,-0.65728,-0.72434,-0.45999
20965,-0.77369,-0.63959,-0.11145,-0.21604
21007,-0.86233,1.05932,-0.30682,-0.11395
21098,0.65313,0.11616,0.01148,0.244
21123,-0.37292,-0.75045,-0.4907,0.47373
21196,0.01837,0.38198,0.01711,-0.53016
21249,0.8859,-0.54236,0.43035,0.23887
21338,-0.0331,0.40031,0.28183,-0.25278
21418,-0.70373,0.21363,1.61164,0.38279
21454,0.66,-0.16701,-0.24305,-0.34045
21506,2.41605,-0.49444,0.84683,-0.4238
21560,0.22611,-0.4371,0.58389,0.35131
21597,0.02781,2.00984,-1.18476,-0.776
21668,2.09481,-0.51464,-0.19834,-2.78863
21720,-0.39501,0.21266,-0.80141,-0.64728
21757,-0.09797,-0.42382,-0.21586,-0.65236
21855,-0.36088,0.29001,-0.78369,-0.74848
21971,0.45055,-0.04981,0.15896,-0.72455
22059,0.87104,-0.49348,0.49301,0.72806
22111,1.45749,0.46469,1.20546,0.20622
22166,-0.7882,-0.70369,-0.59783,-0.39649
22237,0.73291,0.97839,0.10564,1.74408
22380,-1.03667,1.32665,0.94084,0.56157
22460,-0.51834,-0.20585,-0.46029,-0.02413
22488,-0.29237,0.2327,-0.18304,-0.25692
22576,-0.65406,-0.44933,-0.47822,-0.35568
22665,-0.49458,-0.09194,1.51956,1.07093
22718,-0.1622,-0.60374,-0.26224,0.0605
22781,-0.18807,-0.59201,0.35936,-0.32708
22834,-0.22819,1.79888,-1.37998,-0.33024
22898,-0.37971,-0.48288,-0.43894,0.49543
22941,-0.62433,1.5496,-0.16095,-0.24151
23047,-0.05251,1.1573,0.04548,1.11257
23127,1.21484,0.49335,-0.41326,0.83684
23207,-0.29122,-0.29331,4.03975,-0.07576
23289,0.53243,0.51743,-1.20523,-0.01927
23350,-0.81776,-0.01629,0.03694,0.1297
23387,0.26724,-0.45894,-0.57202,-0.455
23449,-0.55407,-0.14982,-0.44294,-0.09285
23494,-0.05137,-0.39959,-0.2094,-0.0821
23644,0.37788,1.32207,2.59578,0.55281
23715,-0.64583,-0.66283,-0.78699,-0.44832
23797,-1.4997,2.50453,1.65022,-1.68812
23868,-1.9388,1.77404,5.56216,-2.40485
23948,-0.49295,-0.26846,-0.23626,-0.22008
23975,0.73038,0.43781,-0.3637,-0.35514
24034,0.03016,-0.39861,-0.35391,-0.02427
24089,2.15957,-0.26582,0.34537,1.64646
24187,-0.23581,-0.09413,-0.42214,0.82091
24276,0.65408,-0.45613,0.35709,0.50156
24338,-0.12651,-0.07087,-0.21486,0.20894
24427,0.54623,-0.29229,-0.63849,-0.0309
24524,-0.09433,-0.20942,-0.27381,-0.22242
24631,0.56859,-0.62142,0.42337,0.47373
24711,-0.59209,-0.60937,-0.61132,-0.05162
24766,-0.34111,-0.42585,-0.50663,-0.10991
24837,-0.50944,1.14937,0.97656,0.17365
24999,-0.64233,0.96464,1.08086,0.16458
25068,-0.65159,-0.53146,-0.4691,-0.12452
25148,-0.22934,-0.21345,-0.3354,-0.39891
25228,-0.81332,-0.42694,-0.33617,-0.6273
25291,0.21723,-0.17294,1.18949,-0.40492
25362,-0.27812,0.91189,-0.44589,0.30087
25488,0.64298,0.97669,-0.00453,0.68036
25521,-0.45613,1.41052,-1.03801,-0.42018
25629,0.11505,2.14817,-0.11429,-0.90933
25692,-0.29133,0.19445,0.1466,-0.98583
25745,4.92023,0.85799,-1.24607,0.8787
25825,0.57055,-0.36525,0.61176,0.41567
25861,-0.65694,-0.60826,-0.5101,-0.19643
25932,-0.37098,0.11502,1.46167,0.58057
26029,-0.26114,-0.61466,-0.5027,-0.56612
26083,0.71158,-0.38659,-0.56304,-0.47071
26118,2.36223,0.36294,0.83167,-2.16681
26289,-0.67907,-0.50065,-0.09028,0.27303
26320,-2.10793,1.54186,2.97555,-1.0145
26338,-0.26601,-0.78243,0.59207,-0.46695
26346,-0.0324,-0.05323,0.03511,-0.17672
26353,1.7852,-0.56513,0.93732,-0.81046
26361,2.99814,-0.41704,-1.25208,-1.121
26379,-0.35809,-0.28402,0.96082,-1.19982
26564,-0.96912,-0.9916,-0.68003,-0.43414
26582,-0.40459,-0.20775,-0.81844,-0.12564
26653,-0.59981,-0.81674,-0.423,-0.13604
26699,-1.07697,-1.09437,0.15729,0.16857
26742,-0.51685,-0.09303,-0.38523,-0.09885
26804,-0.82302,-0.93154,-0.54372,-0.53879
26840,-0.11988,0.0503,-0.72447,-0.23217
26877,-0.98186,-0.33743,-0.14671,0.27314
26920,0.21864,0.13526,-1.26179,0.42051
26975,-0.63192,-1.00654,-0.6124,-0.25155
27007,-0.59582,-0.19791,-0.64884,-0.31718
27070,-0.24316,-0.42539,-0.37701,-0.31316
27169,-0.52239,-0.31201,-0.40506,-0.35169
27212,-0.09545,-0.76673,-0.15859,-0.42483
27285,0.91736,-1.18467,-0.11392,0.76413
27329,-0.29846,0.00035,-0.42301,-0.39389
27383,-0.48429,-0.59284,-0.49845,-0.55982
27436,-1.01699,-0.15534,-0.69002,-0.53774
27506,-0.00335,1.46456,0.19231,-0.7535
27560,0.50684,-0.67357,-0.64108,-0.60601
27631,-0.22296,0.88305,-1.07941,-0.86634
27686,-0.23028,-0.40881,-0.3611,-0.1219
27757,-1.28589,3.9813,-1.24381,-0.90675
27846,-0.42418,-0.89445,-0.58207,0.15765
27908,-0.53905,1.19353,-0.12449,1.1129
27935,-0.66411,-0.5062,-0.39062,-0.45376
27971,-0.81001,-0.15298,-0.78253,0.18389
28077,0.00423,-0.14944,-0.65118,-0.23057
28139,0.59563,0.98701,0.00048,-1.7402
28193,-0.46139,0.07715,-0.44823,-0.50529
28246,-0.23898,-0.59901,-0.56926,-0.02393
28335,-0.58004,-0.23826,0.18107,-0.80035
28415,-0.8294,-0.44253,-0.29041,0.39675
28497,0.54662,-0.65983,-0.27784,-0.5953
28530,0.23867,0.39223,-0.20927,-0.02822
28610,-0.39032,-0.5175,-0.58504,-0.25238
28665,-0.02801,0.3203,-0.65459,-0.76852
28709,-0.43302,-0.63153,-0.54929,-0.33934
28763,-0.31533,-0.45621,-0.32908,0.45479
28816,-0.38834,-0.10756,0.58363,1.33235
28889,0.37342,0.90356,-1.08818,1.66591
28941,0.06695,-0.88337,-0.12683,0.07632
29001,0.17002,0.54452,-0.37136,0.73498
29038,-0.63388,0.16251,0.29846,-0.33225
29092,-0.87711,-1.31945,0.02057,1.26463
29154,-0.55303,-0.6103,-0.52177,-0.22786
29243,0.80433,1.34434,0.30281,0.33051
29341,-0.60572,-0.63897,0.01255,-0.06569
29403,-0.64932,-0.42626,-0.5832,-0.3233
29467,-0.78535,-0.30536,-0.58187,-0.04254
29519,-0.65617,-0.48768,-0.42199,-0.23373
29573,-0.62928,-0.61957,-0.39848,-0.54461
29662,-0.29212,-0.37836,0.34616,-1.06523
29724,-0.66353,-0.63217,-0.27717,0.14245
29760,-0.10063,-0.14978,-0.57389,0.17213
29813,-0.80404,2.14666,-1.17105,-0.92243
29902,-0.053,-0.85869,-0.65817,-0.72278
29948,-0.73324,-0.49089,-0.62423,-0.39212
30014,-1.51083,-1.19476,3.33414,0.48812
30069,-0.40185,-0.45819,-0.65497,-0.20534
30149,-0.79992,-0.70992,-0.53999,-0.3339
30229,-0.61957,0.83462,0.43188,0.171
30274,-0.76948,-0.77059,-0.44469,-0.3502
30336,-1.41338,1.72076,0.36864,0.61673
30416,-0.60689,-0.3036,0.19391,-0.77238
30470,-0.39736,-0.49345,0.36046,-0.07759
30568,-0.50803,-0.8046,-0.38881,-0.5377
30648,-0.60028,-0.7152,-0.69859,1.12836
30719,-0.73533,-0.18051,-0.44333,-0.43939
30773,-0.56523,0.18896,-0.20381,0.08787
30844,0.68201,-0.87994,-0.46652,-0.59888
30871,0.75436,1.33862,0.19039,-0.42883
30915,-0.89366,-0.4525,-0.42876,0.0851
30988,0.66224,-1.43883,2.52399,-1.40631
31011,-0.0569,-0.89255,-0.10691,-0.58306
31057,-0.47988,1.16147,-0.40591,-0.60775
31128,-0.79292,0.27138,-0.33907,-0.14335
31208,-0.44234,1.68337,0.01021,-0.49822
31262,-0.63955,-0.55726,-0.44807,-0.43749
31333,-0.19055,-0.48907,0.34053,0.10895
31379,-0.44282,1.5169,-0.15543,0.53075
31422,-0.62818,0.29139,0.8189,0.04993
31510,0.43229,-1.08776,0.47412,-0.88398
31565,0.574,0.75792,0.9022,0.44275
31609,0.19392,-0.41274,-0.47591,-0.44471
31654,-0.3297,-0.7843,-0.21058,0.31576
31716,-0.19131,-0.40143,-0.66423,-0.50206
31789,-0.794,-0.84869,-0.57163,-0.42856
31841,-0.8652,-0.18076,0.05551,0.33445
31878,-0.06645,0.0229,0.06095,-0.66019
31921,-0.50067,0.5818,-0.44533,-0.41532
31976,-0.61306,-0.73986,-0.60449,-0.36094
32027,1.73643,0.7948,1.06789,0.81633
32045,-0.56904,0.35488,-0.31131,1.7753
32090,-0.56206,-0.04868,-0.06708,-0.23439
32153,-0.11952,-0.80926,-0.74584,-0.32656
32161,-0.7041,-0.77216,-0.72549,-0.40557
32179,-0.11643,0.07869,0.45783,-0.46011
32187,0.09942,-0.85899,-0.82085,0.25143
32195,-0.26572,-0.6177,-0.16977,-0.2981
32201,0.10287,0.1198,-0.30709,-0.21763
32394,-0.77739,-0.81336,-0.81382,-0.1039
32483,-0.90814,-0.37828,-0.55087,-0.31737
32544,-0.74051,-0.94435,-0.58607,-0.16712
32599,-0.22177,-0.79527,-0.74966,-0.56736
32633,-0.79089,-0.14742,-0.12025,-0.47536
32660,-0.5778,-0.51364,0.49989,-0.83434
32704,-0.60511,-0.36991,-0.22527,0.31109
32811,0.46935,-0.742,-0.64359,1.57956
32884,-0.61022,1.0659,0.93656,1.53365
32955,-0.78503,0.00667,-0.30836,1.14158
33015,-0.77603,-0.14759,0.20385,-0.06624
33122,-0.26869,-0.50598,-0.31439,0.04032
33177,-0.19259,-0.18754,0.32653,-0.07831
33202,-0.70791,-0.05335,-0.55444,-0.18403
33248,-0.66708,-0.79145,-0.48019,-0.1235
33275,1.89671,-0.68989,-1.1333,-0.79409
33337,-0.55063,-0.00959,-0.14457,0.40886
33364,-0.33027,0.1522,1.22659,0.47329
33382,-0.29152,-0.69857,-0.9277,0.70429
33435,-0.86359,-0.72559,-0.36801,-0.39201
33514,-1.28498,1.15589,0.50701,-0.32309
33541,0.0828,-0.82405,-0.54819,-0.29251
33603,-0.13079,1.80693,0.17019,1.51096
33621,0.71675,-0.76497,-0.41774,0.5788
33658,-0.27318,-0.64264,0.46166,0.51462
33729,0.21508,1.45586,-0.07207,-0.27851
33765,2.12666,-1.01273,0.17755,-2.09659
33845,0.04478,1.70042,2.18826,1.23008
33881,-0.61211,0.6469,2.56336,0.49545
33952,0.94663,1.76837,-0.27575,0.55424
33989,-0.1546,-1.09235,-0.45282,1.81517
34075,-0.51075,-0.21848,-0.48086,-0.34159
34155,0.5223,-0.14809,0.8243,-0.36609
34173,0.27826,-0.49071,-0.64291,0.43092
34235,-0.58771,-0.46798,-0.6248,-0.38958
34262,0.25386,-0.67896,0.66367,0.56243
34280,-0.08584,-0.81379,0.09421,0.27339
34333,-0.31908,-0.62078,-0.11629,-0.85961
34360,-0.421,0.74894,0.96914,0.19429
34397,0.11351,-0.96433,1.38964,0.00853
34422,2.25859,-0.34194,0.86138,1.94634
34477,-0.21548,1.77527,0.30288,-0.81496
34547,-0.56059,1.08589,-0.55064,-0.69997
34618,0.66048,-0.4845,0.14037,-0.35728
34645,0.81846,-1.08739,0.11091,0.03006
34690,0.65512,-0.37463,-0.96342,-0.81054
34770,0.61756,-0.19267,-0.46664,-0.36262
34850,-0.18594,-0.61217,0.11058,-0.11194
34903,-1.04374,0.23436,-0.4187,-0.29411
34985,0.04325,-0.89029,-0.23629,-0.07777
35054,-0.62616,-0.20035,-0.22031,-0.48818
35090,-0.12053,-0.38598,-0.40954,-0.47453
35152,-0.1889,0.99886,0.10401,0.03863
35269,0.8969,-1.126,-0.44652,1.04854
35312,1.24172,-0.00198,1.95775,-0.24631
35429,-0.78197,-0.45252,0.38837,0.27845
35731,-0.81173,-0.90519,-0.69796,-0.34417
35759,-0.98866,1.64046,-1.57146,-0.27651
35839,-0.50377,-0.42782,-0.11711,0.35234
35884,-0.85981,0.27215,0.41271,-1.24529
35946,-0.08057,-0.95686,-0.48443,0.1088
36006,-0.82,-0.68624,-0.57331,-0.2236
36060,-0.46933,-0.43585,-0.15902,0.01644
36131,-0.27275,0.01743,-0.35385,0.55689
36202,0.57412,0.29249,0.49506,0.54231
36300,0.04015,-0.52936,-0.1715,-0.50529
36373,-0.0557,1.82172,-1.0238,-0.49566
36426,-0.7657,-0.00733,0.09006,-0.12026
36453,-0.6998,-0.57564,-0.29145,-0.27128
36499,1.83792,-0.10408,0.39319,1.16941
36532,1.22829,-0.11456,0.55218,0.95887
36569,-0.605,0.01584,-0.18199,0.03627
36649,1.46815,0.56616,0.48881,-0.51098
36676,2.15794,1.00802,1.97785,0.29054
36756,1.31158,-0.14841,-0.74471,2.68936
36809,-0.24395,0.05903,-0.71796,0.04871
36952,1.73167,1.65728,-0.24412,0.72898
37011,-0.10283,0.16926,-0.51696,-0.56451
37057,1.62044,-0.57562,0.43356,-0.78482
37173,1.26646,1.95699,1.99165,0.27509
37217,-0.30972,-0.50944,1.36347,-0.33201
37280,-0.81484,0.07235,-0.69895,-0.08301
37324,-0.58602,-0.491,0.16849,0.26313
37397,-0.57272,3.93896,-1.08273,0.43385
37459,-0.31163,0.13301,0.66277,-0.36776
37547,0.35269,-0.29423,-0.61055,-0.89681
37618,2.37374,1.3249,-0.22492,1.61103
37672,0.84665,0.98318,-1.2296,-0.99799
37734,0.39233,0.9188,-0.8875,0.27116
37770,-0.58584,-0.44465,0.35191,-0.30136
37823,1.03726,-0.11024,0.15725,-1.01879
37850,-0.15566,0.9961,-0.46638,-0.13536
37912,1.05907,1.47061,-0.18257,-1.24059
37958,-0.33794,0.36263,2.07723,-0.85408
38063,-1.17015,-0.47606,0.79555,-0.67374
38161,0.14232,0.57711,-0.52017,-0.40439
38241,0.05404,1.78058,-0.22733,-1.16534
38321,1.19814,0.65362,0.47297,-1.39001
38456,-1.37999,2.4208,1.58454,5.58131
