Siruta,Localitate,Categorie_Max,Categorie_Min
57706,Floresti,Barbati_35-44,Barbati_18-24
100353,Valea Lupului,Barbati_35-44,Barbati_18-24
143557,Selimbar,Barbati_35-44,Femei_18-24
155261,Dumbravita,Barbati_35-44,Barbati_18-24
155314,Giroc,Barbati_35-44,Barbati_18-24
157834,Mosnita Noua,Barbati_35-44,Femei_18-24
179249,Chiajna,Barbati_35-44,Barbati_18-24
