Siruta,Localitate,Categorie_Max,Categorie_Min
11398,Macea,Barbati_45-64,Femei_18-24
11423,Misca,Barbati_45-64,Femei_18-24
11478,Moneasa,Barbati_45-64,Femei_25-34
11502,Olari,Barbati_45-64,Barbati_18-24
11539,Paulis,Barbati_45-64,Barbati_18-24
11584,Oras Pecica,Barbati_45-64,Femei_18-24
11637,Peregu Mare,Barbati_45-64,Femei_18-24
11664,Petris,Barbati_45-64,Femei_18-24
11735,Pilu,Barbati_45-64,Barbati_65_
11762,Plescuta,Barbati_45-64,Femei_18-24
11842,Savarsin,Barbati_45-64,Femei_18-24
11940,Secusigiu,Barbati_45-64,Femei_18-24
11995,Seleus,Barbati_45-64,Femei_18-24
12037,Semlac,Barbati_45-64,Femei_18-24
12055,Sintea Mare,Barbati_45-64,Femei_18-24
12091,Oras Santana,Barbati_45-64,Barbati_18-24
12126,Socodor,Barbati_45-64,Femei_18-24
12144,Sagu,Barbati_45-64,Femei_18-24
12206,Seitin,Barbati_45-64,Femei_18-24
12224,Sepreus,Barbati_45-64,Barbati_18-24
12242,Sicula,Barbati_45-64,Femei_18-24
12288,Silindia,Barbati_45-64,Femei_18-24
12340,Simand,Barbati_45-64,Femei_65_
12368,Siria,Barbati_45-64,Femei_18-24
12402,Sistarovat,Barbati_45-64,Femei_25-34
12457,Taut,Barbati_45-64,Femei_18-24
12509,Tarnova,Barbati_45-64,Femei_18-24
12572,Varadia De Mures,Barbati_45-64,Barbati_18-24
12643,Vinga,Barbati_45-64,Barbati_18-24
12689,Varfurile,Barbati_45-64,Femei_18-24
12778,Zabrani,Barbati_45-64,Femei_18-24
12812,Zarand,Barbati_45-64,Femei_18-24
12849,Zerind,Femei_45-64,Femei_25-34
12876,Zimandu Nou,Barbati_45-64,Femei_18-24
12912,Dorobanti,Barbati_45-64,Femei_18-24
12920,Frumuseni,Barbati_45-64,Femei_18-24
12938,Zadareni,Barbati_45-64,Femei_18-24
13169,Municipiul Pitesti,Femei_45-64,Femei_18-24
13187,Bascov,Barbati_45-64,Femei_18-24
13276,Bradu,Barbati_45-64,Femei_18-24
13301,Oras Mioveni,Barbati_45-64,Femei_18-24
13365,Maracineni,Femei_45-64,Femei_18-24
13392,Oras Stefanesti,Barbati_45-64,Femei_18-24
13490,Municipiul Campulung,Femei_45-64,Femei_18-24
13524,Valea Mare Pravat,Barbati_45-64,Barbati_18-24
13622,Municipiul Curtea De Arges,Femei_45-64,Femei_18-24
13668,Oras Costesti,Barbati_45-64,Femei_18-24
13757,Oras Topoloveni,Barbati_45-64,Barbati_18-24
13819,Albestii De Arges,Barbati_45-64,Femei_18-24
13891,Albestii De Muscel,Barbati_45-64,Femei_18-24
13935,Albota,Barbati_45-64,Femei_18-24
13999,Aninoasa,Barbati_45-64,Femei_18-24
14049,Arefu,Barbati_45-64,Femei_25-34
14085,Babana,Barbati_45-64,Femei_18-24
14165,Baiculesti,Barbati_45-64,Femei_18-24
14272,Balilesti,Barbati_45-64,Femei_18-24
14352,Beleti-Negresti,Barbati_45-64,Barbati_18-24
14405,Berevoesti,Barbati_45-64,Barbati_18-24
14450,Barla,Barbati_45-64,Femei_18-24
14584,Bogati,Barbati_45-64,Barbati_18-24
14673,Boteni,Barbati_45-64,Femei_18-24
14726,Botesti,Barbati_45-64,Femei_18-24
14753,Bradulet,Femei_45-64,Barbati_18-24
14851,Budeasa,Barbati_45-64,Femei_18-24
14922,Bughea De Jos,Barbati_45-64,Femei_18-24
14940,Buzoesti,Barbati_45-64,Femei_18-24
15064,Caldararu,Barbati_45-64,Femei_18-24
15108,Calinesti,Barbati_45-64,Barbati_18-24
15233,Cateasca,Barbati_45-64,Femei_25-34
15313,Cepari,Barbati_45-64,Femei_18-24
15402,Cetateni,Barbati_45-64,Femei_18-24
15448,Cicanesti,Barbati_45-64,Femei_18-24
15493,Ciofrangeni,Barbati_45-64,Femei_18-24
15554,Ciomagesti,Barbati_45-64,Femei_18-24
15652,Cocu,Barbati_45-64,Femei_18-24
15741,Corbeni,Barbati_45-64,Femei_18-24
15830,Corbi,Femei_45-64,Barbati_18-24
15901,Cosesti,Barbati_45-64,Femei_18-24
