,F1,F2
2008,0.8058872639028151,0.46925278895189876
2009,0.8038807404240138,0.4639214090088282
2010,0.8306185483992625,0.47925653564329157
2011,0.8319763171287506,0.49745480915222784
2012,0.8015554424981334,0.5414089745756271
2013,0.7696423570016199,0.5809893983428489
2014,0.742130925805934,0.6135548886804524
2015,0.6837444323564463,0.6723111921295741
2016,0.6397115542723817,0.7211955375544711
2017,0.5893760739789041,0.7693804051444906
2018,0.5402944872336574,0.814284830096789
2019,0.5134897419147668,0.835089046359331
2020,0.48769187052920865,0.8360700010470056
2021,0.4858658647755503,0.8200983130915588
