,Varianta,Procent varianta,Procent cumulat
F1,3.5369683438270068,20.805696140158865,20.805696140158865
F2,2.3237514580431724,13.669126223783367,34.47482236394223
F3,2.0893491608821115,12.29028918165948,46.76511154560171
F4,1.4920190057278597,8.776582386634468,55.54169393223618
F5,1.221634134395279,7.186083143501641,62.72777707573782
F6,0.9936809493681692,5.845182055106878,68.57295913084471
F7,0.8692233047366716,5.1130782631568925,73.68603739400159
F8,0.6451199024495737,3.794822955585728,77.48086034958732
F9,0.5681085608100498,3.341815063588528,80.82267541317584
F10,0.4749907013447139,2.7940629490865523,83.6167383622624
F11,0.3424743940411965,2.0145552590658617,85.63129362132827
F12,0.25007572599622846,1.4710336823307557,87.10232730365902
F13,0.1914262963123996,1.1260370371317623,88.22836434079079
F14,0.12855158984604373,0.7561858226237866,88.98455016341458
F15,0.10326108428180839,0.607418142834167,89.59196830624875
F16,0.06429386208166153,0.37819918871565605,89.9701674949644
F17,0.0,0.0,89.9701674949644
