Indicativ,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,C14,C15,C16,C17
ab,1.2813117592149732,0.2556219514190581,1.3393700955437993,2.8494496847651956,0.6121614303002116,7.793350932038067,1.106622631389326,3.47575733278678e-05,10.245869905519232,0.13453467830044286,0.13314411299174012,0.6941619986292046,0.7178438311100829,0.14614708062088003,0.0789228668440462,0.5094090086797853,29.757485296643843
ar,0.13280619383219985,1.5042516224447613,1.439354273625352,0.049126082790545776,4.440571160518868,0.1091060922923358,0.9352163097620777,1.5564737967022562,1.0222616037547647,1.6212341675691917,1.5838683009116774,0.781156464856626,1.0628898404367877,0.300155636543528,1.3873799176296044,1.5241504474387613,0.20205331446395242
ag,0.09265023589079711,8.052002659670544,0.22421595915968834,3.9574639159548113,0.06468804739303674,0.00038948130201251635,6.46174936557584,0.4453723930678531,1.1936330021075163,0.7066094215013595,2.7931360621647263,0.17257221256261293,0.23649531218445247,5.150469021655821,0.7576726781933549,0.12891705847144705,6.324048405180385
bc,1.7710945926157617,3.629285301002749,2.560857055715691,3.5707573006437374,5.404638652358903,3.423010228880568,0.46174027360119696,6.8643661129676765,0.4398128230149309,0.15289911609780715,5.38011530206238,11.310226321439073,1.291970316530236,1.0769097720734488,0.9532222020179437,3.3831500477904086,4.403350350812499
bh,1.0220182364470072,1.2914441377039534,0.03597585042668455,14.126664796217554,17.195222398137023,5.42625924010554,3.479464258328934,1.379378892543468,1.5071671160820281,0.1284767979470028,3.0702410944071086,0.0227009779357517,1.418913445989185,0.013441286999068198,1.1604036869671839,0.04721134780037376,0.32853047291330806
bn,3.7454977217665615,4.561261447482353,2.502444175524703,16.74328452675214,3.316557089684266,4.382960732725122,9.006673380910065,0.182528920168161,0.004282707639890472,0.43153755672257327,0.792305538030722,0.12060005716027675,0.13197391932236516,2.2075020752182026,1.5308349071340013,0.6109591181465812,6.106043737558887
bt,3.2081140298510324,5.03998032490193,0.39153032359257633,0.5997469266377976,1.6549630010922356,3.3558596506464484,2.633542166193878,1.7255631974375387,0.6020295127565713,1.7560342789415557,0.6029783947530426,5.536982524856217,0.022953822718769043,0.9254045460268402,0.7562565249519484,4.65772575997683,1.0571926831963423
br,6.732674384226479,0.3565201710469635,2.601802117967855,0.002562417003707017,10.779946593909,0.021010688962754695,2.711243935815143,3.2375785731706688,4.136832224665263,1.769308678202122,0.4034660540888488,0.32248610049108195,3.366558089166133,2.3839171959763985,1.1248324764859605,0.05622412735427671,0.9796110036932935
bv,3.0205521983315666,1.3383800684137128,0.2918472521693025,0.16933326036499166,4.930413903630972,0.5901393636688784,7.547879298319809,3.32645528802961,2.4358807287764828,0.6509580733163987,0.08425191182874323,1.1693271030227108,0.5023632289342438,1.4982786369871524,0.005046142063925553,0.9725724282152912,0.5534778434319108
bz,3.477317952064992,2.9300090128183176,3.8491703018249295,0.506489607543255,0.8714116212997197,1.3921116760601024,1.969492426198924,6.335968468806841,6.611494798478464,1.558501816263594,0.0489792187580896,0.2536456145716043,2.4156465101423374,0.09555657765498231,0.7345991858764305,1.2548514042565437,4.2453728403919735
cl,3.225340448551582,15.954744308639542,0.3420697959841516,0.11558927307330587,0.00016768219448419966,0.03330218935175938,4.195552808153344,0.04038062820430528,5.420014050271635,1.6727494580716458,0.8070548774497506,5.891285392704209,1.5461304633663568,0.05366671378572645,9.05783348317729,3.0447614943687222,6.020578349940924
cs,0.5140024024633069,4.8017109612643365,0.07393513184232,2.68596023222833,0.002007549396420116,0.024427704458813013,21.588886621583864,11.103545596438831,8.34967571699848,0.7997655241609811,1.204323960909264,13.61836507705394,0.08051299048621195,0.17210062724255618,0.6285243723847749,0.11351370363217382,0.3303889479614515
cj,4.542697805181305,0.04289347062405548,0.11645403308687252,0.6120562894797248,0.12068795627987745,0.3855719789559838,1.7810265188051304,0.9721159567387302,0.0028205539771797477,1.910996284102585,1.2110050115600017,0.16481610004043165,11.172342477517425,5.371684552440783,6.270878458779683,1.7864500760437958,1.9419988411074849
ct,0.649134549403515,0.4490308299962373,0.02644597458495143,1.9764234858167131,0.06663491450458309,0.11740196174895418,5.085911859798961e-05,0.06458240509883115,1.7754798098752878,2.37102950100031,1.2815493558555815,5.282054435357325,0.6967296040776257,5.991071640567131,3.5193319395162344,2.5586904830492045,0.24543676014221238
cv,0.3067984996039587,0.0027902527122225713,0.02948116428164684,1.7831193561351195,0.16974839724763563,0.43451912911031815,0.6992659447456964,0.5897811082397499,1.239324738095069,6.9491855752793,0.5178899379700999,0.00144288246801165,5.997269367454256,3.891349007561577,7.5050548382345,0.07620750481379897,0.26650938960342907
db,0.13045732921145256,13.781033840113851,0.7169322008711364,0.229416431675082,0.04142402139854905,4.964869638127307,0.30604007307806846,10.01247935370783,1.9630000149110312,0.8760812498204132,0.05565578438962259,0.6072027107005469,3.8594744679993496,0.15356792353702856,0.2773801448723266,0.6751782594793005,0.2702345629633596
dj,0.3541199463257534,2.1789983914667963,3.5895273440031237,0.29193059032280005,0.19601843454548998,2.0820935781339798,5.673468698632539,1.1580072332732279,0.8313917064193492,2.658945290212025,1.0441736720766361,1.9739086554231362,4.159024404812368,0.5794897137879722,1.1794947279203278,5.773366218345168,0.6584056838265977
gl,2.059663660101234,2.124933191487991,1.7967470875025289,0.951554071688779,1.2418398867195144,0.1482037923957301,0.13729037666017535,0.014390144936762873,14.277804907035941,0.6120257739144688,4.347567818811487,4.574878872160046,1.4994939928906352,6.083612819693671,0.11578391724388784,0.17742231978221146,1.2261704566348275
gr,0.70634445626289,0.15246338803733378,3.0621053018598987,0.002030959240363061,0.841526892766558,0.8831430293708107,0.20317574985481593,4.977373781546621,0.37851707488011527,0.005102440021452734,0.39568288902484344,12.619960262783485,1.5890566383874478,0.6518912515099257,0.21495108623641715,8.713395511047425,1.186783864823959
gj,0.12256720683331743,0.8367818690756833,7.150535151476051,3.6416062068772606,0.5452691760795555,0.08161517016317466,0.8155184692574918,0.006503947085610312,0.24222832840122535,0.8195595504771238,2.031355663570546,1.2251410318597677,1.8759481647114793,5.112715605109529,1.1537349908372516,6.233349783102501,0.008674654139095407
hr,0.15031318275340266,1.9478219098645522,1.303859810740211,3.7692681988394363,0.4289820165790091,0.14172278699814958,0.32960549830406816,1.679927887322085,0.07333695249936278,0.1631313045502516,5.262196868740982,5.089899960389833,4.337929907236364,6.595267317525943,9.685631682219968,0.22842026326669487,1.0429271391227228
hd,2.4384951929656227,0.10984080283891595,4.545777159940453,0.848514821924669,1.1361621037133112,5.3107918653700645,3.198079008992452,0.352924326131852,15.555658977443683,8.113956073138784,0.14941370272215498,1.2901215609996917,3.4673003769062647,0.6826741332514211,1.012814209041766,10.915297032071164,4.479837846509777
