Siruta,Localitate,PondereAngajati
107083,Asuaju De Sus,0.0
74322,Teasc,0.0
33364,Ilva Mica,0.0
123479,Piatra Soimului,0.0006951685783802572
57948,Garbau,0.0
156259,Cenad,0.001440032915038058
90725,Rachitova,0.0
98916,Scanteia,0.000552689756816507
33382,Josenii Bargaului,0.0
49769,Topliceni,0.0
66152,Branistea,0.0
41578,Parau,0.0
115307,Bahnea,0.0
139884,Oras Simleu Silvaniei,0.0038461538461538464
107118,Baita De Sub Codru,0.0
74359,Terpezita,0.003213367609254499
156277,Cenei,0.0016144656118824668
8826,Vintu De Jos,0.004018264840182648
82555,Turburea,0.0007077140835102619
123521,Pipirig,0.0
148097,Dolhesti,0.005212405525149857
25228,Saucesti,0.00036886757654002215
107154,Baiut,0.00041203131437989287
41621,Poiana Marului,0.20094983674680914
156311,Cheveresu Mare,0.015590200445434299
66198,Baleni,0.006831378799954458
58008,Iara,0.0
172698,Rosiile,0.0
17049,Malureni,0.0
33435,Lechinta,0.00047969299648225136
148131,Dorna-Arini,0.010985238585650533
139937,Agrij,0.0
74411,Teslui,0.0
66223,Barbuletu,0.0
90805,Ribita,0.0
98998,Scobinti,0.00013044612575006522
107190,Basesti,0.0
82617,Oras Turceni,0.0
49849,Tintesti,0.001763668430335097
115389,Band,0.0019783898949931517
164543,Ivesti,0.0
41667,Prejmer,0.0014553014553014554
156357,Oras Ciacova,0.00148892611204169
25291,Scorteni,0.0
139982,Almasu,0.0
17101,Merisani,0.0
123601,Pangarati,0.0012718023255813954
107234,Bicaz,0.0
41701,Racos,0.0014285714285714286
49894,Ulmeni,0.0003168567807351077
148202,Dorna Candrenilor,0.1520677303809834
33514,Lesu,0.0
131817,Oras Valenii De Munte,0.011887290871734664
99058,Sinesti,0.0
164598,Laza,0.0
82680,Tantareni,0.0
131835,Gura Vitioarei,0.000164446637066272
90878,Rau De Mori,0.0
33541,Livezile,0.009605959615761616
107270,Bistra,0.0
41738,Recea,0.0
74509,Tuglui,0.0
172812,Runcu,0.0
25362,Secuieni,0.0
156437,Comlosu Mare,0.0
66330,Bezdead,0.0
123674,Podoleni,0.002764817694833247
99101,Siretel,0.0
58142,Iclod,0.011233379183860614
49956,Vadu Pasii,0.0
74536,Unirea,0.0
82733,Urdari,0.0
107314,Barsana,0.002964845404489623
140084,Babeni,0.0
17209,Micesti,0.0
131899,Adunati,0.0
9019,Cut,0.0
74554,Urzicuta,0.0
156473,Costeiu,0.002589331952356292
123709,Poienari,0.0
115520,Batos,0.0004698144233027954
9026,Bucerdea Granoasa,0.006234413965087282
33603,Lunca Ilvei,0.018879232843871743
148293,Dornesti,0.001446280991735537
164687,Lipovat,0.0
74581,Valea Stanciului,0.004409333088370384
33621,Maieru,0.00036991368680641185
107350,Bocicoiu Mare,0.003105590062111801
41818,Sercaia,0.0010259917920656635
82779,Vagiulesti,0.0
58204,Izvoru Crisului,0.0
99165,Stolniceni-Prajescu,0.0
172894,Salatrucel,0.0
131933,Albesti-Paleologu,0.008421429851281132
66401,Bilciuresti,0.0
17254,Mihaesti,0.0
50022,Valea Ramnicului,0.0015842281288505544
148328,Dragoiesti,0.0
140146,Balan,0.0
90994,Romos,0.0
156534,Criciova,0.0
115575,Bagaciu,0.0
74616,Vela,0.0026896180742334587
33658,Matei,0.00038153376573826786
41854,Sinca,0.0
66438,Buciumeni,0.0
99209,Strunga,0.0
107403,Bogdan Voda,0.001310615989515072
82831,Vladimir,0.010057471264367816
123790,Poiana Teiului,0.0016122531237404273
164749,Lunca Banului,0.0
25488,Solont,0.0
115600,Bala,0.0
172947,Scundu,0.0
58259,Jucu,0.00023153507756425097
50068,Valea Salciei,0.0
131988,Alunis,0.0
148382,Draguseni,0.0
107430,Boiu Mare,0.02575488454706927
132011,Apostolache,0.0
66474,Bucsani,0.00014423770373575654
91054,Sarmizegetusa,0.002523128679562658
156589,Curtea,0.0
25521,Stanisesti,0.0
140208,Banisor,0.0
115637,Balauseri,0.04974737660318694
17334,Mioarele,0.0
50102,Vernesti,0.011756949785737832
33729,Magura Ilvei,0.0
172992,Sinesti,0.0016096579476861167
41925,Sanpetru,0.003818781461551814
58311,Luna,0.0012801365478984424
148426,Dumbraveni,0.004038103126941396
156623,Darova,0.0
82895,Oras Rovinari,0.0024154589371980675
74705,Verbita,0.0
140244,Benesat,0.0
41943,Soars,0.0
99290,Scheia,0.0
107485,Botiza,0.0015444015444015444
66526,Candesti,0.0017838030681412772
164829,Malusteni,0.0
33765,Mariselu,0.0
148453,Fantanele,0.0
132075,Aricestii Rahtivani,0.0034448818897637795
74732,Vartop,0.0
91116,Salasu De Sus,0.004334633723450368
58357,Maguri-Racatau,0.0
17398,Mirosi,0.0
1017,Municipiul Alba Iulia,0.010392687425117456
140280,Bobota,0.0002501250625312656
115708,Beica De Jos,0.00045004500450045
107519,Budesti,0.0012965964343598054
74750,Varvoru De Jos,0.0
156669,Denta,0.0
173061,Slatioara,0.0
123914,Raucesti,0.0
17423,Moraresti,0.0
42003,Tarlungeni,0.007099064214262665
66580,Cobia,0.00065359477124183
58393,Manastireni,0.0006901311249137336
107546,Calinesti,0.0
25629,Strugari,0.0
